Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Piutang Lain-Lain,Persediaan,Properti Investasi,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Pihak Berelasi,Aset Pajak Tangguhan,Aset Tetap,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Utang Bank,Utang Bank Jangka Pendek,Utang Lain-Lain,Utang Pajak,Beban Akrual,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Adjustment,Kepentingan Non Pengendali,Total Ekuitas,Adjustment,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,4634007394.000000,1474423156.000000,3064919066.000000,378286926.000000,,1648837923.000000,11200474465.000000,,16743826924.000000,1709731270.000000,19968216788.000000,45936308195.000000,84358083177.000000,95558557642.000000,,,10841228252.000000,528052949.000000,,,426593088.000000,626915206.000000,1592749074.000000,7666917935.000000,10841228252.000000,9115573890.000000,9115573890.000000,9115573890.000000,19956802142.000000,,58212000000.000000,2868000000.000000,14521755500.000000,,,75601755500.000000,,95558557642.000000,58212000.000000
12M 2009,,,3907725345.000000,845173827.000000,2385998708.000000,,,792976483.000000,7931874363.000000,,16481755234.000000,1395482354.000000,18988766776.000000,53116027895.000000,89982032259.000000,97913906622.000000,,,6999235024.000000,786753202.000000,,,688093862.000000,469179714.000000,1163073418.000000,3892134828.000000,6999235024.000000,14344426756.000000,14344426756.000000,14344426756.000000,21343661780.000000,,58212000000.000000,2868000000.000000,15490244842.000000,,,76570244842.000000,,97913906622.000000,58212000.000000
12M 2010,,,40072463957.000000,1110617766.000000,33011389.000000,,,2061512476.000000,43277605588.000000,,,1482637304.000000,18850751457.000000,47188172422.000000,67521561183.000000,110799166771.000000,,,11098725921.000000,186090462.000000,,,1499057212.000000,418752578.000000,641273164.000000,8353552505.000000,11098725921.000000,21136335743.000000,21136335743.000000,21136335743.000000,32235061664.000000,,58212000000.000000,2868000000.000000,17465993289.000000,,18111820.000000,78564105109.000000,,110799166773.000000,58212000.000000
12M 2011,,,39501990909.000000,1130410839.000000,872624354.000000,,,2738716995.000000,44243743097.000000,,3500000000.000000,1723243148.000000,18423578164.000000,54249989618.000000,77896810930.000000,122140554027.000000,,,13254316857.000000,936606618.000000,,,1252856691.000000,262267389.000000,1057549940.000000,9745036219.000000,13254316857.000000,25933692366.000000,25933692366.000000,25933692366.000000,39188009223.000000,,58212000000.000000,2868000000.000000,21860557938.000000,,11986865.000000,82952544803.000000,,122140554026.000000,232848000.000000
12M 2012,,,45336128777.000000,1352292536.000000,434622656.000000,,,1073297669.000000,48196341638.000000,,3500000000.000000,2010420305.000000,15227851291.000000,39547340741.000000,60285612337.000000,108481953975.000000,,,11721015240.000000,192667198.000000,,,3247466685.000000,464715068.000000,237257759.000000,7578908530.000000,11721015240.000000,8410352809.000000,8410352809.000000,8410352809.000000,20131368049.000000,,58212000000.000000,2868000000.000000,27248444237.000000,,22141685.000000,88350585922.000000,,108481953971.000000,232848000.000000
12M 2013,,,47586961911.000000,784732391.000000,253770131.000000,10057925032.000000,,23662346733.000000,82345736198.000000,,3700000000.000000,731139503.000000,11352937120.000000,,15784076623.000000,98129812821.000000,,,7920693475.000000,,,,794088618.000000,1358983193.000000,569282780.000000,5198338884.000000,7920693475.000000,7637096340.000000,7637096340.000000,7637096340.000000,15557789815.000000,,58212000000.000000,2868000000.000000,21472606335.000000,,19416671.000000,82572023006.000000,,98129812821.000000,232848000.000000
12M 2014,,,37166072032.000000,213717653.000000,440149999.000000,16757285802.000000,,18356318718.000000,72933544204.000000,,3500000000.000000,803112819.000000,15089617721.000000,,19392730540.000000,92326274744.000000,,,3841637532.000000,,,,1869462793.000000,90311374.000000,487298175.000000,1394565190.000000,3841637532.000000,7008121755.000000,7008121755.000000,7008121755.000000,10849759287.000000,,58212000000.000000,2868000000.000000,20377586146.000000,,18929310.000000,81476515456.000000,,92326274743.000000,232848000.000000
12M 2015,,,30450320181.000000,274358605.000000,2022600.000000,11439257787.000000,23710346733.000000,,65876305906.000000,,4412000000.000000,792644554.000000,17091646010.000000,,22296290564.000000,88172596470.000000,,,4209997730.000000,,,,1046132074.000000,363552608.000000,788389709.000000,2011923339.000000,4209997730.000000,6877457059.000000,6877457059.000000,6877457059.000000,11087454789.000000,,58212000000.000000,2868000000.000000,15992215400.000000,,12926282.000000,77085141682.000000,,88172596471.000000,232848000.000000
12M 2016,,,25916983365.000000,681921197.000000,199975000.000000,11439257787.000000,23733045824.000000,,61971183173.000000,,4662602200.000000,874112380.000000,17133868950.000000,,22670583530.000000,84641766703.000000,,,3250110881.000000,,,,1161510100.000000,405965954.000000,268107597.000000,1414527230.000000,3250110881.000000,6636098827.000000,6636098827.000000,6636098827.000000,9886209708.000000,,58212000000.000000,2868000000.000000,13664995701.000000,,10561294.000000,74755556995.000000,,84641766703.000000,232848000.000000
12M 2017,,,10798830070.000000,721252799.000000,122052600.000000,11883757787.000000,23733045824.000000,178617456.000000,47437556536.000000,,4662602200.000000,931576203.000000,27203048555.000000,,32797226958.000000,80234783494.000000,,,4153496217.000000,,,,1022250245.000000,272352968.000000,452579955.000000,2406313049.000000,4153496217.000000,6590322149.000000,6590322149.000000,6590322149.000000,10743818366.000000,,58212000000.000000,2868000000.000000,8405633021.000000,,5332107.000000,69490965128.000000,,80234783494.000000,232848000.000000
