Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Pajak Tangguhan,Aset Tetap,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Utang Lain-Lain,Beban Akrual,Liabilitas Derivatif,Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Utang Pembiayaan Konsumen,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Utang Pembiayaan Konsumen,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,11998285175.000000,,147536199370.000000,230645545.000000,124579687788.000000,3880778220.000000,288225596098.000000,,6224415018.000000,187338266136.000000,3933576461.000000,197496257615.000000,485721853713.000000,,,241053562388.000000,75073396970.000000,105232950935.000000,9274886865.000000,5674057813.000000,,4913271954.000000,,14456935821.000000,151752000.000000,,14608687821.000000,26276310030.000000,241053562388.000000,16530638009.000000,,270600384.000000,224885500.000000,,495485884.000000,16035152125.000000,16530638009.000000,257584200397.000000,,202500000000.000000,,22031253420.000000,,,22031253420.000000,,3606399896.000000,228137653316.000000,485721853713.000000,405000000.000000
12M 2009,,,24573009889.000000,362491300.000000,183751208813.000000,67170870.000000,132611428179.000000,10984377570.000000,352349686621.000000,,4835737858.000000,181666118391.000000,11839924034.000000,198341780283.000000,550691466904.000000,,,294337680313.000000,99052479383.000000,146427578918.000000,6202331838.000000,7204320577.000000,,3843879459.000000,,270600384.000000,297956385.000000,,568556769.000000,31038533369.000000,294337680313.000000,17705618220.000000,,,399468860.000000,,399468860.000000,17306149360.000000,17705618220.000000,312043298533.000000,,202500000000.000000,,32541768475.000000,,,32541768475.000000,,3606399896.000000,238648168371.000000,550691466904.000000,405000000.000000
12M 2010,,,26419201085.000000,181122900.000000,162684566880.000000,101398696.000000,157172815196.000000,8022041356.000000,354581146113.000000,,8460313124.000000,177453591117.000000,17229764868.000000,203143669109.000000,557724815222.000000,,,279997144464.000000,165205825369.000000,96961938872.000000,9807862455.000000,4901476374.000000,,2790988065.000000,,,329053329.000000,,329053329.000000,,279997144464.000000,22187348632.000000,,,305796661.000000,,305796661.000000,21881551971.000000,22187348632.000000,302184493096.000000,,202500000000.000000,,49433922230.000000,10950000000.000000,38483922230.000000,49433922230.000000,,3606399896.000000,255540322126.000000,557724815222.000000,405000000.000000
12M 2011,,,8689123618.000000,,187050703701.000000,140314063.000000,182701488424.000000,3447897224.000000,382029527030.000000,,9668378311.000000,180174436949.000000,15694643188.000000,205537458448.000000,587566985478.000000,,,281284788312.000000,118722732211.000000,141751615734.000000,9418743302.000000,4980078380.000000,252676002.000000,5335305689.000000,,556496055.000000,267140939.000000,,823636994.000000,,281284788312.000000,27113142580.000000,,1808612191.000000,38655722.000000,,1847267913.000000,25265874667.000000,27113142580.000000,308397930892.000000,,202500000000.000000,,73062654690.000000,17750000000.000000,55312654690.000000,73062654690.000000,,3606399896.000000,279169054586.000000,587566985478.000000,405000000.000000
12M 2012,,,13040119259.000000,,209573827233.000000,240506671.000000,146014414028.000000,623164406.000000,369492031597.000000,,11511300652.000000,171839026968.000000,17721692538.000000,201072020158.000000,570564051755.000000,,,232231315524.000000,75502234746.000000,130475320708.000000,1390080783.000000,7986451765.000000,,7391810310.000000,,1072213891.000000,223958962.000000,,1296172853.000000,8189244359.000000,232231315524.000000,22326620852.000000,,2412481205.000000,296894594.000000,,2709375799.000000,19617245053.000000,22326620852.000000,254557936376.000000,,202500000000.000000,,109899715483.000000,20000000000.000000,89899715483.000000,109899715483.000000,,3606399896.000000,316006115379.000000,570564051755.000000,405000000.000000
12M 2013,,,90395189211.000000,,236586529881.000000,295536889.000000,154620467948.000000,8544701556.000000,490442425485.000000,,13486038840.000000,342883472236.000000,3421905625.000000,359791416701.000000,850233842186.000000,,,339511722996.000000,121154701909.000000,190383375394.000000,3981499319.000000,12166869323.000000,,3759948368.000000,,3200000000.000000,193352434.000000,942831770.000000,4336184204.000000,3729144479.000000,339511722996.000000,158713231617.000000,,127950000000.000000,103542161.000000,1766677054.000000,129820219215.000000,28893012402.000000,158713231617.000000,498224954613.000000,,202500000000.000000,,149508887573.000000,21000000000.000000,128508887573.000000,149508887573.000000,,,352008887573.000000,850233842186.000000,405000000.000000
12M 2014,,,67961938570.000000,,296104466395.000000,215035300.000000,185033672765.000000,7009593557.000000,556324706587.000000,,13923182904.000000,377745435931.000000,4184117625.000000,395852736460.000000,952177443047.000000,,,406688594384.000000,181368951826.000000,185857676858.000000,5984649856.000000,15520646730.000000,,4370012787.000000,,9600000000.000000,206733155.000000,1020716959.000000,10827450114.000000,2759206213.000000,406688594384.000000,148990821725.000000,,119150000000.000000,62261492.000000,745960095.000000,119958221587.000000,29032600138.000000,148990821725.000000,555679416109.000000,,202500000000.000000,,193998026938.000000,22000000000.000000,171998026938.000000,193998026938.000000,,,396498026938.000000,952177443047.000000,405000000.000000
12M 2015,,,112559222609.000000,,331594826930.000000,406769817.000000,278104766709.000000,8593104992.000000,731258691057.000000,,24019774150.000000,403005081573.000000,18810122086.000000,445834977809.000000,1177093668866.000000,,,632245408415.000000,330983017278.000000,251122027101.000000,2954411975.000000,20411822535.000000,,2163587455.000000,,19300000000.000000,52111139.000000,1360561156.000000,20712672295.000000,3897869776.000000,632245408415.000000,165926971377.000000,,99850000000.000000,,273092403.000000,100123092403.000000,65803878974.000000,165926971377.000000,798172379792.000000,,202500000000.000000,,196155707511.000000,23000000000.000000,173155707511.000000,196155707511.000000,,-19734418437.000000,378921289074.000000,1177093668866.000000,405000000.000000
12M 2016,,,60238486068.000000,,366702067522.000000,15149368059.000000,263410535674.000000,4083426376.000000,709583883699.000000,,26241614930.000000,387738747365.000000,18708774556.000000,432689136851.000000,1142273020550.000000,,,575996641235.000000,210988072533.000000,284747849255.000000,2212363241.000000,20585555566.000000,,16001744033.000000,,36100000000.000000,,273092403.000000,36373092403.000000,5087964204.000000,575996641235.000000,146492093211.000000,,80535000000.000000,,,80535000000.000000,65957093211.000000,146492093211.000000,722488734446.000000,,202500000000.000000,,243283056578.000000,25000000000.000000,218283056578.000000,243283056578.000000,,-25998770474.000000,419784286104.000000,1142273020550.000000,405000000.000000
12M 2017,,,91313495983.000000,,415080462642.000000,4774000.000000,323671583394.000000,11110262014.000000,841180578033.000000,,26333195388.000000,440422767236.000000,20355186959.000000,487111149583.000000,1328291727616.000000,,,709035285125.000000,379952195057.000000,234221303042.000000,1695036094.000000,23811677248.000000,,14219555559.000000,,48820000000.000000,,1850498235.000000,50670498235.000000,4465019890.000000,709035285125.000000,133716941390.000000,,70030000000.000000,,2705625923.000000,72735625923.000000,60981315467.000000,133716941390.000000,842752226515.000000,,202500000000.000000,,312248265127.000000,26000000000.000000,286248265127.000000,312248265127.000000,,-29208764026.000000,485539501101.000000,1328291727616.000000,405000000.000000
12M 2018,,,49976085928.000000,,370235456448.000000,,381110555773.000000,22854355988.000000,824176454137.000000,,27184185290.000000,524053587271.000000,16002237814.000000,567240010375.000000,1391416464512.000000,,,704831802004.000000,353865486246.000000,256715418541.000000,5564932604.000000,19700380707.000000,,4800577159.000000,,55814000000.000000,,2888721195.000000,58702721195.000000,5482285552.000000,704831802004.000000,131413633107.000000,,70216000000.000000,,3133689123.000000,73349689123.000000,58063943984.000000,131413633107.000000,836245435111.000000,,202500000000.000000,,389010167338.000000,27000000000.000000,362010167338.000000,389010167338.000000,,-36339137937.000000,555171029401.000000,1391416464512.000000,405000000.000000
12M 2019,,,46480321495.000000,,352331300302.000000,,224539540888.000000,5852511241.000000,629203673926.000000,,31430924426.000000,586699930470.000000,6315879553.000000,624446734449.000000,1253650408375.000000,,,507508226950.000000,234387106761.000000,198904098732.000000,3224725472.000000,7927465468.000000,27125000.000000,11632575685.000000,,25464000000.000000,,1756467419.000000,27220467419.000000,24184662413.000000,507508226950.000000,137936772408.000000,,65752000000.000000,,1388432920.000000,67140432920.000000,70796339488.000000,137936772408.000000,645444999358.000000,,202500000000.000000,,453101070845.000000,28000000000.000000,425101070845.000000,453101070845.000000,,-47395661828.000000,608205409017.000000,1253650408375.000000,405000000.000000
12M 2020,,,51067737637.000000,,322868719313.000000,3432687573.000000,267931645582.000000,19265769602.000000,664566559707.000000,,24449142898.000000,552917461644.000000,3774072713.000000,581140677255.000000,1245707236962.000000,,,403756303700.000000,106855060463.000000,207906859932.000000,13145637297.000000,7035842532.000000,,10368771676.000000,,38209000004.000000,,1157973032.000000,39366973036.000000,19077158764.000000,403756303700.000000,178482727620.000000,,110369666660.000000,,516502622.000000,110886169282.000000,67596558338.000000,178482727620.000000,582239031320.000000,,202500000000.000000,,513229952151.000000,29000000000.000000,484229952151.000000,513229952151.000000,,-52261746509.000000,663468205642.000000,1245707236962.000000,405000000.000000
12M 2021,,,80725431351.000000,,359120905415.000000,1492512332.000000,319927032910.000000,40567912855.000000,801833794863.000000,,30399352362.000000,515806733821.000000,5828878176.000000,552034964359.000000,1353868759222.000000,,,435830087460.000000,181360723850.000000,134679558236.000000,13872836430.000000,10105671546.000000,,12297994721.000000,,50789000008.000000,,412693420.000000,51201693428.000000,32311609249.000000,435830087460.000000,216525129971.000000,,129580666652.000000,,127286554.000000,129707953206.000000,86817176765.000000,216525129971.000000,652355217431.000000,,202500000000.000000,,499013541791.000000,30000000000.000000,469013541791.000000,499013541791.000000,,,701513541791.000000,1353868759222.000000,405000000.000000
12M 2022,,,48717357334.000000,,332794934200.000000,728485670.000000,372437774673.000000,5355232452.000000,760033784329.000000,,27254676324.000000,498613362988.000000,3309626467.000000,529177665779.000000,1289211450108.000000,,,327160892732.000000,107403869834.000000,111607669072.000000,2440913403.000000,24130064616.000000,,8172919144.000000,,49084000004.000000,,,49084000004.000000,24321456659.000000,327160892732.000000,224149421230.000000,,138646666652.000000,,,138646666652.000000,85502754578.000000,224149421230.000000,551310313962.000000,,202500000000.000000,-6438206728.000000,521845922725.000000,32120000000.000000,489725922725.000000,521845922725.000000,2204.000000,19993417945.000000,737901136146.000000,1289211450108.000000,405000000.000000
12M 2023,,,70516274539.000000,,271472148912.000000,859812893.000000,263856542694.000000,6462070465.000000,613166849503.000000,,45444232435.000000,464313250268.000000,5594584158.000000,515352066861.000000,1128518916364.000000,,,211228716990.000000,11079832445.000000,113041343203.000000,1396521065.000000,27720504161.000000,,17322114005.000000,,38959999984.000000,,,38959999984.000000,1708402127.000000,211228716990.000000,132944645506.000000,,47986666668.000000,,,47986666668.000000,84957978838.000000,132944645506.000000,344173362496.000000,,202500000000.000000,-6438206728.000000,570937090491.000000,33120000000.000000,537817090491.000000,570937090491.000000,2740.000000,17346667365.000000,784345553868.000000,1128518916364.000000,405000000.000000
12M 2024,,,34431381441.000000,,286076989771.000000,46513000.000000,299796885064.000000,3797616760.000000,624149386036.000000,,39220166470.000000,464130916652.000000,4509433965.000000,507860517087.000000,1132009903123.000000,,,229733028554.000000,35020377846.000000,123237763207.000000,4295492394.000000,29432079390.000000,,3544071864.000000,,33986666648.000000,,,33986666648.000000,216577205.000000,229733028554.000000,77138474806.000000,,14000000000.000000,,,14000000000.000000,63138474806.000000,77138474806.000000,306871503360.000000,,202500000000.000000,-6438206728.000000,615759669088.000000,35120000000.000000,580639669088.000000,615759669088.000000,3103.000000,13316934300.000000,825138399763.000000,1132009903123.000000,405000000.000000
