Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Pendapatan Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Laba (Rugi) Selisih Kurs,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Final,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,1078022869431.000000,-963976795220.000000,114046074211.000000,-77683457319.000000,-57065899457.000000,-20617557862.000000,-77683457319.000000,36362616892.000000,-23463532133.000000,-13392377716.000000,420945216.000000,47289775.000000,-2644427975.000000,-7894961433.000000,-23463532133.000000,12899084759.000000,-7182816864.000000,,-5820577000.000000,-1362239864.000000,-7182816864.000000,5716267895.000000,,,5716267895.000000,5716267895.000000,,5716267895.000000,,,,
12M 2009,959834347152.000000,-841063696405.000000,118770650747.000000,-86180235073.000000,-56771516405.000000,-29408718668.000000,-86180235073.000000,32590415674.000000,-16060139379.000000,-14642238413.000000,283771008.000000,-5515354.000000,-1423924074.000000,-272232546.000000,-16060139379.000000,16530276295.000000,-6019761240.000000,,-4631084080.000000,-1388677160.000000,-6019761240.000000,10510515055.000000,,,10510515055.000000,10510515055.000000,,10510515055.000000,,,,
12M 2010,1123050137949.000000,-992220418488.000000,130829719461.000000,-98142908910.000000,-62752086603.000000,-35390822307.000000,-98142908910.000000,32686810551.000000,-13268349312.000000,-15262139019.000000,147163570.000000,389150755.000000,675957586.000000,781517796.000000,-13268349312.000000,19418461239.000000,-2526307484.000000,,-6150882750.000000,3624575266.000000,-2526307484.000000,16892153755.000000,,,16892153755.000000,16892153755.000000,,16892153755.000000,,,,
12M 2011,1180506128191.000000,-1033774953335.000000,146731174856.000000,-107652132665.000000,-63458181792.000000,-44193950873.000000,-107652132665.000000,39079042191.000000,-8130441168.000000,-16725907129.000000,247161923.000000,90909091.000000,88256161.000000,8169138786.000000,-8130441168.000000,30948601023.000000,-7319868563.000000,,-8527933750.000000,1208065187.000000,-7319868563.000000,23628732460.000000,,23628732460.000000,23628732460.000000,23628732460.000000,,23628732460.000000,23628732460.000000,23628732460.000000,,23628732460.000000
12M 2012,1301332627213.000000,-1140751623334.000000,160581003879.000000,-116618213292.000000,-65711816868.000000,-50906396424.000000,-116618213292.000000,43962790587.000000,3671833345.000000,-10073217037.000000,66676142.000000,,44316098.000000,13634058142.000000,3671833345.000000,47634623932.000000,-10797563409.000000,,-12640485750.000000,1842922341.000000,-10797563409.000000,36837060523.000000,,36837060523.000000,36837060523.000000,36837060523.000000,,36837060523.000000,36837060523.000000,36837060523.000000,,36837060523.000000
12M 2013,1386314584485.000000,-1205620814645.000000,180693769840.000000,-128891285241.000000,-72561117465.000000,-56330167776.000000,-128891285241.000000,51802484599.000000,-4626792593.000000,-16570055763.000000,1441552044.000000,,10580346544.000000,-78635418.000000,-4626792593.000000,47175692006.000000,-11172919812.000000,,-13147658000.000000,1974738188.000000,-11172919812.000000,36002772194.000000,,36002772194.000000,36002772194.000000,36002772194.000000,,36002772194.000000,36002772194.000000,36002772194.000000,,36002772194.000000
12M 2014,1626232662544.000000,-1395919865361.000000,230312797183.000000,-144920126832.000000,-86403395169.000000,-58516731663.000000,-144920126832.000000,85392670351.000000,-27414559050.000000,-32126172848.000000,1292132951.000000,,270073918.000000,3149406929.000000,-27414559050.000000,57978111301.000000,-13488971936.000000,,-13926116000.000000,437144064.000000,-13488971936.000000,44489139365.000000,,44489139365.000000,44489139365.000000,44489139365.000000,,44489139365.000000,44489139365.000000,44489139365.000000,,44489139365.000000
12M 2015,1713946192967.000000,-1492261925405.000000,221684267562.000000,-171170899047.000000,-97425952272.000000,-73744946775.000000,-171170899047.000000,50513368515.000000,-35623100247.000000,-40384643352.000000,598572831.000000,,2848897126.000000,1314073148.000000,-35623100247.000000,14890268268.000000,-3419704975.000000,,-3833862500.000000,414157525.000000,-3419704975.000000,11470563293.000000,-4581968643.000000,6888594650.000000,11470563293.000000,11470563293.000000,,11470563293.000000,6888594650.000000,6888594650.000000,,6888594650.000000
12M 2016,1995337146834.000000,-1721942515692.000000,273394631142.000000,-170271393660.000000,-96841332185.000000,-73430061475.000000,-170271393660.000000,103123237482.000000,-39425321349.000000,-42475454115.000000,259435269.000000,,-2660294994.000000,5450992491.000000,-39425321349.000000,63697916133.000000,-16570567066.000000,,-16704290500.000000,133723434.000000,-16570567066.000000,47127349067.000000,-6264352037.000000,40862997030.000000,47127349067.000000,47127349067.000000,,47127349067.000000,40862997030.000000,40862997030.000000,,40862997030.000000
12M 2017,2245519457754.000000,-1932476641257.000000,313042816497.000000,-182783679745.000000,-101537419417.000000,-81246260328.000000,-182783679745.000000,130259136752.000000,-36896065850.000000,-39717531366.000000,236022287.000000,,831146314.000000,1754296915.000000,-36896065850.000000,93363070902.000000,-24397862353.000000,,-23419445000.000000,-978417353.000000,-24397862353.000000,68965208549.000000,-3209993552.000000,65755214997.000000,68965208549.000000,68965208549.000000,,68965208549.000000,65755214997.000000,65755214997.000000,,65755214997.000000
12M 2018,2327951625610.000000,-1994235755807.000000,333715869803.000000,-196712995412.000000,-101260138178.000000,-95452857234.000000,-196712995412.000000,137002874391.000000,-33047128477.000000,-43918960666.000000,213879740.000000,,9757968426.000000,899984023.000000,-33047128477.000000,103955745914.000000,-27193843703.000000,,-25668042250.000000,-1525801453.000000,-27193843703.000000,76761902211.000000,-7130373919.000000,69631528292.000000,76761902211.000000,76761902211.000000,,76761902211.000000,69631528292.000000,69631528292.000000,,69631528292.000000
12M 2019,2234941096110.000000,-1873996994441.000000,360944101669.000000,-206619101511.000000,-102036545484.000000,-104582556027.000000,-206619101511.000000,154325000158.000000,-59398174643.000000,-47468202473.000000,318986512.000000,,-8724148380.000000,-3524810302.000000,-59398174643.000000,94926825515.000000,-30835922008.000000,,,,-30835922008.000000,64090903507.000000,-11056523891.000000,53034379616.000000,64090903507.000000,64090903507.000000,,64090903507.000000,53034379616.000000,53034379616.000000,,53034379616.000000
12M 2020,1923089935410.000000,-1595347718273.000000,327742217137.000000,-213728694625.000000,-93465591867.000000,-120263102758.000000,-213728694625.000000,114013522512.000000,-31060815127.000000,-28172917812.000000,265637942.000000,,-3138450930.000000,-15084327.000000,-31060815127.000000,82952707385.000000,-22774416925.000000,,,,-22774416925.000000,60178290460.000000,-4866084681.000000,55312205779.000000,60178290460.000000,60178290460.000000,,60178290460.000000,55312205779.000000,55312205779.000000,,55312205779.000000
12M 2021,2241085126185.000000,-1907749563828.000000,333335562357.000000,-207749935663.000000,-94215204790.000000,-113534730873.000000,-207749935663.000000,125585626694.000000,-31572441770.000000,-33158271286.000000,431261511.000000,,555763077.000000,598804928.000000,-31572441770.000000,94013184924.000000,-24665256966.000000,,,,-24665256966.000000,69347927958.000000,495920877.000000,69843848835.000000,69347927958.000000,69347927958.000000,,69347927958.000000,69843848835.000000,69843848835.000000,,69843848835.000000
12M 2022,2352412014545.000000,-2026865548319.000000,325546466226.000000,-193116168272.000000,-103435121488.000000,-89681046784.000000,-193116168272.000000,132430297954.000000,-23406247139.000000,-34972406145.000000,,,,11566159006.000000,-23406247139.000000,109024050815.000000,-32873592369.000000,-939696000.000000,-28997130460.000000,-2936765909.000000,-32873592369.000000,76150458446.000000,737135909.000000,76887594355.000000,76150458446.000000,76150458036.000000,410.000000,76150458446.000000,76887594355.000000,76887593945.000000,410.000000,76887594355.000000
12M 2023,2127671804507.000000,-1768285322616.000000,359386481891.000000,-213917501174.000000,-116060620523.000000,-97856880651.000000,-213917501174.000000,145468980717.000000,-50431754072.000000,-24236472085.000000,,,,-26195281987.000000,-50431754072.000000,95037226645.000000,-15571058343.000000,-939696000.000000,-32074399060.000000,17443036717.000000,-15571058343.000000,79466168302.000000,-2646750580.000000,76819417722.000000,79466168302.000000,79466167766.000000,536.000000,79466168302.000000,76819417722.000000,76819417186.000000,536.000000,76819417722.000000
