Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok Dan Karyawan,Penerimaan Dari (Pembayaran Untuk):,Pembayaran Kas Untuk Beban Usaha,Pendapatan Bunga,Pembayaran Pajak,Pembayaran Bunga,Imbalan Kerja,Kurang Bayar Pajak,Pajak Penghasilan,Beban Bunga,Denda Pajak,Pajak Final Pph Pasal 19,Provisi Bank,Penerimaan Restitusi Pajak,Pokok Pinjaman,Beban Bank,Pengembalian Bea Masuk,Rabat Pembelian Bahan Baku,Tagihan Pajak Penghasilan,Selisih Kurs-Bersih,Lain-Lain-Bersih,Total Penerimaan Dari (Pembayaran Untuk):,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penarikan Investasi Jangka Pendek,Pembayaran Utang Pokok Sewa Pembiayaan,Uang Muka Untuk Perolehan Aset Tetap,Hasil Penjualan Aset Tetap,Perolehan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Utang Bank Jangka Panjang,Pembayaran Utang Bank Jangka Panjang,Penerimaan (Pembayaran) Utang Bank Jangka Pendek - Bersih,Pembayaran Utang Pokok Sewa Pembiayaan - Bersih,Pembayaran Utang Pembiayaan Konsumen,Penerimaan Dari Utang Pembiayaan Konsumen,Pembayaran Dividen,Hasil Penjualan Aset Tetap,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2008,-18304358847.000000,1121653354984.000000,-1110187794737.000000,,,420945217.000000,,,-2885939325.000000,,-6699816266.000000,-13445261784.000000,,-8105425440.000000,,,,,,,628723076.000000,,316855428.000000,-29769919094.000000,-18304358847.000000,-15274922192.000000,89571800.000000,,,227727275.000000,-15592221267.000000,-15274922192.000000,33669862523.000000,,-14248602488.000000,47918465011.000000,,,,,,33669862523.000000,90581484.000000,11907703691.000000,,11998285175.000000
12M 2009,7543040735.000000,920356454486.000000,-882727575340.000000,,,284010450.000000,,,-3152077485.000000,,-12743854651.000000,-13984544485.000000,,,,,,,,,,,-489372240.000000,-30085838411.000000,7543040735.000000,-9252685984.000000,-362491300.000000,-275290254.000000,,82318182.000000,-8697222612.000000,-9252685984.000000,14284369963.000000,,-14456935789.000000,28741305752.000000,,,,,,14284369963.000000,12574724714.000000,11998285175.000000,,24573009889.000000
12M 2010,-22474112908.000000,1142122647685.000000,-1136481267727.000000,,,147163570.000000,,,-1507259387.000000,,-12381370908.000000,-15321285419.000000,,,,,,,,,,,947259278.000000,-28115492866.000000,-22474112908.000000,-11091977392.000000,181368400.000000,-430045257.000000,,531104544.000000,-11374405079.000000,-11091977392.000000,35412281496.000000,-270600384.000000,,,35682881880.000000,,,,,35412281496.000000,1846191196.000000,24573009889.000000,,26419201085.000000
12M 2011,45615668873.000000,1155710616422.000000,-1090012279202.000000,,,247161923.000000,,,-3578675337.000000,,-8195674551.000000,-16812875330.000000,,,,,,,2906852031.000000,6377506660.000000,,,-1026963743.000000,-20082668347.000000,45615668873.000000,-19227761428.000000,181122900.000000,-329053329.000000,,90909091.000000,-19170740090.000000,-19227761428.000000,-44117984912.000000,2365108246.000000,,-46483093158.000000,,,,,,-44117984912.000000,-17730077467.000000,26419201085.000000,,8689123618.000000
12M 2012,50465006251.000000,1278539985053.000000,-1215508278469.000000,,,66676142.000000,,,-4809724532.000000,,-11342305541.000000,-10073217037.000000,,,,,,,965307818.000000,13547926000.000000,,,-921363183.000000,-12566700333.000000,50465006251.000000,-3544385771.000000,,,,,-3544385771.000000,-3544385771.000000,-42656128719.000000,2072784904.000000,-953198054.000000,-43220497465.000000,-555218104.000000,,,,,-42656128719.000000,4264491761.000000,8689123618.000000,86503880.000000,13040119259.000000
12M 2013,85343533207.000000,1363008950120.000000,-1269765161498.000000,,,1441552044.000000,,,-3570406668.000000,,-13454239584.000000,-12660804751.000000,,,-3342337428.000000,11133339414.000000,,,2032537834.000000,,,10130882281.000000,389221443.000000,-7900255415.000000,85343533207.000000,-181531740624.000000,,,,60909090.000000,-181592649714.000000,-181531740624.000000,173093813106.000000,131150000000.000000,-3484695096.000000,45652467163.000000,-223958961.000000,,,,,173093813106.000000,76905605689.000000,13040119259.000000,449464263.000000,90395189211.000000
12M 2014,-24155490938.000000,1568740172295.000000,-1539780576473.000000,,,1292132951.000000,,,-9575808912.000000,,-15676932626.000000,-30554661608.000000,,,-1000838404.000000,,,,2109089655.000000,,,-150185017.000000,442117201.000000,-53115086760.000000,-24155490938.000000,-55207236837.000000,,,,598200000.000000,-55805436837.000000,-55207236837.000000,56509218199.000000,,-2400000000.000000,60214249917.000000,-362199948.000000,-942831770.000000,,,,56509218199.000000,-22853509576.000000,90395189211.000000,420258935.000000,67961938570.000000
12M 2015,-41864462623.000000,1676395000930.000000,-1654226705886.000000,,,598572831.000000,,,-9211820529.000000,,-19198665232.000000,-35982261653.000000,,,-1755600555.000000,457419000.000000,,,850625549.000000,,,,208972922.000000,-64032757667.000000,-41864462623.000000,-53025969492.000000,,,,312272728.000000,-53338242220.000000,-53025969492.000000,139664158450.000000,,-9600000000.000000,149614065452.000000,-216883508.000000,-133023494.000000,,,,139664158450.000000,44773726335.000000,67961938570.000000,-176442296.000000,112559222609.000000
12M 2016,85536484701.000000,1957653900088.000000,-1818223390055.000000,,,259435269.000000,,,-14837067176.000000,,-7916973243.000000,-42173457408.000000,,,-2364075640.000000,12219627311.000000,,,,,,,918485555.000000,-53894025332.000000,85536484701.000000,-13847409370.000000,,,,288000000.000000,-14135409370.000000,-13847409370.000000,-123922617052.000000,17985000000.000000,-20500000000.000000,-119994944745.000000,-52111139.000000,-1360561168.000000,,,,-123922617052.000000,-52233541721.000000,112559222609.000000,-87194820.000000,60238486068.000000
12M 2017,-61261640106.000000,2198793167500.000000,-2190549935097.000000,,,236022287.000000,,,-20424069345.000000,,-27224211124.000000,-35063147572.000000,,,-2400907126.000000,15018090461.000000,,,,,,,353349910.000000,-69504872509.000000,-61261640106.000000,-83417696231.000000,,,-16270790900.000000,1701590916.000000,-68848496247.000000,-83417696231.000000,175462154292.000000,41080000000.000000,-38865000000.000000,168964122524.000000,,-1452439732.000000,5735471500.000000,,,175462154292.000000,30782817955.000000,60238486068.000000,292191960.000000,91313495983.000000
