Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Untuk Beban Usaha,Pembayaran Kas Kepada Karyawan,Pembayaran Pajak Penghasilan,Pembayaran Beban Bunga Dan Keuangan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Utang Bank,Penerimaan,Pembayaran,Total Utang Bank,Pembayaran Liabilitas Sewa Kepada Pihak Berelasi,Penambahan Modal Disetor,Pelaksanaan Waran,Penerimaan Agio Saham Sehubungan Dengan Pelaksanaan Waran,Pembayaran Emisi Saham,Penerimaan Setoran Modal Melalui Penawaran Umum Perdana Saham,Penerimaan Ex-Waran,Utang Pemegang Saham,Penerimaan,Pembayaran,Total Utang Pemegang Saham,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2021,774779697.000000,18475769052.000000,-14254345143.000000,-65047709.000000,-3157539615.000000,-222449947.000000,-1606941.000000,774779697.000000,-495414000.000000,-495414000.000000,-495414000.000000,-1885514339.000000,,,,,-75000000.000000,,,,,,,,1032913000.000000,-2843427339.000000,-1810514339.000000,-1885514339.000000,-1606148642.000000,2742860299.000000,1136711657.000000
12M 2022,295687938.000000,26666554300.000000,-21905103972.000000,-488845947.000000,-3650630782.000000,-244537542.000000,-81748119.000000,295687938.000000,-95703890.000000,-95703890.000000,-95703890.000000,154399999.000000,,2850000000.000000,-250000000.000000,2600000000.000000,,,,,,,,,-2445600001.000000,,-2445600001.000000,154399999.000000,354384047.000000,1136711657.000000,1491095704.000000
12M 2023,326340043.000000,30521448759.000000,-23020615473.000000,-3031693203.000000,-3745996601.000000,-311338119.000000,-85465320.000000,326340043.000000,-5215957180.000000,-5215957180.000000,-5215957180.000000,27412500000.000000,,,,,-150000000.000000,10000000000.000000,,,-3937500000.000000,20000000000.000000,,1500000000.000000,,,1500000000.000000,27412500000.000000,22522882863.000000,1491095704.000000,24013978567.000000
12M 2024,5134764481.000000,27954310546.000000,-16004835646.000000,-1941360373.000000,-4435207422.000000,-316569180.000000,-121573444.000000,5134764481.000000,-8876623579.000000,-8876623579.000000,-8876623579.000000,-117735110.000000,,,-50000000.000000,-50000000.000000,-75000000.000000,,4036050.000000,3228840.000000,,,,,,,,-117735110.000000,-3859594208.000000,24013978567.000000,20154384359.000000
