Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2021,0.00,17227614.07,0.00,17227614.07,,,,(1 B),12 B
12M 2022,0.00,18275790.42,0.00,18275790.42,3 B,,3 B,1 B,12 B
12M 2023,1.53,67.54,1.53,67.54,3 B,,3 B,(21 B),47 B
12M 2024,0.45,68.57,0.45,68.57,3 B,,3 B,(18 B),31 B
