Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Ketiga,Total Utang Usaha,Utang Bank Jangka Pendek,Beban Akrual,Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Pajak Tangguhan,Adjustment,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2021,,,1136711657.000000,4434818818.000000,4434818818.000000,4434818818.000000,,,,9087286560.000000,,14658817035.000000,,18901253735.000000,,800955778.000000,19702209513.000000,34361026548.000000,,,2853363646.000000,,2760845548.000000,2760845548.000000,,,61548946.000000,,30969152.000000,30969152.000000,2853363646.000000,17725571645.000000,,235596068.000000,235596068.000000,66413576.000000,,17423562001.000000,17725571645.000000,20578935291.000000,,4000000000.000000,,9745804097.000000,250000000.000000,9495804097.000000,9745804097.000000,,36287160.000000,13782091257.000000,34361026548.000000,800.000000
12M 2022,,,1491095704.000000,5387018475.000000,5387018475.000000,5387018475.000000,74944000.000000,74944000.000000,74944000.000000,9703964669.000000,378911718.000000,17035934566.000000,,17168137536.000000,,595833715.000000,17763971251.000000,34799905817.000000,,,4957901744.000000,,2084436271.000000,2084436271.000000,2600000000.000000,,198465473.000000,,75000000.000000,75000000.000000,4957901744.000000,15221371739.000000,,204626916.000000,204626916.000000,5339823.000000,,15011405000.000000,15221371739.000000,20179273483.000000,,4000000000.000000,,10571684214.000000,300000000.000000,10271684214.000000,10571684214.000000,,48948120.000000,14620632334.000000,34799905817.000000,800.000000
12M 2023,,,24013978567.000000,5117661209.000000,5117661209.000000,5117661209.000000,100544000.000000,100544000.000000,100544000.000000,10371707944.000000,13436409237.000000,53040300957.000000,,20585734034.000000,20872413.000000,390711652.000000,20997318099.000000,74037619056.000000,,,5726049094.000000,,2935794396.000000,2935794396.000000,2600000000.000000,98860588.000000,47644110.000000,,43750000.000000,43750000.000000,5726049094.000000,369041635.000000,,95903635.000000,95903635.000000,,,273138000.000000,369041635.000000,6095090729.000000,,50300000000.000000,16062500000.000000,1537075287.000000,350000000.000000,1187075287.000000,1537075287.000000,,42953040.000000,67942528327.000000,74037619056.000000,1006000000.000000
12M 2024,,,20154384359.000000,5881606318.000000,5881606318.000000,5881606318.000000,141444000.000000,141444000.000000,141444000.000000,10428941865.000000,480151585.000000,37086528127.000000,,27649545697.000000,76374522.000000,10679044881.000000,38404965100.000000,75491493227.000000,,,6207326977.000000,,3362546819.000000,3362546819.000000,2550000000.000000,187250427.000000,63779731.000000,,43750000.000000,43750000.000000,6207326977.000000,295865663.000000,,27746663.000000,27746663.000000,,,268119000.000000,295865663.000000,6503192640.000000,,50304036050.000000,16065728840.000000,2569061077.000000,400000000.000000,2169061077.000000,2569061077.000000,,49474620.000000,68988300587.000000,75491493227.000000,1006080721.000000
