Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2021,17216925470.000000,-14016593408.000000,3200332062.000000,-2843028418.000000,-2816590878.000000,-26437540.000000,-2843028418.000000,357303644.000000,-1606941.000000,-1606941.000000,-1606941.000000,355696703.000000,-232924793.000000,-176746057.000000,-56178736.000000,-232924793.000000,122771910.000000,36287160.000000,36287160.000000,36287160.000000,159059070.000000,122771910.000000,122771910.000000,,122771910.000000,159059070.000000,159059070.000000,,159059070.000000
12M 2022,27618753957.000000,-23000090882.000000,4618663075.000000,-3517714290.000000,-3534642276.000000,16927986.000000,-3517714290.000000,1100948785.000000,-81748119.000000,-81748119.000000,-81748119.000000,1019200666.000000,-193320549.000000,-257965342.000000,64644793.000000,-193320549.000000,825880117.000000,12660960.000000,12660960.000000,12660960.000000,838541077.000000,825880117.000000,825880117.000000,,825880117.000000,838541077.000000,838541077.000000,,838541077.000000
12M 2023,30252091493.000000,-24799564424.000000,5452527069.000000,-4142665353.000000,-4271997241.000000,129331888.000000,-4142665353.000000,1309861716.000000,-85465320.000000,-85465320.000000,-85465320.000000,1224396396.000000,-259005323.000000,-283526639.000000,24521316.000000,-259005323.000000,965391073.000000,-5995080.000000,-5995080.000000,-5995080.000000,959395993.000000,965391073.000000,965391073.000000,,965391073.000000,959395993.000000,959395993.000000,,959395993.000000
12M 2024,28718255655.000000,-22072715365.000000,6645540290.000000,-5240399601.000000,-5449809600.000000,209409999.000000,-5240399601.000000,1405140689.000000,-121573444.000000,-121573444.000000,-121573444.000000,1283567245.000000,-251581455.000000,-308922984.000000,57341529.000000,-251581455.000000,1031985790.000000,6521580.000000,6521580.000000,6521580.000000,1038507370.000000,1031985790.000000,1031985790.000000,,1031985790.000000,1038507370.000000,1038507370.000000,,1038507370.000000
