Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok Dan Karyawan Serta Untuk Aktivitas Operasional Lainnya,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan Dan Aktivitas Operasional Lainnya,Total Pembayaran Kas Kepada Pemasok Dan Karyawan Serta Untuk Aktivitas Operasional Lainnya,Penerimaan Bunga,Pembayaran Beban Bunga Dan Keuangan,Penerimaan Restitusi Pajak,Pembayaran Pajak Penghasilan Dan Denda Pajak,Pembayaran Pajak Penghasilan,Pembayaran Denda Pajak,Total Pembayaran Pajak Penghasilan Dan Denda Pajak,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Hasil Penjualan Aset Tetap,Perolehan Aset Tetap,Pemberian Pinjaman Pihak Berelasi,Penerimaan Dari Piutang Pihak Berelasi,Pembayaran Simpanan Jaminan,Kenaikan Piutang Pihak Berelasi,Penurunan Piutang Pihak Berelasi,Kenaikan Aset Tidak Lancar Lainnya,Penurunan Aset Tidak Lancar Lainnya,Penerimaan Kas Yang Dibatasi Penggunaannya,Penempatan Kas Yang Dibatasi Penggunaannya,Penempatan Investasi Jangka Pendek,Penerimaan Dari Likuidasi Investasi Jangka Pendek,Kas Entitas Anak Yang Didekonsolidasi,Pajak Penghasilan Terkait Pos Penghasilan Komprehensif Lain,Penempatan Aset Derivatif,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Ipo Entitas Anak,Pembayaran Biaya-Biaya Yang Dikeluarkan Sehubungan Dengan Ipo Entitas Anak,Penerimaan Dari Divestasi,Pembayaran Beban Divestasi,Penerimaan Dari Pelaksanaan Waran,Penerimaan Dari Penawaran Umum Perdana Saham,Pembayaran Dari Utang Pihak Berelasi,Penerimaan Dari Utang Pihak Berelasi,Pembayaran Liabilitas Pembiayaan Konsumen,Pembayaran Liabilitas Sewa,Penerimaan Dari Penerbitan Saham,Pembagian Dividen Kas Oleh Entitas Anak,Penerimaan Pinjaman Bank,Pembayaran Pinjaman Bank,Penerimaan Dari Piutang Pihak Berelasi,Kenaikan Dari Utang Pihak Berelasi,Penurunan Utang Pihak Berelasi,Pembagian Dividen Tunai,Penerimaan Dari Utang Bank Jangka Pendek,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2010,-3185502000.000000,814301444000.000000,-738923227000.000000,,,-738923227000.000000,932136000.000000,-22223768000.000000,,-57272087000.000000,,,-57272087000.000000,-3185502000.000000,-69891177000.000000,2624513000.000000,-66093725000.000000,,,,,,,3242776000.000000,,-9664741000.000000,,,,,,-69891177000.000000,448265917000.000000,,,,,,,-15307269000.000000,1392993000.000000,-5981177000.000000,,,,468161370000.000000,-10324624000.000000,,,,,10324624000.000000,448265917000.000000,375189238000.000000,54227043000.000000,-2772033000.000000,426644248000.000000
12M 2011,-6934487000.000000,948731349000.000000,-868401624000.000000,,,-868401624000.000000,4258498000.000000,-52952254000.000000,,-38570456000.000000,,,-38570456000.000000,-6934487000.000000,-158103501000.000000,1131147000.000000,-159368259000.000000,,,,,,,133611000.000000,,,,,,,,-158103501000.000000,301590664000.000000,,,,,,,-20595547000.000000,56435000.000000,-5728770000.000000,,463871154000.000000,,,-136012608000.000000,,,,,,301590664000.000000,136552676000.000000,426644248000.000000,-1323984000.000000,561872940000.000000
12M 2012,189810277000.000000,1072972003000.000000,-748596353000.000000,,,-748596353000.000000,6830872000.000000,-71745114000.000000,,-69651131000.000000,,,-69651131000.000000,189810277000.000000,-494460801000.000000,633450000.000000,-129406379000.000000,,,-227696305000.000000,-6745000000.000000,,-726335000.000000,,,-130520232000.000000,,,,,,-494460801000.000000,298721324000.000000,,,,,3146807000.000000,,,7132263000.000000,-6021270000.000000,,,,773600000000.000000,-479136476000.000000,,,,,,298721324000.000000,-5929200000.000000,561872940000.000000,-989557000.000000,554954183000.000000
12M 2013,-638673299000.000000,1454011159000.000000,,-1425389838000.000000,-387229816000.000000,-1812619654000.000000,8099277000.000000,-143085738000.000000,,-145078343000.000000,,,-145078343000.000000,-638673299000.000000,-1210515666000.000000,1494019000.000000,-890276092000.000000,,,-320916000000.000000,-4603817000.000000,,,1092529000.000000,35972400000.000000,-33278705000.000000,,,,,,-1210515666000.000000,2005922046000.000000,,,,,301846738000.000000,,-91184394000.000000,,-8088078000.000000,,,,2803470000000.000000,-1000122220000.000000,,,,,,2005922046000.000000,156733081000.000000,554954183000.000000,104192661000.000000,815879925000.000000
12M 2014,648109975000.000000,1979949940000.000000,,-606447502000.000000,-329985159000.000000,-936432661000.000000,9809448000.000000,-221919402000.000000,,,-149730956000.000000,-33566394000.000000,-183297350000.000000,648109975000.000000,-1332617890000.000000,1777620000.000000,-633061261000.000000,,,,-707980000.000000,1471288000.000000,-161662000.000000,,14628238000.000000,-133210000.000000,-394339724000.000000,,-293633971000.000000,,-28457228000.000000,-1332617890000.000000,321120845000.000000,405880080000.000000,-15139340000.000000,135293820000.000000,-3653278000.000000,,,-17675000.000000,,-5139355000.000000,,,-3921671000.000000,,-192181736000.000000,,,,,,321120845000.000000,-363387070000.000000,815879925000.000000,10135395000.000000,462628250000.000000
12M 2015,849125243000.000000,2486388920000.000000,,-1025003041000.000000,-361315428000.000000,-1386318469000.000000,20711383000.000000,-207584917000.000000,26181630000.000000,,-76627581000.000000,-13625723000.000000,-90253304000.000000,849125243000.000000,-661742450000.000000,3212143000.000000,-954878596000.000000,,,,-21450158000.000000,5917000.000000,-4615581000.000000,,48919400000.000000,-6616420000.000000,-120658879000.000000,394339724000.000000,,,,-661742450000.000000,-604659508000.000000,,,,,,,,,-9054482000.000000,,,-3921671000.000000,,-591970078000.000000,,,286723000.000000,,,-604659508000.000000,-417276715000.000000,462628250000.000000,19568339000.000000,64919874000.000000
12M 2016,89204683000.000000,2313123545000.000000,,-861683411000.000000,-908231186000.000000,-1769914597000.000000,2558680000.000000,-170614420000.000000,,,-269863430000.000000,-16085095000.000000,-285948525000.000000,89204683000.000000,-30472345000.000000,3049620000.000000,-127863547000.000000,,,,-7166274000.000000,,-42258146000.000000,,68857123000.000000,,-45750000000.000000,120658879000.000000,,,,-30472345000.000000,-77794965000.000000,,,,,,,-304814000.000000,,-8849573000.000000,,,-3921671000.000000,,-64718907000.000000,,,,,,-77794965000.000000,-19062627000.000000,64919874000.000000,-8232368000.000000,37624879000.000000
12M 2017,182694537000.000000,2612127168000.000000,,-1165077424000.000000,-877833039000.000000,-2042910463000.000000,1386198000.000000,-253101660000.000000,,,-96979276000.000000,-37827430000.000000,-134806706000.000000,182694537000.000000,-71277564000.000000,4856846000.000000,-109140846000.000000,,,,-4515759000.000000,,-18677006000.000000,,10449201000.000000,,45750000000.000000,,,,,-71277564000.000000,-67778210000.000000,,,,,,,,,-14518887000.000000,,,-10196355000.000000,,-43062968000.000000,,,,,,-67778210000.000000,43638763000.000000,37624879000.000000,86816000.000000,81350458000.000000
12M 2018,179361433000.000000,3080999795000.000000,,-1492350587000.000000,-1073036394000.000000,-2565386981000.000000,1136371000.000000,-236742430000.000000,,,-84368423000.000000,-16276899000.000000,-100645322000.000000,179361433000.000000,-77421478000.000000,6956188000.000000,-97357214000.000000,,,,7802827000.000000,,5176721000.000000,,,,,,,,,-77421478000.000000,-149814447000.000000,,,,,,,,,-11768114000.000000,,,-10980690000.000000,,-126810679000.000000,,,-254964000.000000,,,-149814447000.000000,-47874492000.000000,81350458000.000000,-1147308000.000000,32328658000.000000
12M 2019,52243053000.000000,2025990027000.000000,,-696970105000.000000,-1119223055000.000000,-1816193160000.000000,1784375000.000000,-82134355000.000000,,,-62053050000.000000,-15150784000.000000,-77203834000.000000,52243053000.000000,-51529156000.000000,3999683000.000000,-51366715000.000000,,,,-306778000.000000,,-3855346000.000000,,,,,,,,,-51529156000.000000,-10542144000.000000,,,,,,,,55832000.000000,-8263759000.000000,,,,,-2334217000.000000,,,,,,-10542144000.000000,-9828247000.000000,32328658000.000000,-264710000.000000,22235701000.000000
