Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Selisih Kurs,Bagian Atas Hasil Bersih Pengendalian Bersama Entitas,Keuntungan Atas Penjualan Entitas Anak,Laba (Rugi) Atas Penjualan Aset Tetap,Bagian Atas Hasil Bersih Entitas Asosiasi,Adjustment,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2010,889101136000.000000,-368820576000.000000,520280560000.000000,-454465113000.000000,-454465113000.000000,-454465113000.000000,65815447000.000000,-76765727000.000000,932136000.000000,-43993186000.000000,-2312872000.000000,,,,,,-31391805000.000000,-76765727000.000000,-10950280000.000000,14606490000.000000,3656210000.000000,,,3656210000.000000,3656107000.000000,103000.000000,3656210000.000000,,,,
12M 2011,992634826000.000000,-309181226000.000000,683453600000.000000,-531095385000.000000,-531095385000.000000,-531095385000.000000,152358215000.000000,-110778753000.000000,4258498000.000000,-119091007000.000000,-8056705000.000000,-375737000.000000,,,,,12486198000.000000,-110778753000.000000,41579462000.000000,-15272985000.000000,26306477000.000000,,,26306477000.000000,26259974000.000000,46503000.000000,26306477000.000000,,,,
12M 2012,1241436902000.000000,-456344643000.000000,785092259000.000000,-526139286000.000000,-526139286000.000000,-526139286000.000000,258952973000.000000,-74874243000.000000,6830872000.000000,-144386706000.000000,-1889488000.000000,-1574218000.000000,,,,,66145297000.000000,-74874243000.000000,184078730000.000000,-111153645000.000000,72925085000.000000,,72925085000.000000,72925085000.000000,72921821000.000000,3264000.000000,72925085000.000000,72925085000.000000,72921821000.000000,3264000.000000,72925085000.000000
12M 2013,1674375150000.000000,-473747834000.000000,1200627316000.000000,-613806050000.000000,-613806050000.000000,-613806050000.000000,586821266000.000000,-344053929000.000000,8099277000.000000,-210880283000.000000,-110991553000.000000,-147033000.000000,,,,,-30134337000.000000,-344053929000.000000,242767337000.000000,-136971775000.000000,105795562000.000000,,105795562000.000000,105795562000.000000,107391514000.000000,-1595952000.000000,105795562000.000000,105795562000.000000,107391514000.000000,-1595952000.000000,105795562000.000000
12M 2014,2252677016000.000000,-746433851000.000000,1506243165000.000000,-734813525000.000000,-734813525000.000000,-734813525000.000000,771429640000.000000,-396791333000.000000,9809448000.000000,-572265184000.000000,-36868010000.000000,-2151823000.000000,-3700748000.000000,1481475000.000000,,,206903509000.000000,-396791333000.000000,374638307000.000000,-201570164000.000000,173068143000.000000,,173068143000.000000,173068143000.000000,143929565000.000000,29138578000.000000,173068143000.000000,173068143000.000000,143929565000.000000,29138578000.000000,173068143000.000000
12M 2015,2108743624000.000000,-717575321000.000000,1391168303000.000000,-868568212000.000000,-868568212000.000000,-868568212000.000000,522600091000.000000,-868585619000.000000,20711383000.000000,-603849162000.000000,-189516162000.000000,-49956000.000000,,2581689000.000000,,,-98463411000.000000,-868585619000.000000,-345985528000.000000,-136305385000.000000,-482290913000.000000,-877172000.000000,-483168085000.000000,-482290913000.000000,-511811327000.000000,29520414000.000000,-482290913000.000000,-483168085000.000000,-512818718000.000000,29650633000.000000,-483168085000.000000
12M 2016,2685707668000.000000,-865299224000.000000,1820408444000.000000,-1064127837000.000000,-1064127837000.000000,-1064127837000.000000,756280607000.000000,-112703671000.000000,2558680000.000000,-486009651000.000000,58584676000.000000,3635000.000000,,3049620000.000000,,,309109369000.000000,-112703671000.000000,643576936000.000000,-166572403000.000000,477004533000.000000,-14828166000.000000,462176367000.000000,477004533000.000000,408639797000.000000,68364736000.000000,477004533000.000000,462176367000.000000,394510388000.000000,67665979000.000000,462176367000.000000
12M 2017,2774985411000.000000,-920891216000.000000,1854094195000.000000,-1147860482000.000000,-1147860482000.000000,-1147860482000.000000,706233713000.000000,-400825197000.000000,1386198000.000000,-337287900000.000000,-25527773000.000000,,,3737444000.000000,,,-43133166000.000000,-400825197000.000000,305408516000.000000,-95731649000.000000,209676867000.000000,-46440043000.000000,163236824000.000000,209676867000.000000,151656762000.000000,58020105000.000000,209676867000.000000,163236824000.000000,106846591000.000000,56390233000.000000,163236824000.000000
12M 2018,2400197838000.000000,-1010168027000.000000,1390029811000.000000,-1332657089000.000000,-1332657089000.000000,-1332657089000.000000,57372722000.000000,-1144164032000.000000,1136371000.000000,-459938283000.000000,-242588907000.000000,,,3679556000.000000,-125705000.000000,,-446327064000.000000,-1144164032000.000000,-1086791310000.000000,-24896552000.000000,-1111687862000.000000,33177267000.000000,-1078510595000.000000,-1111687862000.000000,-1101010458000.000000,-10677404000.000000,-1111687862000.000000,-1078510595000.000000,-1068764847000.000000,-9745748000.000000,-1078510595000.000000
12M 2019,2117781960000.000000,-917497659000.000000,1200284301000.000000,-1232204726000.000000,-1232204726000.000000,-1232204726000.000000,-31920425000.000000,-473756432000.000000,1784375000.000000,-559811724000.000000,158504308000.000000,,,2665365000.000000,21410000.000000,,-76920166000.000000,-473756432000.000000,-505676857000.000000,-35206505000.000000,-540883362000.000000,-3119454000.000000,-544002816000.000000,-540883362000.000000,-550832988000.000000,9949626000.000000,-540883362000.000000,-544002816000.000000,-553935878000.000000,9933062000.000000,-544002816000.000000
12M 2020,1830516513000.000000,-733801953000.000000,1096714560000.000000,-1046289906000.000000,-1046289906000.000000,-1046289906000.000000,50424654000.000000,-828492869000.000000,605342000.000000,-647373848000.000000,-38774569000.000000,,,2138349000.000000,-3722381000.000000,,-141365762000.000000,-828492869000.000000,-778068215000.000000,-31013260000.000000,-809081475000.000000,-80579138000.000000,-889660613000.000000,-809081475000.000000,-817989684000.000000,8908209000.000000,-809081475000.000000,-889660613000.000000,-896489618000.000000,6829005000.000000,-889660613000.000000
12M 2021,1812198622000.000000,-752957151000.000000,1059241471000.000000,-912634667000.000000,-912634667000.000000,-912634667000.000000,146606804000.000000,-988504148000.000000,403199000.000000,-750832492000.000000,-53794625000.000000,,,3276587000.000000,,,-187556817000.000000,-988504148000.000000,-841897344000.000000,-41431879000.000000,-883329223000.000000,51555728000.000000,-831773495000.000000,-883329223000.000000,-890126605000.000000,6797382000.000000,-883329223000.000000,-831773495000.000000,-839600620000.000000,7827125000.000000,-831773495000.000000
12M 2022,1698619532000.000000,-724388877000.000000,974230655000.000000,-933740722000.000000,-933740722000.000000,-933740722000.000000,40489933000.000000,-1749031981000.000000,302512000.000000,-985208386000.000000,-657353663000.000000,,,9054610000.000000,-581502000.000000,,-115245552000.000000,-1749031981000.000000,-1708542048000.000000,-10946513000.000000,-1719488561000.000000,752431888000.000000,-967056673000.000000,-1719488561000.000000,-1721471313000.000000,1982752000.000000,-1719488561000.000000,-967056673000.000000,-997309053000.000000,30252380000.000000,-967056673000.000000
12M 2023,1196672161000.000000,-656010501000.000000,540661660000.000000,-835912172000.000000,-835912172000.000000,-835912172000.000000,-295250512000.000000,-3078276080000.000000,342665000.000000,-1478368468000.000000,101782754000.000000,,,-7838340000.000000,,,-1694194691000.000000,-3078276080000.000000,-3373526592000.000000,-9491644000.000000,-3383018236000.000000,-154168722000.000000,-3537186958000.000000,-3383018236000.000000,-3285745650000.000000,-97272586000.000000,-3383018236000.000000,-3537186958000.000000,-3434535191000.000000,-102651767000.000000,-3537186958000.000000
