Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Pajak Tangguhan,Piutang Pihak Berelasi,Investasi Pada Entitas Asosiasi,Aset Tetap,Goodwill,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Total Utang Lain-Lain,Beban Akrual,Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Pembiayaan Konsumen,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Pajak Tangguhan,Utang Jangka Panjang Dari Pihak Berelasi,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Pembiayaan Konsumen,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Others,Total Tambahan Modal Disetor,Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2009,,,54227043000.000000,,192255081000.000000,5258304000.000000,186996777000.000000,192255081000.000000,5961423000.000000,5961423000.000000,,5961423000.000000,136047127000.000000,388490674000.000000,,34683575000.000000,1449428000.000000,,424641315000.000000,638084659000.000000,118378777000.000000,1217237754000.000000,1605728428000.000000,,,350221244000.000000,,3883113000.000000,128243598000.000000,132126711000.000000,,61505478000.000000,61505478000.000000,33315582000.000000,103786105000.000000,,,1443649000.000000,,1443649000.000000,18043719000.000000,350221244000.000000,182466992000.000000,,137669220000.000000,,,36136000.000000,,36136000.000000,44761636000.000000,182466992000.000000,532688236000.000000,,1536813676000.000000,2232000.000000,,2232000.000000,-430842289000.000000,1174000.000000,-32934601000.000000,1073040192000.000000,1605728428000.000000,1379728.000000
12M 2010,,,426644248000.000000,,305201270000.000000,4627519000.000000,300573751000.000000,305201270000.000000,12655867000.000000,12655867000.000000,,12655867000.000000,165326505000.000000,909827890000.000000,,49290065000.000000,56435000.000000,,426591291000.000000,600722016000.000000,113799649000.000000,1190459456000.000000,2100287346000.000000,,,352704635000.000000,,572714000.000000,133903220000.000000,134475934000.000000,,35068083000.000000,35068083000.000000,58609944000.000000,55038940000.000000,,,3963626000.000000,,3963626000.000000,65548108000.000000,352704635000.000000,642476036000.000000,,99026999000.000000,,489456433000.000000,4993721000.000000,,494450154000.000000,48998883000.000000,642476036000.000000,995180671000.000000,,1536813676000.000000,2232000.000000,,2232000.000000,-398775909000.000000,1277000.000000,-32934601000.000000,1105106675000.000000,2100287346000.000000,1379728.000000
12M 2011,,,561872940000.000000,,323604928000.000000,3896098000.000000,319708830000.000000,323604928000.000000,9412904000.000000,9412904000.000000,,9412904000.000000,272500812000.000000,1167391584000.000000,,38946315000.000000,,2414262000.000000,469006967000.000000,600722016000.000000,139079535000.000000,1250169095000.000000,2417560679000.000000,,,681700801000.000000,,616149000.000000,82882256000.000000,83498405000.000000,,44919180000.000000,44919180000.000000,65402860000.000000,25671343000.000000,,418510527000.000000,3999383000.000000,,422509910000.000000,39699103000.000000,681700801000.000000,140575572000.000000,,76934734000.000000,,,1689094000.000000,,1689094000.000000,61951744000.000000,140575572000.000000,822276373000.000000,,1703513676000.000000,297173386000.000000,,297173386000.000000,-372515935000.000000,47780000.000000,-32934601000.000000,1595284306000.000000,2417560679000.000000,15464280000.000000
12M 2012,,,554954183000.000000,,469524199000.000000,5042462000.000000,464481737000.000000,469524199000.000000,115162917000.000000,115162917000.000000,,115162917000.000000,201218079000.000000,1340859378000.000000,,19694015000.000000,6745000000.000000,2065044000.000000,494485226000.000000,600722016000.000000,528805756000.000000,1652517057000.000000,2993376435000.000000,,,367284828000.000000,,203379000.000000,141143268000.000000,141346647000.000000,,25981201000.000000,25981201000.000000,91314907000.000000,79933326000.000000,,,4108258000.000000,,4108258000.000000,24600489000.000000,367284828000.000000,947530409000.000000,10006926000.000000,87877289000.000000,,781250033000.000000,1443047000.000000,,782693080000.000000,66953114000.000000,947530409000.000000,1314815237000.000000,,1704545416000.000000,299288453000.000000,299288453000.000000,299288453000.000000,-299594114000.000000,7256044000.000000,-32934601000.000000,1678561198000.000000,2993376435000.000000,15474597400.000000
12M 2013,,,815879925000.000000,,686272352000.000000,6101985000.000000,680170367000.000000,686272352000.000000,164637939000.000000,124247126000.000000,40390813000.000000,164637939000.000000,842975195000.000000,2509765411000.000000,,19378674000.000000,11420805000.000000,1989999000.000000,933018912000.000000,600722016000.000000,1226787694000.000000,2793318100000.000000,5303083511000.000000,,,371756913000.000000,,1526824000.000000,130955399000.000000,132482223000.000000,,11636572000.000000,11636572000.000000,109130652000.000000,92199596000.000000,,,5199397000.000000,,5199397000.000000,21108473000.000000,371756913000.000000,2844551112000.000000,10569171000.000000,306106000.000000,,2753842911000.000000,2717571000.000000,,2756560482000.000000,77115353000.000000,2844551112000.000000,3216308025000.000000,,1803512716000.000000,502167891000.000000,502167891000.000000,502167891000.000000,-192202600000.000000,6160092000.000000,-32862613000.000000,2086775486000.000000,5303083511000.000000,16464270400.000000
12M 2014,,,462628250000.000000,394339724000.000000,964855540000.000000,11438287000.000000,953417253000.000000,964855540000.000000,151866887000.000000,151846632000.000000,20255000.000000,151866887000.000000,1086529935000.000000,3060220336000.000000,,13292444000.000000,528696352000.000000,1963140000.000000,940829071000.000000,600722016000.000000,1010718459000.000000,3096221482000.000000,6156441818000.000000,,,1057647209000.000000,,1518287000.000000,104459711000.000000,105977998000.000000,,8920539000.000000,8920539000.000000,115560664000.000000,220763971000.000000,,572240000000.000000,5182197000.000000,,577422197000.000000,29001840000.000000,1057647209000.000000,2435105794000.000000,9300596000.000000,288431000.000000,,2329301117000.000000,2278227000.000000,,2331579344000.000000,93937423000.000000,2435105794000.000000,3492753003000.000000,,1803512716000.000000,469305278000.000000,,469305278000.000000,-48273035000.000000,439143856000.000000,,2663688815000.000000,6156441818000.000000,16464270400.000000
12M 2015,,,64919874000.000000,120658879000.000000,588262750000.000000,7788752000.000000,580473998000.000000,588262750000.000000,33320433000.000000,32059981000.000000,1260452000.000000,33320433000.000000,1311844010000.000000,2119005946000.000000,,20205170000.000000,636035260000.000000,2938184000.000000,857263118000.000000,600722016000.000000,1969967427000.000000,4087131175000.000000,6206137121000.000000,,,1509053923000.000000,,1729750000.000000,242909095000.000000,244638845000.000000,,6722034000.000000,6722034000.000000,108818355000.000000,502483677000.000000,,609624668000.000000,3941529000.000000,,613566197000.000000,32824815000.000000,1509053923000.000000,2539963717000.000000,602021000.000000,1600154000.000000,,2399626369000.000000,3762655000.000000,,2403389024000.000000,134372518000.000000,2539963717000.000000,4049017640000.000000,,1803512716000.000000,469305278000.000000,,469305278000.000000,-560406580000.000000,463848767000.000000,-19140700000.000000,2157119481000.000000,6206137121000.000000,16464270400.000000
12M 2016,,,37624879000.000000,45750000000.000000,979377561000.000000,8509164000.000000,970868397000.000000,979377561000.000000,16372192000.000000,14905402000.000000,1466790000.000000,16372192000.000000,1648992827000.000000,2728117459000.000000,,34009327000.000000,643201534000.000000,1023530000.000000,839013472000.000000,606843129000.000000,1984342716000.000000,4108433708000.000000,6836551167000.000000,,,1028519043000.000000,,6370027000.000000,321000987000.000000,327371014000.000000,,5741107000.000000,5741107000.000000,123129282000.000000,300837367000.000000,,213566268000.000000,5034778000.000000,,218601046000.000000,52839227000.000000,1028519043000.000000,3180782613000.000000,,1295340000.000000,,2989927752000.000000,6783726000.000000,,2996711478000.000000,182775795000.000000,3180782613000.000000,4209301656000.000000,,1803512716000.000000,481181053000.000000,,481181053000.000000,-151766783000.000000,527592634000.000000,-33270109000.000000,2627249511000.000000,6836551167000.000000,16464270400.000000
12M 2017,,,81350458000.000000,,1113610628000.000000,6991141000.000000,1106619487000.000000,1113610628000.000000,15992836000.000000,14361308000.000000,1631528000.000000,15992836000.000000,2313679840000.000000,3524633762000.000000,,57993920000.000000,647323106000.000000,1023530000.000000,839769742000.000000,607807898000.000000,2053278981000.000000,4207197177000.000000,7731830939000.000000,,,1572069242000.000000,,,721277903000.000000,721277903000.000000,,13609203000.000000,13609203000.000000,105498946000.000000,466131926000.000000,,233713161000.000000,8711819000.000000,,242424980000.000000,23126284000.000000,1572069242000.000000,3379450675000.000000,,1295340000.000000,,3092954995000.000000,7182994000.000000,,3100137989000.000000,278017346000.000000,3379450675000.000000,4951519917000.000000,,1803512716000.000000,481260278000.000000,,481260278000.000000,-110021000.000000,573728329000.000000,-78080280000.000000,2780311022000.000000,7731830939000.000000,16464270400.000000
12M 2018,,,32328658000.000000,,419484055000.000000,1395909000.000000,418088146000.000000,419484055000.000000,169828958000.000000,168197429000.000000,1631529000.000000,169828958000.000000,3242076359000.000000,3863718030000.000000,,72725696000.000000,575603893000.000000,897825000.000000,801699400000.000000,607807898000.000000,2102113071000.000000,4160847783000.000000,8024565813000.000000,,,3382175325000.000000,,1200046000.000000,1610497739000.000000,1611697785000.000000,,20434408000.000000,20434408000.000000,342391912000.000000,583886841000.000000,,768272084000.000000,9081698000.000000,,777353782000.000000,46410597000.000000,3382175325000.000000,2949969316000.000000,,1040376000.000000,,2675467258000.000000,4017472000.000000,,2679484730000.000000,269444210000.000000,2949969316000.000000,6332144641000.000000,,1803512716000.000000,481280278000.000000,,481280278000.000000,-1101120479000.000000,554583280000.000000,-45834623000.000000,1692421172000.000000,8024565813000.000000,16464270400.000000
12M 2019,,,22235701000.000000,,568183164000.000000,1395909000.000000,566787255000.000000,568183164000.000000,25238359000.000000,23606687000.000000,1631672000.000000,25238359000.000000,3804381240000.000000,4420038464000.000000,,80915551000.000000,591051045000.000000,919235000.000000,755556286000.000000,607807898000.000000,2111365124000.000000,4147615139000.000000,8567653603000.000000,,,7113791519000.000000,,1200035000.000000,2267192515000.000000,2268392550000.000000,,23541876000.000000,23541876000.000000,858302797000.000000,532261488000.000000,,3319521441000.000000,4342527000.000000,,3323863968000.000000,107428840000.000000,7113791519000.000000,305874648000.000000,,2682092000.000000,,,2033884000.000000,,2033884000.000000,301158672000.000000,305874648000.000000,7419666167000.000000,,1803512716000.000000,481280278000.000000,,481280278000.000000,-1651953467000.000000,564085422000.000000,-48937513000.000000,1147987436000.000000,8567653603000.000000,16464270400.000000
12M 2020,,,39436201000.000000,,489891799000.000000,1664600000.000000,488227199000.000000,489891799000.000000,612605391000.000000,105279931000.000000,507325460000.000000,612605391000.000000,2717663617000.000000,3859597008000.000000,,115038280000.000000,1252708214000.000000,1165424000.000000,680914303000.000000,601686785000.000000,2073171916000.000000,4724684922000.000000,8584281930000.000000,,,7910773514000.000000,,176446307000.000000,2178555387000.000000,2355001694000.000000,,32242541000.000000,32242541000.000000,1498569475000.000000,492327833000.000000,,3381904441000.000000,2141218000.000000,12969355000.000000,3397015014000.000000,135616957000.000000,7910773514000.000000,459073171000.000000,,1334091000.000000,,,1705596000.000000,22685372000.000000,24390968000.000000,433348112000.000000,459073171000.000000,8369846685000.000000,,1803512716000.000000,480830278000.000000,,480830278000.000000,-2511700748000.000000,569071025000.000000,-127278026000.000000,214435245000.000000,8584281930000.000000,16464270400.000000
12M 2021,,,16750205000.000000,,454006412000.000000,1664600000.000000,452341812000.000000,454006412000.000000,613506001000.000000,101180542000.000000,512325459000.000000,613506001000.000000,2835122904000.000000,3919385522000.000000,,92691082000.000000,1252253978000.000000,4485424000.000000,631227792000.000000,601686785000.000000,2071785974000.000000,4654131035000.000000,8573516557000.000000,,,8854188785000.000000,,521912451000.000000,1862992471000.000000,2384904922000.000000,,78273190000.000000,78273190000.000000,2368522254000.000000,471066242000.000000,,3421226095000.000000,1201722000.000000,30519404000.000000,3452947221000.000000,98474956000.000000,8854188785000.000000,336666022000.000000,,1311584000.000000,,,1508943000.000000,38614902000.000000,40123845000.000000,295230593000.000000,336666022000.000000,9190854807000.000000,,1803512716000.000000,480830278000.000000,,480830278000.000000,-3401827353000.000000,576898150000.000000,-76752041000.000000,-617338250000.000000,8573516557000.000000,16464270400.000000
12M 2022,,,13746718000.000000,,345481627000.000000,26073659000.000000,319407968000.000000,345481627000.000000,18605977000.000000,18605977000.000000,,18605977000.000000,3172975846000.000000,3550810168000.000000,,107119381000.000000,907222492000.000000,8403923000.000000,1409444352000.000000,601686785000.000000,2288495310000.000000,5322372243000.000000,8873182411000.000000,,,10197136632000.000000,,472927268000.000000,1719401608000.000000,2192328876000.000000,,64593762000.000000,64593762000.000000,3662769582000.000000,452487034000.000000,,3771761860000.000000,798815000.000000,30004063000.000000,3802564738000.000000,22392640000.000000,10197136632000.000000,260440629000.000000,,5259854000.000000,,,459827000.000000,12074405000.000000,12534232000.000000,242646543000.000000,260440629000.000000,10457577261000.000000,,1803512716000.000000,480830278000.000000,,480830278000.000000,-5123298666000.000000,607150530000.000000,647410292000.000000,-1584394850000.000000,8873182411000.000000,16464270400.000000
12M 2023,,,27247583000.000000,,263375650000.000000,4625160000.000000,258750490000.000000,263375650000.000000,369924773000.000000,369924773000.000000,,369924773000.000000,2225191988000.000000,2885739994000.000000,,40444971000.000000,1015053708000.000000,4537191000.000000,1319590017000.000000,601686785000.000000,2009942588000.000000,4991255260000.000000,7876995254000.000000,,,12710309807000.000000,,773365449000.000000,1708489187000.000000,2481854636000.000000,,105894592000.000000,105894592000.000000,5564347242000.000000,783295394000.000000,,3696235512000.000000,1315051000.000000,8083909000.000000,3705634472000.000000,69283471000.000000,12710309807000.000000,289547921000.000000,90089739000.000000,6807035000.000000,,,3812661000.000000,4809326000.000000,8621987000.000000,184029160000.000000,289547921000.000000,12999857728000.000000,,1803512716000.000000,480830278000.000000,,480830278000.000000,-8409044316000.000000,504498763000.000000,497340085000.000000,-5122862474000.000000,7876995254000.000000,16464270400.000000
