Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Pendapatan Keuangan,Laba (Rugi) Selisih Kurs,Laba (Rugi) Atas Penjualan Aset Tetap,Beban Keuangan,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Bagian Atas Hasil Bersih Entitas Asosiasi,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2009,369702974669.000000,-244815803538.000000,124887171131.000000,-52250198090.000000,-5459424044.000000,-27967173423.000000,395876533.000000,3368453865.000000,-252454880.000000,-23949984153.000000,1614508012.000000,-52250198090.000000,72636973041.000000,3926414824.000000,,3926414824.000000,3926414824.000000,76563387865.000000,-23030457195.000000,-11183864637.000000,-11846592558.000000,-23030457195.000000,53532930670.000000,,,,53532930670.000000,53532930670.000000,43497262985.000000,10035667685.000000,53532930670.000000,53532930670.000000,43497262985.000000,10035667685.000000,53532930670.000000
12M 2010,413432281973.000000,-231170329109.000000,182261952864.000000,-46531640521.000000,-4102332914.000000,-28770506900.000000,388413426.000000,1022140129.000000,95480000.000000,-23766074862.000000,8601240600.000000,-46531640521.000000,135730312343.000000,-458892205.000000,-458892205.000000,,-458892205.000000,135271420138.000000,-34563079455.000000,-26224165625.000000,-8338913830.000000,-34563079455.000000,100708340683.000000,,,,100708340683.000000,100708340683.000000,80113700647.000000,20594640036.000000,100708340683.000000,100708340683.000000,80113700647.000000,20594640036.000000,100708340683.000000
12M 2011,647059462207.000000,-344646457551.000000,302413004656.000000,-56018816322.000000,-5675958371.000000,-39524471156.000000,16921447879.000000,-3970754904.000000,130000000.000000,-32941394540.000000,9042314770.000000,-56018816322.000000,246394188334.000000,-1403337.000000,-1403337.000000,,-1403337.000000,246392784997.000000,-60972461234.000000,-44934736330.000000,-16037724904.000000,-60972461234.000000,185420323763.000000,,,,185420323763.000000,185420323763.000000,181227827053.000000,4192496710.000000,185420323763.000000,185420323763.000000,181227827053.000000,4192496710.000000,185420323763.000000
12M 2012,681864295451.000000,-429685074300.000000,252179221151.000000,-54193573462.000000,-10403948335.000000,-43789625127.000000,,,,,,-54193573462.000000,197985647689.000000,935864257.000000,-63925257.000000,999789514.000000,935864257.000000,198921511946.000000,-45190745747.000000,-35505607614.000000,-9685138133.000000,-45190745747.000000,153730766199.000000,,,,153730766199.000000,153730766199.000000,150489161747.000000,3241604452.000000,153730766199.000000,153730766199.000000,150489161747.000000,3241604452.000000,153730766199.000000
12M 2013,648515639856.000000,-428311443886.000000,220204195970.000000,-53483309639.000000,-9397648268.000000,-44085661371.000000,,,,,,-53483309639.000000,166720886331.000000,-55532088877.000000,,-55532088877.000000,-55532088877.000000,111188797454.000000,-41153519068.000000,-29661244261.000000,-11492274807.000000,-41153519068.000000,70035278386.000000,,,,70035278386.000000,70035278386.000000,67778244685.000000,2257033701.000000,70035278386.000000,70035278386.000000,67778244685.000000,2257033701.000000,70035278386.000000
12M 2014,760611299590.000000,-544717865416.000000,215893434174.000000,-71425453656.000000,-19434554502.000000,-51990899154.000000,,,,,,-71425453656.000000,144467980518.000000,-68439709889.000000,,-68439709889.000000,-68439709889.000000,76028270629.000000,-24342143340.000000,-9201835659.000000,-15140307681.000000,-24342143340.000000,51686127289.000000,,,,51686127289.000000,51686127289.000000,50498016195.000000,1188111094.000000,51686127289.000000,51686127289.000000,50498016195.000000,1188111094.000000,51686127289.000000
12M 2015,658308935085.000000,-511343018542.000000,146965916543.000000,-70372273538.000000,-23371272981.000000,-47001000557.000000,,,,,,-70372273538.000000,76593643005.000000,-79392331338.000000,,-79392331338.000000,-79392331338.000000,-2798688333.000000,-8916814827.000000,-4733238827.000000,-4183576000.000000,-8916814827.000000,-11715503160.000000,-4396937213.000000,-4396937213.000000,-4396937213.000000,-16112440373.000000,-11715503160.000000,-11820997843.000000,105494683.000000,-11715503160.000000,-16112440373.000000,-15993930680.000000,-118509693.000000,-16112440373.000000
12M 2016,590138302043.000000,-520568097445.000000,69570204598.000000,-65466767482.000000,-18359766701.000000,-47107000781.000000,,,,,,-65466767482.000000,4103437116.000000,-226659340855.000000,,-226659340855.000000,-226659340855.000000,-222555903739.000000,-2576736349.000000,-2392406319.000000,-184330030.000000,-2576736349.000000,-225132640088.000000,-14488661869.000000,-14488661869.000000,-14488661869.000000,-239621301957.000000,-225132640088.000000,-222525065593.000000,-2607574495.000000,-225132640088.000000,-239621301957.000000,-236744611231.000000,-2876690726.000000,-239621301957.000000
12M 2017,555139580764.000000,-493697284516.000000,61442296248.000000,-60020112318.000000,-16910098132.000000,-43110014186.000000,,,,,,-60020112318.000000,1422183930.000000,-235673190230.000000,,-235673190230.000000,-235673190230.000000,-234251006300.000000,34321928850.000000,-2269200731.000000,36591129581.000000,34321928850.000000,-199929077450.000000,-12725977233.000000,-12725977233.000000,-12725977233.000000,-212655054683.000000,-199929077450.000000,-197335834895.000000,-2593242555.000000,-199929077450.000000,-212655054683.000000,-209819549806.000000,-2835504877.000000,-212655054683.000000
12M 2018,745508896455.000000,-730074322122.000000,15434574333.000000,-319732736119.000000,-22618417851.000000,-46764618899.000000,1204470842.000000,,,-207182364176.000000,-44371806035.000000,-319732736119.000000,-304298161786.000000,,,,,-304298161786.000000,4151167034.000000,-126114947.000000,4277281981.000000,4151167034.000000,-300146994752.000000,32995387083.000000,32995387083.000000,32995387083.000000,-267151607669.000000,-300146994752.000000,-298472320487.000000,-1674674265.000000,-300146994752.000000,-267151607669.000000,-265727310461.000000,-1424297208.000000,-267151607669.000000
