Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Pajak Tangguhan,Piutang Pihak Berelasi,Investasi Pada Entitas Asosiasi,Pembibitan,Tanaman Perkebunan,Tanaman Telah Menghasilkan,Tanaman Belum Menghasilkan,Total Tanaman Perkebunan,Aset Tetap,Goodwill,Beban Akrual,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Lain-Lain,Utang Sewa Pembiayaan,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Lain-Lain,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Kewajiban Lembaga Keuangan Non Bank,Utang Sewa Pembiayaan,Utang Jangka Panjang Dari Pihak Berelasi,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,25851129313.000000,8629778906.000000,3973290888.000000,32503090794.000000,10484880135.000000,81442170036.000000,,4788716611.000000,10408293973.000000,,17136314370.000000,373203868959.000000,103619161676.000000,269584707283.000000,373203868959.000000,156418137787.000000,,,12255352181.000000,574210683881.000000,655652853917.000000,,,128816917495.000000,56500000000.000000,15346837543.000000,3324808277.000000,8029203475.000000,13905571220.000000,,30787000000.000000,,923496980.000000,,31710496980.000000,,128816917495.000000,259100976743.000000,,,231037145089.000000,,336519453.000000,119457509.000000,,231493122051.000000,4356216818.000000,23251637874.000000,259100976743.000000,387917894238.000000,,100000000000.000000,22850000000.000000,85986749680.000000,,85986749680.000000,85986749680.000000,58898209999.000000,,267734959679.000000,655652853917.000000,250000.000000
12M 2009,,,24056044789.000000,8734193957.000000,7358035152.000000,23026812955.000000,10718019534.000000,73893106387.000000,,3416164743.000000,16147240659.000000,,16101132613.000000,524817118941.000000,152691028218.000000,372126090723.000000,524817118941.000000,180748719531.000000,,,8119330739.000000,749349707226.000000,823242813613.000000,,,125918368738.000000,56500000000.000000,21340845966.000000,3026047350.000000,5476018612.000000,15756195816.000000,,23501000000.000000,,318260994.000000,,23819260994.000000,,125918368738.000000,401604108346.000000,,,325937859228.000000,,3797101.000000,,,325941656329.000000,14830199741.000000,60832252276.000000,401604108346.000000,527522477084.000000,,125000000000.000000,10150000000.000000,129484012665.000000,,129484012665.000000,129484012665.000000,31086323864.000000,,295720336529.000000,823242813613.000000,312500.000000
12M 2010,,,38011090998.000000,16315940808.000000,4614038445.000000,30271763957.000000,16112755209.000000,105325589417.000000,,3077881571.000000,16847984225.000000,6961187795.000000,11554790805.000000,674402509816.000000,166477130200.000000,507925379616.000000,674402509816.000000,207472980170.000000,,,21245853098.000000,941563187480.000000,1046888776897.000000,,,134592838505.000000,53500000000.000000,17434047313.000000,1399710186.000000,14618158704.000000,15082633871.000000,,30157297090.000000,,2400991341.000000,,32558288431.000000,,134592838505.000000,523764286794.000000,,,425876644375.000000,,1830983385.000000,307678034.000000,,428015305794.000000,22830830399.000000,72918150601.000000,523764286794.000000,658357125299.000000,,135228000000.000000,,209597713312.000000,,209597713312.000000,209597713312.000000,43705938286.000000,,388531651598.000000,1046888776897.000000,338070.000000
12M 2011,,,495694763790.000000,35213428320.000000,10154498152.000000,48055817432.000000,6618916444.000000,595737424138.000000,,2149484097.000000,,6959704461.000000,23291370818.000000,947852807387.000000,299757032720.000000,648095774667.000000,947852807387.000000,332590435347.000000,17979322415.000000,,15880488118.000000,1346703612643.000000,1942441036781.000000,,,211109796787.000000,56500000000.000000,24045532034.000000,9634238693.000000,26466224598.000000,21328504343.000000,,67359784588.000000,,3908735069.000000,,71268519657.000000,1866777462.000000,211109796787.000000,596797719121.000000,,,521121709269.000000,,535426017.000000,,,521657135286.000000,37944297690.000000,37196286145.000000,596797719121.000000,807907515908.000000,,377468550000.000000,433917673015.000000,293470180983.000000,7210233058.000000,286259947925.000000,293470180983.000000,29677116875.000000,,1134533520873.000000,1942441036781.000000,3774685500.000000
12M 2012,,,221226400871.000000,15326729854.000000,13005394290.000000,63422256586.000000,23823225703.000000,336804007304.000000,,2212551469.000000,,,32350686474.000000,1265297422410.000000,467729884230.000000,797567538180.000000,1265297422410.000000,577634534293.000000,17979322415.000000,,8400417862.000000,1903874934923.000000,2240678942227.000000,,,408299601792.000000,142000000000.000000,113513817236.000000,6583449554.000000,23547451888.000000,31198529869.000000,,89187840818.000000,,299636390.000000,,89487477208.000000,1968876037.000000,408299601792.000000,579098205181.000000,,,487384125009.000000,,7869484.000000,,,487391994493.000000,47692503195.000000,44013707493.000000,579098205181.000000,987397806973.000000,,377468550000.000000,433917673015.000000,407722361930.000000,16271624411.000000,391450737519.000000,407722361930.000000,34172550309.000000,,1253281135254.000000,2240678942227.000000,3774685500.000000
12M 2013,,,85976108463.000000,29257440048.000000,7205482874.000000,86573748467.000000,46990084955.000000,256002864807.000000,,2827263794.000000,,,25328201784.000000,1520198996163.000000,792371999131.000000,727826997032.000000,1520198996163.000000,821238610480.000000,17979322415.000000,,15462106040.000000,2403034500676.000000,2659037365483.000000,,,395988681215.000000,106500000000.000000,89234903161.000000,7866733759.000000,37730695477.000000,19842861303.000000,,130755309322.000000,,130048028.000000,,130885357350.000000,3928130165.000000,395988681215.000000,988676895402.000000,,,882555940632.000000,,106880572.000000,,,882662821204.000000,59799490327.000000,46214583871.000000,988676895402.000000,1384665576617.000000,,377468550000.000000,433917673015.000000,430353858091.000000,23796082498.000000,406557775593.000000,430353858091.000000,32631707760.000000,,1274371788866.000000,2659037365483.000000,3774685500.000000
12M 2014,,,72463829067.000000,13758583104.000000,11593886402.000000,51901872225.000000,87067319500.000000,236785490298.000000,,1701030363.000000,,,19304760893.000000,1751814708294.000000,855660228631.000000,896154479663.000000,1751814708294.000000,974123444797.000000,17979322415.000000,,60781346382.000000,2825704613144.000000,3062490103442.000000,,,447981923625.000000,106500000000.000000,79382674669.000000,9773838517.000000,15288539852.000000,23491581459.000000,,199459792206.000000,,106880572.000000,,199566672778.000000,13978616350.000000,447981923625.000000,1298849764376.000000,,,1137421789210.000000,37320000000.000000,,,,1174741789210.000000,73813564577.000000,50294410589.000000,1298849764376.000000,1746831688001.000000,,377468550000.000000,433917673015.000000,474057440386.000000,27184994732.000000,446872445654.000000,474057440386.000000,30214752040.000000,,1315658415441.000000,3062490103442.000000,3774685500.000000
12M 2015,,,22003007811.000000,17099681270.000000,15226517784.000000,53654344188.000000,102520070014.000000,210503621067.000000,,931466489.000000,,,15868389553.000000,1975988728678.000000,917939998390.000000,1058048730288.000000,1975988728678.000000,1088908180040.000000,17979322415.000000,,57972054027.000000,3157648141202.000000,3368151762269.000000,,,451498516908.000000,155500000000.000000,76516365182.000000,19497571896.000000,6309266416.000000,25167589784.000000,,127122723630.000000,41385000000.000000,,,168507723630.000000,,451498516908.000000,1626712445984.000000,,,1486851598972.000000,,,,,1486851598972.000000,74646765088.000000,65214081924.000000,1626712445984.000000,2078210962892.000000,,377468550000.000000,433917673015.000000,455687287933.000000,29709895542.000000,425977392391.000000,455687287933.000000,30222637031.000000,-7355348602.000000,1289940799377.000000,3368151762269.000000,3774685500.000000
12M 2016,,,5988482405.000000,19002511790.000000,7528438554.000000,51018292210.000000,106761130121.000000,190298855080.000000,,5143641454.000000,,,10020896872.000000,1965226660156.000000,918525850264.000000,1046700809892.000000,1965226660156.000000,1051238712526.000000,17979322415.000000,,51208803375.000000,3100818036798.000000,3291116891878.000000,,,645953132608.000000,210727000000.000000,91014949215.000000,69348797556.000000,18299917492.000000,49766886196.000000,,184556020132.000000,,,,184556020132.000000,22239562017.000000,645953132608.000000,1594844261850.000000,,,1432540199262.000000,,,,,1432540199262.000000,73778894633.000000,88525167955.000000,1594844261850.000000,2240797394458.000000,,377468550000.000000,433917673015.000000,233166646338.000000,29709895542.000000,203456750796.000000,233166646338.000000,27347362256.000000,-21580734189.000000,1050319497420.000000,3291116891878.000000,3774685500.000000
12M 2017,,,6789351300.000000,12034881971.000000,8582527122.000000,51647297860.000000,116446776215.000000,195500834468.000000,,9337963817.000000,,,9770352545.000000,2010003056868.000000,900225378359.000000,1109777678509.000000,2010003056868.000000,1034432840213.000000,17979322415.000000,,35457621312.000000,3116981157170.000000,3312481991638.000000,,,1274614033145.000000,131500000000.000000,70262052976.000000,621361662940.000000,13659388045.000000,51071945681.000000,,365577366889.000000,,,,365577366889.000000,21181616614.000000,1274614033145.000000,1197888515756.000000,,,1049141729366.000000,,,,,1049141729366.000000,38581587452.000000,110165198938.000000,1197888515756.000000,2472502548901.000000,,377468550000.000000,434217673015.000000,35830811443.000000,29709895542.000000,6120915901.000000,35830811443.000000,24559789546.000000,-32097381267.000000,839979442737.000000,3312481991638.000000,3774685500.000000
