Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,0.00,835347.00,0.00,835347.00,88 B,231 B,320 B,294 B,(47 B)
12M 2009,0.00,846828.84,0.00,846828.84,80 B,326 B,,382 B,(52 B)
12M 2010,0.00,1019983.18,0.00,1019983.18,86 B,428 B,514 B,476 B,(29 B)
12M 2011,1.30,292.70,1.32,287.94,128 B,522 B,649 B,154 B,385 B
12M 2012,1.18,322.97,1.19,318.21,231 B,487 B,719 B,498 B,(71 B)
12M 2013,1.16,328.97,1.17,324.20,237 B,883 B,"1,120 B","1,034 B",(140 B)
12M 2014,1.11,340.54,1.13,335.78,306 B,"1,175 B","1,481 B","1,408 B",(211 B)
12M 2015,0.66,333.73,0.67,328.96,283 B,"1,487 B","1,769 B","1,747 B",(241 B)
12M 2016,0.47,271.01,0.48,266.25,395 B,"1,433 B","1,828 B","1,822 B",(456 B)
12M 2017,0.94,216.02,0.96,211.26,497 B,"1,049 B","1,546 B","1,539 B","(1,079 B)"
12M 2018,0.77,174.47,0.80,169.71,90 B,"2,214 B","2,304 B","2,291 B",(36 B)
12M 2019,0.92,99.72,0.97,94.96,142 B,"2,437 B","2,579 B","2,573 B",(268 B)
12M 2020,1.59,61.48,1.73,56.72,264 B,"2,326 B","2,590 B","2,582 B",(350 B)
12M 2021,4.80,56.23,5.25,51.46,353 B,"2,104 B","2,457 B","2,444 B",(359 B)
12M 2022,3.64,28.82,4.37,24.05,405 B,"1,831 B","2,236 B","2,234 B",(393 B)
12M 2023,3.00,59.96,3.06,58.85,354 B,"1,610 B","1,964 B","1,957 B",(329 B)
12M 2024,1.31,83.68,1.31,83.68,230 B,765 B,995 B,989 B,(2 B)
