Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Kepada Karyawan,Penerimaan Bunga,Pembayaran Pajak Penghasilan Badan,Pembayaran Pajak Lainnya Dan Dana Kompensasi,Penerimaan Restitusi Pajak,Pembayaran Bunga Dan Beban Keuangan,Penerimaan Piutang Sewa Pembiayaan,Pembayaran Royalti,Pembayaran Biaya Pembongkaran Dan Reklamasi,Pembayaran Kompensasi Atas Penghentian Pit Crushing And Conveying System (,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Pembayaran Atas Akuisisi Entitas Sepengendali,Perolehan Aset Tetap,Pemberian Pinjaman Pihak Ketiga,Pemberian Pinjaman Pihak Berelasi,Penerimaan Pembayaran Pinjaman Dari Pihak Berelasi,Penerimaan Dari Pencairan Deposito Berjangka Yang Dibatasi Penggunaannya,Hasil Penjualan Aset Tetap,Pemberian Pinjaman Ke Pemegang Saham,Transfer Ke Kas Yang Dibatasi Penggunaannya,Penerimaan Pencairan Deposito,Pembayaran Uang Muka Proyek,Penambahan Aset Eksplorasi Dan Evaluasi,Pembayaran Atas Akuisisi Entitas Dari Pihak Ketiga,Pembayaran Atas Aset Tidak Berwujud,Penambahan Properti Pertambangan,Pemberian Pitang Lain-Lain,Penerimaan Dari Piutang Lain-Lain,Penerimaan Dari Klaim Sehubungan Dengan Pcc,Penerimaan Dari Hasil Penjualan Pcc,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Pinjaman Dari Pihak Berelasi,Pembayaran Pinjaman Dari Pihak Berelasi,Penerimaan Utang Bank,Pembayaran Beban Yang Berhubungan Dengan Pinjaman,Pemberian Pinjaman Pihak Ketiga,Penerimaan Penambahan Modal,Penerimaan Penambahan Modal Melalui Penawaran Umum Saham Perdana,Pembayaran Emisi Saham,Pembayaran Dividen Kepada Pihak Non-Pengendali,Pembayaran Utang Sewa Pembiayaan,Penerimaan Uang Muka Atas Setoran Modal Di Entitas Anak Dari Pihak Non-Pengendali,Pembayaran Atas Penurunan Modal Kepada Pihak Non-Pengendali,Pembayaran Atas Pengurangan Modal Pada Perusahaan,Pembayaran Atas Pengurangan Modal Pada Entitas Anak,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2018,6922586.000000,119502730.000000,-95560835.000000,-6626556.000000,993852.000000,-919344.000000,,3250534.000000,-1942773.000000,,-8641159.000000,-3133863.000000,,6922586.000000,-78374395.000000,,-98012959.000000,,,,,,,-3105471.000000,,,-1864807.000000,,-203095.000000,-5848063.000000,-240000.000000,,30900000.000000,,-78374395.000000,70993560.000000,129075000.000000,-20175000.000000,,,,,,,,,,,-37906440.000000,,70993560.000000,-458249.000000,40284532.000000,-1444582.000000,38381701.000000
12M 2019,141194796.000000,111015727.000000,-97947028.000000,-7326200.000000,2442004.000000,-4317315.000000,,27497099.000000,-751946.000000,,-12250059.000000,-3489415.000000,126321929.000000,141194796.000000,-318730069.000000,,-158022765.000000,,,,,102861.000000,-147000000.000000,-558392.000000,,,-11544346.000000,,-16873.000000,-6461775.000000,-250000.000000,516417.000000,,4504804.000000,-318730069.000000,175097561.000000,213674897.000000,-38577336.000000,,,,,,,,,,,,,175097561.000000,-2437712.000000,38381701.000000,334174.000000,36278163.000000
12M 2020,29791089.000000,117602687.000000,-67358171.000000,-8403378.000000,2488519.000000,-1363962.000000,,2458222.000000,-4605909.000000,1355909.000000,-9328099.000000,-5922413.000000,2867684.000000,29791089.000000,-52412619.000000,,-43230266.000000,,,,,4162.000000,-7112032.000000,-835196.000000,,,-1715804.000000,,-1825860.000000,-664788.000000,,,,2967165.000000,-52412619.000000,29762142.000000,140188637.000000,-96942765.000000,,,,,,,,-193603.000000,,,,-13290127.000000,29762142.000000,7140612.000000,36278163.000000,-846479.000000,42572296.000000
12M 2021,160167890.000000,376355183.000000,-137406706.000000,-8375292.000000,280602.000000,-6113812.000000,,12011098.000000,-15300827.000000,2383325.000000,-60593983.000000,-3071698.000000,,160167890.000000,-394097668.000000,-381900000.000000,-11384995.000000,,,,,145450.000000,,-1007906.000000,114224.000000,,-64441.000000,,,,,,,,-394097668.000000,373224214.000000,187760000.000000,-54000000.000000,,,,195000000.000000,46222762.000000,-1513307.000000,,-245241.000000,,,,,373224214.000000,139294436.000000,42572296.000000,-1038543.000000,180828189.000000
12M 2022,479691758.000000,929650360.000000,-240093965.000000,-10534872.000000,4115770.000000,-66183827.000000,,22718272.000000,-23519438.000000,3599996.000000,-138895465.000000,-1165073.000000,,479691758.000000,-23878540.000000,-20822.000000,-21136735.000000,,,,,,,-3071540.000000,488512.000000,,,,-137955.000000,,,,,,-23878540.000000,-119223891.000000,300000.000000,-147855430.000000,,,,,,,-2753793.000000,-158901.000000,31244233.000000,,,,-119223891.000000,336589327.000000,180828189.000000,-6035349.000000,511382167.000000
12M 2023,296585023.000000,965803597.000000,-353625736.000000,-17557263.000000,19583669.000000,-150230766.000000,,25376693.000000,-31056352.000000,4441667.000000,-160510492.000000,-5639994.000000,,296585023.000000,-140683372.000000,-106557.000000,-133471907.000000,,,,,,,-5848942.000000,,,-544469.000000,,-711497.000000,,,,,,-140683372.000000,-82489798.000000,1126412.000000,-170621785.000000,100004594.000000,-12430530.000000,-24500000.000000,,,,-476594.000000,-909737.000000,28351571.000000,-3033729.000000,,,-82489798.000000,73411853.000000,511382167.000000,1628511.000000,586422531.000000
12M 2024,524147491.000000,1240980574.000000,-444647502.000000,-18929120.000000,27581963.000000,-145971710.000000,,36559233.000000,-23969485.000000,4100000.000000,-148710236.000000,-2846226.000000,,524147491.000000,-403296307.000000,-64.000000,-399774792.000000,-9579768.000000,-1274616.000000,7705150.000000,10398322.000000,,,-4854904.000000,,,-2972865.000000,-7764.000000,-207602.000000,-2727404.000000,,,,,-403296307.000000,-92277619.000000,1800775.000000,-323774181.000000,199993040.000000,-256061.000000,,,,,-1.000000,-1156191.000000,31115000.000000,,,,-92277619.000000,28573565.000000,586422531.000000,-2390739.000000,612605357.000000
