Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Premi,"Penerimaan Kas Dari Tertanggung, Reasuradur, Dan Pelanggan",Penerimaan Reasuransi,Penerimaan Lain-Lain,Pembayaran Premi Reasuransi,"Pembayaran Kas Kepada Tertanggung, Reasuradur, Dan Pemasok",Pembayaran Komisi,Pembayaran Karyawan,Pembayaran Tantiem,Penerimaan Dari Pengembalian Pajak,Pembayaran Pajak,Pembayaran Beban Lain-Lain,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Pencairan Deposlto,Penerimaan Hasil Investasi,Hasil Penjualan Saham,Hasil Penjualan Aset Tetap,Penjualan Saham,Penjualan Reksa Dana,Investasi Diukur Pada Biaya Perolehan Diamortisasi,Investasi Diukur Melalui Nilai Wajar Laba Rugi,Investasi Lain,Pembelian Perangkat Lunak,Perolehan Aset Tak Berwujud,Penjualan Obligasi,Penempatan Deposito,Pembelian Obligasi,Pembelian Reksa Dana,Pembelian Aset Lain,Pembelian Saham,Perolehan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Dividen,Pembayaran Utang Lain-Lain,Tambahan Modal Disetor,Pembayaran Liabilitas Sewa,Biaya Emisi Saham,Pembayaran Tantiem,Total Arus Kas Dari Aktivitas Pendanaan,Adjustment,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2021,4348915380.000000,,100460517970.000000,35640128210.000000,8085881654.000000,,-88225835643.000000,,-12479612496.000000,,,-2280447543.000000,-36851716772.000000,,4348915380.000000,-14278932875.000000,,,,,,,168248392.000000,-12743048008.000000,-1335828059.000000,,,,,,,,,-368305200.000000,-14278932875.000000,,,,,,,,,,-9930017495.000000,62836704859.000000,52906687364.000000
12M 2022,-11022677127.000000,,132002236575.000000,21935203868.000000,13727278933.000000,,-124074801626.000000,,-13067932870.000000,,,-2637978399.000000,-38906683608.000000,,-11022677127.000000,7490028757.000000,,,,,,,-2048998266.000000,5852644423.000000,6162908025.000000,,-816027027.000000,,,,,,,-1660498398.000000,7490028757.000000,,,,,,,,,,-3532648370.000000,52906687364.000000,49374038994.000000
12M 2023,-37895037948.000000,,162525724812.000000,18825573696.000000,1225781423.000000,,-155179016396.000000,,-14325619730.000000,,,-2233946128.000000,-48733535625.000000,,-37895037948.000000,22973640013.000000,,,,283180000.000000,,,-1796446923.000000,11734331414.000000,14334160607.000000,,-4850000.000000,,,,,,,-1576735085.000000,22973640013.000000,,,,,,,,,,-14921397935.000000,49374038994.000000,34452641059.000000
12M 2024,-9060379268.000000,,283505366340.000000,,,,-273923435213.000000,,-17684832429.000000,,,-957477966.000000,,,-9060379268.000000,17068913672.000000,,,,5914167.000000,,,153175035.000000,11261159728.000000,6248025096.000000,,,,,,,,,-599360354.000000,17068913672.000000,-1283800000.000000,,-1283800000.000000,,,,,-1283800000.000000,,6724734404.000000,34452641059.000000,41177375463.000000
