Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2021,1.00 B,1.28,135.94,3.28,2.80 B,0.52%,1.11%,1.44%,
12M 2022,1.00 B,1.50,70.00,2.15,4.24 B,0.51%,1.29%,1.03%,
12M 2023,1.00 B,2.53,24.11,0.84,7.84 B,0.83%,2.10%,2.18%,
12M 2024,1.00 B,2.83,51.24,1.82,5.87 B,0.92%,2.31%,1.49%,
