Period,Aset,Kas Dan Setara Kas,Investasi Jangka Pendek,Deposito Berjangka,Efek Tersedia Untuk Dijual,Others,Total Efek Tersedia Untuk Dijual,Surat Berharga Jangka Menengah,Others,Total Investasi Jangka Pendek,Piutang Premi,Piutang Reasuransi,Piutang Lain-Lain,Aset Reasuransi,Others,Total Aset Reasuransi,Aset Tetap,Aset Tak Berwujud,Aset Pajak Tangguhan,Adjustment,Others,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Utang Klaim,Liabilitas Kontrak Asuransi,Others,Total Liabilitas Kontrak Asuransi,Utang Reasuransi,Utang Pajak,Beban Akrual,Utang Lain-Lain,Dana Syirkah Temporer,Others,Total Dana Syirkah Temporer,Others,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2021,,18516687364.000000,,,,,,,,,,25697316590.000000,17470596026.000000,30195012282.000000,,30195012282.000000,7872973195.000000,,450386811.000000,,148847998501.000000,249050970769.000000,,,,,,,13501821187.000000,835062480.000000,806960631.000000,13256656524.000000,-1960732910.000000,-1960732910.000000,-1960732910.000000,106940796068.000000,133380563980.000000,,100000000000.000000,13381942138.000000,3281360255.000000,,3281360255.000000,3281360255.000000,-992895603.000000,115670406790.000000,249050970770.000000,1000000000.000000
12M 2022,,18454038994.000000,,,,,,,,,,31558954693.000000,31846147854.000000,31508135747.000000,,31508135747.000000,12737291111.000000,1010200186.000000,731643485.000000,,165266666224.000000,293113078294.000000,,,,,,,7157921494.000000,291367802.000000,1529913238.000000,31478459913.000000,6214157180.000000,6214157180.000000,6214157180.000000,130006844122.000000,176678663749.000000,,100000000000.000000,13381942138.000000,4782219592.000000,,4782219592.000000,4782219592.000000,-1729747185.000000,116434414545.000000,293113078294.000000,1000000000.000000
12M 2023,,7427641059.000000,,,,,,,,,,49437745412.000000,66167821900.000000,30064205091.000000,,30064205091.000000,13250495756.000000,693985990.000000,687623122.000000,,135342019153.000000,303071537483.000000,,,,,,,8624994162.000000,480425897.000000,3015230826.000000,64877198125.000000,-23109818595.000000,-23109818595.000000,-23109818595.000000,128977055955.000000,182865086370.000000,,100000000000.000000,13381942138.000000,7309144503.000000,,7309144503.000000,7309144503.000000,-484635528.000000,120206451113.000000,303071537483.000000,1000000000.000000
12M 2024,,8752375463.000000,,,,,,,,,,36494201954.000000,79257334324.000000,26410972557.000000,,26410972557.000000,12836993337.000000,370146273.000000,855720712.000000,,141197765520.000000,306175510140.000000,,,11264203762.000000,,,,8836248687.000000,428420004.000000,6593889743.000000,76534188987.000000,-47789293161.000000,-47789293161.000000,-47789293161.000000,127812288418.000000,183679946440.000000,,100000000000.000000,13381942138.000000,10138069567.000000,,10138069567.000000,10138069567.000000,-1024448005.000000,122495563700.000000,306175510140.000000,1000000000.000000
