Period,Total Pendapatan,Premi Bruto,Premi Reasuransi,Penurunan (Kenaikan) Premi Yang Belum Merupakan Pendapatan,Pendapatan Underwriting,Hasil Investasi,Others,Total Pendapatan,Total Beban Usaha,Klaim Bruto,Klaim Reasuransi,Beban Komisi,Beban Umum Dan Administrasi,Beban Usaha,Adjustment,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Adjustment,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2021,53023795735.000000,,,,,8176837918.000000,44846957817.000000,53023795735.000000,-51235730419.000000,,,-19913519939.000000,-19526857901.000000,,,-11795352579.000000,-51235730419.000000,1788065316.000000,100461619.000000,,1888526935.000000,-604728038.000000,-742824060.000000,138096022.000000,-604728038.000000,1283798897.000000,-1771691537.000000,-1771691537.000000,-1771691537.000000,-487892640.000000,1283798897.000000,1283798897.000000,,1283798897.000000,-487892640.000000,-487892640.000000,,-487892640.000000
12M 2022,48830815579.000000,,,,,9749609557.000000,39081206022.000000,48830815579.000000,-46050011658.000000,,,-25488290028.000000,-20651311420.000000,,,89589790.000000,-46050011658.000000,2780803921.000000,-687544722.000000,,2093259199.000000,-592399862.000000,-665820961.000000,73421099.000000,-592399862.000000,1500859337.000000,-736851582.000000,-736851582.000000,-736851582.000000,764007755.000000,1500859337.000000,1500859337.000000,,1500859337.000000,764007755.000000,764007755.000000,,764007755.000000
12M 2023,72644896314.000000,,,,,6352280452.000000,66292615862.000000,72644896314.000000,-66154775477.000000,,,-29675288885.000000,-22637118844.000000,,,-13842367748.000000,-66154775477.000000,6490120837.000000,-2976434423.000000,,3513686414.000000,-986761503.000000,-1293926480.000000,307164977.000000,-986761503.000000,2526924911.000000,1245111657.000000,1245111657.000000,1245111657.000000,3772036568.000000,2526924911.000000,2526924911.000000,,2526924911.000000,3772036568.000000,3772036568.000000,,3772036568.000000
12M 2024,79469622179.000000,,,,,5363000046.000000,74106622133.000000,79469622179.000000,-74927736471.000000,,,-30297451003.000000,-27969415387.000000,,,-16660870081.000000,-74927736471.000000,4541885708.000000,-795586187.000000,,3746299521.000000,-917374457.000000,-1219643988.000000,302269531.000000,-917374457.000000,2828925064.000000,-539812477.000000,-539812477.000000,-539812477.000000,2289112587.000000,2828925064.000000,2828925064.000000,,2828925064.000000,2289112587.000000,2289112587.000000,,2289112587.000000
