Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Pajak Tangguhan,Aset Tetap,Investasi Pada Entitas Asosiasi,Aset Dalam Pelaksanaan,Aset Tak Berwujud,Adjustment,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Pembelian Aset Tetap,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Adjustment,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Jangka Panjang Dari Pihak Berelasi,Liabilitas Pajak Tangguhan,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Sewa Pembiayaan,Utang Bank Jangka Panjang,Utang Pembelian Aset Tetap,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,12851579724.000000,35614723985.000000,35610933785.000000,3790200.000000,35614723985.000000,7091321191.000000,6332808172.000000,758513019.000000,7091321191.000000,43549153527.000000,1547653701.000000,100654432128.000000,,3349548169.000000,91598130430.000000,,1489039252.000000,,,3912299422.000000,100349017273.000000,201003449401.000000,,,59028869479.000000,3769201058.000000,,31907484111.000000,5980497875.000000,37887981986.000000,,7833918566.000000,,7833918566.000000,4068052379.000000,1523731697.000000,,,3945983793.000000,,3945983793.000000,,,59028869479.000000,41306017418.000000,,,,,31574437359.000000,,31574437359.000000,9731580059.000000,41306017418.000000,100334886897.000000,,69074050000.000000,21578739873.000000,10012604227.000000,,,10012604227.000000,3168404.000000,,100668562504.000000,201003449401.000000,690740500.000000
12M 2009,,,10024556977.000000,29472573345.000000,29464149945.000000,8423400.000000,29472573345.000000,860703920.000000,164857068.000000,695846852.000000,860703920.000000,45383872790.000000,2174508482.000000,87916215514.000000,,3824907423.000000,99533575485.000000,,528296107.000000,,,4383034130.000000,108269813145.000000,196186028659.000000,,,46512224823.000000,12931084488.000000,,19890105145.000000,4396059086.000000,24286164231.000000,,4118490151.000000,,4118490151.000000,931357151.000000,492369183.000000,,,3301385999.000000,451373620.000000,3752759619.000000,,,46512224823.000000,36202610228.000000,,,,1152927945.000000,23480247830.000000,,24633175775.000000,11569434453.000000,36202610228.000000,82714835051.000000,,69074050000.000000,21578739873.000000,22815132206.000000,,,22815132206.000000,3271529.000000,,113471193608.000000,196186028659.000000,690740500.000000
12M 2010,,,5216964071.000000,36667692192.000000,36573499123.000000,94193069.000000,36667692192.000000,882131292.000000,183594240.000000,698537052.000000,882131292.000000,49618684163.000000,2126443567.000000,94511915285.000000,,4168613017.000000,97002153118.000000,,1776340623.000000,,,1916420426.000000,104863527184.000000,199375442469.000000,,,49094298504.000000,13119037061.000000,,20360915563.000000,4259508404.000000,24620423967.000000,,2893086349.000000,,2893086349.000000,689429039.000000,4066958309.000000,,,3139365472.000000,565998307.000000,3705363779.000000,,,49094298504.000000,31976105707.000000,,,,586029322.000000,18346770928.000000,,18932800250.000000,13043305457.000000,31976105707.000000,81070404211.000000,,69074050000.000000,21578739873.000000,27648664140.000000,13814810000.000000,13833854140.000000,27648664140.000000,3584245.000000,,118305038258.000000,199375442469.000000,690740500.000000
12M 2011,,,9373299679.000000,45517517541.000000,44897942286.000000,619575255.000000,45517517541.000000,1088217233.000000,218408668.000000,869808565.000000,1088217233.000000,47259842444.000000,1905847715.000000,105144724612.000000,,5172226328.000000,100331701554.000000,,2561884251.000000,,,1027342679.000000,109093154812.000000,214237879424.000000,,,61944022033.000000,20220788829.000000,,22708110374.000000,2836499910.000000,25544610284.000000,,3743461615.000000,,3743461615.000000,1913327906.000000,4792786310.000000,,,4875441814.000000,853605275.000000,5729047089.000000,,,61944022033.000000,29393509214.000000,,,,13958252507.000000,425036778.000000,,14383289285.000000,15010219929.000000,29393509214.000000,91337531247.000000,,69074050000.000000,21578739873.000000,32243407060.000000,13814810000.000000,18428597060.000000,32243407060.000000,4151244.000000,,122900348177.000000,214237879424.000000,690740500.000000
12M 2012,,,4532278287.000000,50759040452.000000,50461175861.000000,297864591.000000,50759040452.000000,1198124669.000000,604894889.000000,593229780.000000,1198124669.000000,60792067626.000000,8385110758.000000,125666621792.000000,,5932891258.000000,101728706257.000000,7680984496.000000,8007844296.000000,,,729419657.000000,124079845964.000000,249746467756.000000,,,88824705832.000000,30648218434.000000,,38025993102.000000,3487139855.000000,41513132957.000000,,314397769.000000,,314397769.000000,1975418740.000000,5262863133.000000,,3469590181.000000,5107318125.000000,533766493.000000,9110674799.000000,,,88824705832.000000,31439200976.000000,,,,935334694.000000,12041479034.000000,1250624213.000000,14227437941.000000,17211763035.000000,31439200976.000000,120263906808.000000,,69074050000.000000,21578739873.000000,38824013307.000000,13814810000.000000,25009203307.000000,38824013307.000000,5757768.000000,,129482560948.000000,249746467756.000000,690740500.000000
12M 2013,,,9034836341.000000,73310895950.000000,70739868278.000000,2571027672.000000,73310895950.000000,636694462.000000,332526516.000000,304167946.000000,636694462.000000,70556604227.000000,1569081086.000000,155108112066.000000,,7000022157.000000,126032023952.000000,8054949982.000000,4704954785.000000,,,1089425757.000000,146881376633.000000,301989488699.000000,,,125712112019.000000,39600194476.000000,,54289816347.000000,8285440689.000000,62575257036.000000,,1405102730.000000,196023000.000000,1601125730.000000,2342368142.000000,9725671300.000000,,2037840946.000000,7260941679.000000,568712710.000000,9867495335.000000,,,125712112019.000000,36627023044.000000,,,,14684390619.000000,1073822414.000000,1178866230.000000,16937079263.000000,19689943781.000000,36627023044.000000,162339135063.000000,,69074050000.000000,21578739873.000000,48424620008.000000,13814810000.000000,34609810008.000000,48424620008.000000,572943755.000000,,139650353636.000000,301989488699.000000,690740500.000000
12M 2014,,,7280818687.000000,80739523896.000000,78801884710.000000,1937639186.000000,80739523896.000000,1376732408.000000,794327355.000000,582405053.000000,1376732408.000000,73181753579.000000,4840583170.000000,167419411740.000000,,8949256183.000000,135210633301.000000,7918330518.000000,7513892090.000000,,,4563367805.000000,164155479897.000000,331574891637.000000,,,141425302223.000000,52082738260.000000,,50261270443.000000,9489412396.000000,59750682839.000000,,3006296682.000000,128934000.000000,3135230682.000000,4853149343.000000,10429837541.000000,,3931496245.000000,6442460354.000000,799706959.000000,11173663558.000000,,,141425302223.000000,36781482794.000000,,,,7681939900.000000,1484823018.000000,24153940592.000000,33320703510.000000,3460779284.000000,36781482794.000000,178206785017.000000,,69074050000.000000,21578739873.000000,62623453856.000000,13814810000.000000,48808643856.000000,62623453856.000000,91862891.000000,,153368106620.000000,331574891637.000000,690740500.000000
12M 2015,,,7680719075.000000,88088524441.000000,87113396958.000000,975127483.000000,88088524441.000000,3486359716.000000,1298699457.000000,2187660259.000000,3486359716.000000,80328938283.000000,10174373906.000000,189758915421.000000,,,148556690479.000000,8370123510.000000,611345965.000000,,,29813672984.000000,187351832938.000000,377110748359.000000,,,159132842278.000000,57294971825.000000,,55394065831.000000,12034221868.000000,67428287699.000000,,6647744476.000000,128934000.000000,6776678476.000000,4929869369.000000,12114555856.000000,,6261926598.000000,3181455662.000000,1145096793.000000,10588479053.000000,,,159132842278.000000,65933237971.000000,,,,6704241528.000000,1812793068.000000,,8517034596.000000,57416203375.000000,65933237971.000000,225066080249.000000,,69074050000.000000,21578739873.000000,61648017479.000000,13814810000.000000,47833207479.000000,61648017479.000000,-256139241.000000,,152044668111.000000,377110748360.000000,690740500.000000
12M 2016,,,12779053888.000000,109858436107.000000,108361346707.000000,1497089400.000000,109858436107.000000,2379952175.000000,669088703.000000,1710863472.000000,2379952175.000000,90312510404.000000,7356920028.000000,222686872602.000000,,,299674475232.000000,8548983767.000000,693445002.000000,,,36636163348.000000,345553067349.000000,568239939951.000000,,,169302583936.000000,72272437937.000000,,52881049567.000000,12537081698.000000,65418131265.000000,,2939374936.000000,144434000.000000,3083808936.000000,3772430039.000000,11080193185.000000,,2480550188.000000,9820541046.000000,1374491340.000000,13675582574.000000,,,169302583936.000000,102786060143.000000,,,,33849140248.000000,2446486728.000000,,36295626976.000000,66490433167.000000,102786060143.000000,272088644079.000000,,69074050000.000000,21578739873.000000,75221934126.000000,13814810000.000000,61407124126.000000,75221934126.000000,-242380989.000000,130518952862.000000,296151295872.000000,568239939951.000000,690740500.000000
12M 2017,,,13137707479.000000,120296300417.000000,116147932953.000000,4148367464.000000,120296300417.000000,2601248161.000000,314440298.000000,2286807863.000000,2601248161.000000,120795774143.000000,10298449469.000000,267129479669.000000,,22293973792.000000,311810228981.000000,9037928785.000000,1707442031.000000,,,24305156952.000000,369154730541.000000,636284210210.000000,,,211493160519.000000,113350054132.000000,,59028195798.000000,8431951250.000000,67460147048.000000,,3702622017.000000,128934000.000000,3831556017.000000,3611751120.000000,8545843014.000000,,2634431106.000000,8748844406.000000,3310533676.000000,14693809188.000000,,,211493160519.000000,117221275463.000000,,,,24935576145.000000,8163947758.000000,,33099523903.000000,84121751560.000000,117221275463.000000,328714435982.000000,,69074050000.000000,21578739873.000000,86775425554.000000,13814810000.000000,72960615554.000000,86775425554.000000,-377394061.000000,130518952862.000000,307569774228.000000,636284210210.000000,690740500.000000
