Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Selisih Kurs,Laba (Rugi) Atas Penjualan Aset Tetap,Bagian Atas Hasil Bersih Entitas Asosiasi,Adjustment,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,313125226415.000000,-256225598012.000000,56899628403.000000,-49808764941.000000,-27866533105.000000,-21942231836.000000,-49808764941.000000,7090863462.000000,276537090.000000,172708679.000000,-2004043660.000000,-4545425157.000000,36658185.000000,,,6616639043.000000,276537090.000000,7367400552.000000,-3096306816.000000,,-3096306816.000000,-3096306816.000000,4271093736.000000,-10080.000000,4271083656.000000,,,,,4271083656.000000,4271093736.000000,-10080.000000,4271083656.000000,,,,
12M 2009,276312034061.000000,-223898329158.000000,52413704903.000000,-50706444189.000000,-28190609356.000000,-22515834833.000000,-50706444189.000000,1707260714.000000,10703458417.000000,86951907.000000,-3152443896.000000,3615145491.000000,32925000.000000,,,10120879915.000000,10703458417.000000,12410719131.000000,391911973.000000,-83447280.000000,475359253.000000,391911973.000000,12802631104.000000,-103125.000000,12802527979.000000,,,,,12802527979.000000,12802631104.000000,-103125.000000,12802527979.000000,,,,
12M 2010,314145710944.000000,-252082311939.000000,62063399005.000000,-56337786802.000000,-30337836730.000000,-25999950072.000000,-56337786802.000000,5725612203.000000,447142101.000000,42273922.000000,-2852135933.000000,870320394.000000,-308000.000000,,-2772000.000000,2389763718.000000,447142101.000000,6172754304.000000,-1338310654.000000,-1682016250.000000,343705596.000000,-1338310654.000000,4834443650.000000,-211716.000000,4834231934.000000,,,,,4834231934.000000,4834443650.000000,-211716.000000,4834231934.000000,,,,
12M 2011,344435729830.000000,-271964581408.000000,72471148422.000000,-63407541282.000000,-35012902609.000000,-28394638673.000000,-63407541282.000000,9063607140.000000,-1046681782.000000,34179337.000000,-3510195288.000000,-3559262.000000,369773664.000000,,,2063119767.000000,-1046681782.000000,8016925358.000000,-2040134439.000000,-3043747750.000000,1003613311.000000,-2040134439.000000,5976790919.000000,,5976790919.000000,,,,5976790919.000000,5976790919.000000,5976223920.000000,566999.000000,5976790919.000000,5976790919.000000,5976223920.000000,566999.000000,5976790919.000000
12M 2012,401724215506.000000,-310891552820.000000,90832662686.000000,-77881264957.000000,-45452636570.000000,-32428628387.000000,-77881264957.000000,12951397729.000000,-1287514388.000000,43667401.000000,-3081039186.000000,91168431.000000,217547917.000000,348984496.000000,,1092156553.000000,-1287514388.000000,11663883341.000000,-3701189570.000000,-4461854500.000000,760664930.000000,-3701189570.000000,7962693771.000000,,7962693771.000000,,,,7962693771.000000,7962693771.000000,7962087247.000000,606524.000000,7962693771.000000,7962693771.000000,7962087247.000000,606524.000000,7962693771.000000
12M 2013,567048547543.000000,-442979210563.000000,124069336980.000000,-104378156976.000000,-61478513444.000000,-42899643532.000000,-104378156976.000000,19691180004.000000,-3093394466.000000,85208252.000000,-5178831215.000000,-282913584.000000,467660421.000000,373965486.000000,,1441516174.000000,-3093394466.000000,16597785538.000000,-5157771350.000000,-6224902250.000000,1067130900.000000,-5157771350.000000,11440014188.000000,,11440014188.000000,,,,11440014188.000000,11440014188.000000,11672828201.000000,-232814013.000000,11440014188.000000,11440014188.000000,11672828201.000000,-232814013.000000,11440014188.000000
12M 2014,681419524161.000000,-526791514852.000000,154628009309.000000,-128057565263.000000,-69430890958.000000,-58626674305.000000,-128057565263.000000,26570444046.000000,-3026406588.000000,87672956.000000,-6627654733.000000,92088413.000000,106725601.000000,-136619464.000000,,3451380639.000000,-3026406588.000000,23544037458.000000,-7063322474.000000,-9012556500.000000,1949234026.000000,-7063322474.000000,16480714984.000000,,16480714984.000000,,,,16480714984.000000,16480714984.000000,16961795848.000000,-481080864.000000,16480714984.000000,16480714984.000000,16961795848.000000,-481080864.000000,16480714984.000000
12M 2015,745107731208.000000,-561185818083.000000,183921913125.000000,-150335591618.000000,-81805083022.000000,-68530508596.000000,-150335591618.000000,33586321507.000000,-6210083284.000000,66953448.000000,-8527787807.000000,511039150.000000,67480067.000000,451792992.000000,,1220438866.000000,-6210083284.000000,27376238223.000000,-7309446375.000000,-8620014750.000000,1310568375.000000,-7309446375.000000,20066791848.000000,,20066791848.000000,-1864186311.000000,-1864186311.000000,-1864186311.000000,18202605537.000000,20066791849.000000,20414618242.000000,-347826393.000000,20066791849.000000,18202605538.000000,18550396779.000000,-347791241.000000,18202605538.000000
12M 2016,833850372883.000000,-619332040650.000000,214518332233.000000,-180911622012.000000,-94335140979.000000,-86576481033.000000,-180911622012.000000,33606710221.000000,-8440503685.000000,69638234.000000,-8758342493.000000,-238065995.000000,-367329716.000000,178860257.000000,,674736028.000000,-8440503685.000000,25166206536.000000,-4520085462.000000,-6396753750.000000,1876668288.000000,-4520085462.000000,20646121074.000000,,20646121074.000000,153110334039.000000,153110334039.000000,153110334039.000000,169180507910.000000,20646121074.000000,20636882052.000000,9239022.000000,20646121074.000000,169180507911.000000,169166749659.000000,13758252.000000,169180507911.000000
12M 2017,914188759779.000000,-677184873211.000000,237003886568.000000,-195710157351.000000,-107267914687.000000,-88442242664.000000,-195710157351.000000,41293729217.000000,-13923163861.000000,83704668.000000,-15547955109.000000,-154332940.000000,-348494791.000000,488945018.000000,,1554969293.000000,-13923163861.000000,27370565356.000000,-4399850008.000000,-4791040000.000000,391189992.000000,-4399850008.000000,22970715348.000000,,22970715348.000000,-8443904742.000000,-8443904742.000000,-8443904742.000000,14526810606.000000,22970715348.000000,23105410791.000000,-134695443.000000,22970715348.000000,14526810606.000000,14661823678.000000,-135013072.000000,14526810606.000000
12M 2018,1045029834378.000000,-777714919223.000000,267314915155.000000,-213149072464.000000,-116622116898.000000,-96526955566.000000,-213149072464.000000,54165842691.000000,-14598163348.000000,110972360.000000,-17548989760.000000,467622365.000000,456354388.000000,1154640141.000000,,761237158.000000,-14598163348.000000,39567679343.000000,-7613548091.000000,-10383551750.000000,2770003659.000000,-7613548091.000000,31954131252.000000,,31954131252.000000,4063766669.000000,4063766669.000000,4063766669.000000,36017897921.000000,31954131252.000000,32109766373.000000,-155635121.000000,31954131252.000000,36017897923.000000,36173390566.000000,-155492643.000000,36017897923.000000
