Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok Dan Karyawan,Pembayaran Kas Kepada Pemasok,Pembayaran Kas Kepada Karyawan,Total Pembayaran Kas Kepada Pemasok Dan Karyawan,Pembayaran Kas Untuk Beban Usaha,Penerimaan Kas Dari Pendapatan Bunga,Penerimaan Kas Dari Pendapatan Sewa,Pembayaran Kas Untuk Bunga,Penerimaan Restitusi Pajak,Pembayaran Kas Untuk Pajak,Penerimaan Pembayaran Pph Badan,Penerimaan (Pembayaran ) Kas Lain-Lain,Penerima Kas Dari Klaim Asuransi,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Hasil Penjualan Aset Tetap,Penambahan Aset Dalam Penyelesaian,Dividen Dari Entitas Asosiasi,Penjualan Penyertaan Saham,Investasi Pada Penyertaan Saham,Investasi Pada Entitas Asoisasi,Penerimaan Dari Entitas Anak,Pemberian Pinjaman Kepada Entitas Anak,Penerimaan (Pengeluaran) Kas Yang Diperoleh Dari (Digunakan Untuk) Aktivitas Investasi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan (Pembayaran) Angsuran Leasing,Pembayaran Pinjaman Hutang Bank,Penerimaan (Pembayaran) Pihak Istimewa,Penerimaan Pinjaman Hutang Bank,Pembayaran Sewa Pembiayaan,Pembayaran Bunga,Penerimaan Hutang Kepada Pihak Berelasi,Pembayaran Dividend,Akuisisi Saham Trasuri,Pembayaran Dividen Untuk Kepentingan Non-Pengendali Di Entitas Anak,Penerimaan Setoran Modal Dari Kepentingan Non-Pengendali Di Entitas Anak,Total Arus Kas Dari Aktivitas Pendanaan,Penurunan Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2008,12761524962.000000,320713705844.000000,-266915430970.000000,,,-266915430970.000000,-41479734456.000000,172708679.000000,1946019309.000000,-2004043660.000000,,,,328300216.000000,,,12761524962.000000,-11308830580.000000,-10199211729.000000,379420401.000000,-1489039252.000000,,,,,,,,-11308830580.000000,4304155265.000000,,-2295844735.000000,,6600000000.000000,,,,,,,,4304155265.000000,5756849647.000000,7094730077.000000,,12851579724.000000
12M 2009,11689827583.000000,301506907964.000000,-263915814876.000000,,,-263915814876.000000,-39371228675.000000,84862557.000000,2087540556.000000,-3474125606.000000,,,,1061255787.000000,13710429876.000000,,11689827583.000000,-11144363109.000000,-11295263109.000000,150900000.000000,,,,,,,,,-11144363109.000000,-3372487222.000000,,-5063078973.000000,,1690591751.000000,,,,,,,,-3372487222.000000,-2827022748.000000,12851579724.000000,,10024556976.000000
12M 2010,8089259673.000000,320840907959.000000,-269460308166.000000,,,-269460308166.000000,-42681258553.000000,42667125.000000,2119540556.000000,-2772289248.000000,,,,,,,8089259673.000000,-8655552439.000000,-8657802439.000000,2250000.000000,,,,,,,,,-8655552439.000000,-4241300140.000000,,-5170694888.000000,,1381668685.000000,-452273937.000000,,,,,,,-4241300140.000000,-4807592906.000000,10024556977.000000,,5216964071.000000
12M 2011,17708603858.000000,368452528351.000000,-302610822804.000000,,,-302610822804.000000,-46545897921.000000,34108859.000000,1913503843.000000,-3593936204.000000,,,,59119734.000000,,,17708603858.000000,-8436270482.000000,-9440281333.000000,1004010851.000000,,,,,,,,,-8436270482.000000,-5115997768.000000,,-6208405062.000000,,1700000000.000000,-607592706.000000,,,,,,,-5115997768.000000,4156335608.000000,5216964071.000000,,9373299679.000000
12M 2012,15260831786.000000,396598963568.000000,-316277910493.000000,,,-316277910493.000000,-64214767086.000000,43667401.000000,2191917582.000000,-3081039186.000000,,,,,,,15260831786.000000,-20744042190.000000,-13845342190.000000,433300000.000000,,,,,-7332000000.000000,,,,-20744042190.000000,-6517247920.000000,,-5335609767.000000,,2710960000.000000,-2511117153.000000,,,-1381481000.000000,,,,-6517247920.000000,-12000458324.000000,-10847489150.000000,337182327.000000,-22510765147.000000
12M 2013,26893558457.000000,546521092043.000000,-420822868506.000000,,,-420822868506.000000,-91378829211.000000,85208252.000000,3525239942.000000,-5178831215.000000,,-5857452848.000000,,,,,26893558457.000000,-31821277181.000000,-32353821256.000000,678434075.000000,,,,-145890000.000000,,,,,-31821277181.000000,-3847898504.000000,,-7172215295.000000,,9500000000.000000,-4903461709.000000,,,-2072221500.000000,,,800000000.000000,-3847898504.000000,-8775617228.000000,-22510765147.000000,721024240.000000,-30565358135.000000
12M 2014,23398218901.000000,673362940279.000000,-526956252495.000000,,,-526956252495.000000,-116285388614.000000,87672956.000000,3347365357.000000,-6627654733.000000,,-6541475709.000000,,,3011011860.000000,,23398218901.000000,-21818138714.000000,-22353638719.000000,535500005.000000,,,,,,,,,-21818138714.000000,-15847886557.000000,,-7895162656.000000,,,-5189761901.000000,,,-2762962000.000000,,,,-15847886557.000000,-14267806370.000000,-30565358135.000000,31244931.000000,-44801919574.000000
12M 2015,29666923359.000000,738161551385.000000,,-510185167541.000000,-98478948058.000000,-608664115599.000000,-77804051894.000000,66953448.000000,1886005258.000000,-8527787807.000000,,-15451631432.000000,,,,,29666923359.000000,-19319546259.000000,-19759710325.000000,440164066.000000,,,,,,,,,-19319546259.000000,-15501688728.000000,,-4955970760.000000,,,-7092015468.000000,,,-3453702500.000000,,,,-15501688728.000000,-5154311628.000000,-44801919573.000000,341978451.000000,-49614252750.000000
12M 2016,1641040299.000000,811209613871.000000,,-577456008329.000000,-123368933722.000000,-700824942051.000000,-96023101216.000000,69638234.000000,3995057251.000000,-8758342493.000000,,-8026883297.000000,,,,,1641040299.000000,-12087320549.000000,-12127820549.000000,40500000.000000,,,,,,,,,-12087320549.000000,612243771.000000,,-8280690729.000000,,42000000000.000000,-8033185350.000000,,,-4144443000.000000,-20929437150.000000,,,612243771.000000,-9834036479.000000,-49614252750.000000,-45094819.000000,-59493384048.000000
12M 2017,2153248754.000000,903234514537.000000,,-639642570321.000000,-140374510640.000000,-780017080961.000000,-100277699474.000000,83704668.000000,2915316073.000000,-15547955109.000000,,-8237550980.000000,,,,,2153248754.000000,-21590639194.000000,-27603939194.000000,6013300000.000000,,,,,,,,,-21590639194.000000,-21251154670.000000,,-10036477551.000000,,,-8106344869.000000,,,-3108332250.000000,,,,-21251154670.000000,-40688545110.000000,-59493384049.000000,-30417493.000000,-100212346652.000000
