Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Kas Kepada Karyawan,Pembayaran Kas Untuk Beban Usaha,Pendapatan Keuangan,Beban Keuangan,Penerimaan (Pembayaran) Lain-Lain,Adjustment,Pembayaran Pajak Penghasilan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penempatan Deposito Yang Dibatasi Penggunaannya,Penerimaan Dari Piutang Pihak Berelasi,Pembayaran Untuk Piutang Pihak Berelasi,Perolehan Aset Tetap,Penjualan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Utang Bank Jangka Pendek,Pembayaran Utang Bank Jangka Pendek,Penerimaan Utang Bank Jangka Panjang,Pembayaran Utang Bank Jangka Panjang,Penerimaan Piutang Pihak Berelasi,Pembayaran Piutang Pihak Berelasi,Penerimaan Dari Utang Pihak Berelasi,Pembayaran Utang Pihak Berelasi,Pembayaran Liabilitas Sewa,Penerimaan Utang Pembiayaan Konsumen,Pembayaran Utang Pembiayaan Konsumen,Setoran Modal Melalui Penawaran Umum Perdana,Biaya Emisi Saham,Penerimaan Dari Setoran Modal Saham,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2018,-3191880833.000000,17652913796.000000,-17458839702.000000,-1646266179.000000,-1631513255.000000,,,-22523144.000000,,-85652349.000000,-3191880833.000000,-320285191.000000,,240058812.000000,,-560344003.000000,,-320285191.000000,3416003184.000000,,,1300000000.000000,-47089191.000000,,,11344000000.000000,-9097507125.000000,,,-83400500.000000,,,,3416003184.000000,-96162840.000000,154921733.000000,58758893.000000
12M 2019,398424477.000000,32852504544.000000,-25476435768.000000,-2963534318.000000,-2949043070.000000,,,-706809473.000000,,-358257438.000000,398424477.000000,-2655021910.000000,,,-890498500.000000,-1764523410.000000,,-2655021910.000000,2386597320.000000,,,,-237208630.000000,,,8986378008.000000,-5747370693.000000,,,-615201365.000000,,,,2386597320.000000,129999887.000000,58758893.000000,188758780.000000
12M 2020,-1489409414.000000,38369205091.000000,-32737313589.000000,-4050647581.000000,-1944216785.000000,,,-865096937.000000,,-261339613.000000,-1489409414.000000,558245389.000000,,890498500.000000,,-332253111.000000,,558245389.000000,383686596.000000,,,,-264735430.000000,,,4270000000.000000,-2444771419.000000,-277500000.000000,,-899306555.000000,,,,383686596.000000,-547477429.000000,188758780.000000,-358718649.000000
12M 2021,-6035284193.000000,43798860979.000000,-41742957912.000000,-5901967304.000000,-1910078492.000000,,,-3915285.000000,,-275226179.000000,-6035284193.000000,-18370861286.000000,-1200000000.000000,,,-17170861286.000000,,-18370861286.000000,41344749897.000000,1200000000.000000,,,-750966749.000000,,,1987022000.000000,-3222750771.000000,-600000000.000000,,-1508540855.000000,31000000000.000000,-3760013728.000000,17000000000.000000,41344749897.000000,16938604418.000000,-358718649.000000,16579885769.000000
12M 2022,-10670763426.000000,57590363832.000000,-57101446570.000000,-7463277383.000000,-2860698713.000000,,,-61590547.000000,,-774114045.000000,-10670763426.000000,1862698383.000000,1200000000.000000,,,-946665868.000000,1609364251.000000,1862698383.000000,-3852553590.000000,-1200000000.000000,,,,,,,,,,-2652553590.000000,,,,-3852553590.000000,-12660618633.000000,16579885769.000000,3919267136.000000
12M 2023,4396418743.000000,71951543040.000000,-62364062744.000000,-7269598913.000000,-4360964061.000000,,,6465762762.000000,,-26261341.000000,4396418743.000000,-2635017770.000000,-1200000000.000000,,,-1435017770.000000,,-2635017770.000000,3093229303.000000,4953344517.000000,,,,-1058256750.000000,,,,,,-801858464.000000,,,,3093229303.000000,4854630276.000000,3919267138.000000,8773897414.000000
12M 2024,-9733144740.000000,77359157912.000000,-75745242916.000000,-5183669165.000000,-4839358629.000000,,,-869038149.000000,,-454993793.000000,-9733144740.000000,-7171873171.000000,-8512899653.000000,,,-147655898.000000,1488682380.000000,-7171873171.000000,8459202340.000000,11177810912.000000,,,,-1583266110.000000,-22690000.000000,,327173124.000000,,,-1439825586.000000,,,,8459202340.000000,-8445815571.000000,8773897414.000000,328081843.000000
