Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Adjustment,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12M 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12M 2019,35561268472.000000,-26298935222.000000,9262333250.000000,-5116797747.000000,-5116797747.000000,-5116797747.000000,4145535503.000000,-749148061.000000,-749148061.000000,-749148061.000000,3396387442.000000,-825935283.000000,-847949002.000000,22013719.000000,,-825935283.000000,2570452159.000000,,2570452159.000000,1108473.000000,1108473.000000,1108473.000000,2571560632.000000,2570452159.000000,2570452159.000000,,2570452159.000000,2571560632.000000,2571560632.000000,,2571560632.000000
12M 2020,40537649962.000000,-31022801486.000000,9514848476.000000,-7089386250.000000,-7089386250.000000,-7089386250.000000,2425462226.000000,-1030511119.000000,-1030511119.000000,-1030511119.000000,1394951107.000000,-345012355.000000,-388600968.000000,43588613.000000,,-345012355.000000,1049938752.000000,,1049938752.000000,51272768.000000,51272768.000000,51272768.000000,1101211520.000000,1049938752.000000,1049938752.000000,,1049938752.000000,1101211520.000000,1101211520.000000,,1101211520.000000
12M 2021,45222329013.000000,-35582479908.000000,9639849105.000000,-8860922142.000000,-8860922142.000000,-8860922142.000000,778926963.000000,-3915285.000000,-3915285.000000,-3915285.000000,775011678.000000,-242346005.000000,-242355304.000000,9299.000000,,-242346005.000000,532665673.000000,,532665673.000000,20169094.000000,20169094.000000,20169094.000000,552834767.000000,532665673.000000,532665673.000000,,532665673.000000,552834767.000000,552834767.000000,,552834767.000000
12M 2022,59036498441.000000,-47200257487.000000,11836240954.000000,-10375068949.000000,-10375068949.000000,-10375068949.000000,1461172005.000000,-61590547.000000,-61590547.000000,-61590547.000000,1399581458.000000,-367430080.000000,-369504945.000000,2074865.000000,,-367430080.000000,1032151378.000000,,1032151378.000000,5387140.000000,5387140.000000,5387140.000000,1037538518.000000,1032151378.000000,1032151378.000000,,1032151378.000000,1037538518.000000,1037538518.000000,,1037538518.000000
12M 2023,79208049259.000000,-67445052959.000000,11762996300.000000,-10583991342.000000,-10583991342.000000,-10583991342.000000,1179004958.000000,-371755279.000000,-371755279.000000,-371755279.000000,807249679.000000,-445129261.000000,-440674740.000000,-4454521.000000,,-445129261.000000,362120418.000000,,362120418.000000,53263067.000000,53263067.000000,53263067.000000,415383485.000000,362120418.000000,362120418.000000,,362120418.000000,415383485.000000,415383485.000000,,415383485.000000
12M 2024,87940752967.000000,-75784426082.000000,12156326885.000000,-11129454529.000000,-11129454529.000000,-11129454529.000000,1026872356.000000,-876740611.000000,-876740611.000000,-876740611.000000,150131745.000000,-2940998.000000,,-2940998.000000,,-2940998.000000,147190747.000000,,147190747.000000,-3715337.000000,-3715337.000000,-3715337.000000,143475410.000000,147190747.000000,147190747.000000,,147190747.000000,143475410.000000,143475410.000000,,143475410.000000
