Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2018,2.9,1.41,0.44,3.25,0.0,0.0,0.43,0.14,2.25
12M 2019,3.01,2.03,0.5,3.15,0.0,0.0,0.41,0.16,2.15
12M 2020,3.32,1.95,0.23,1.58,0.0,0.0,0.22,0.15,0.58
12M 2021,6.25,4.34,0.08,1.16,0.0,0.0,-0.2,0.07,0.16
12M 2022,5.1,2.49,0.12,1.18,0.0,0.0,-0.03,0.1,0.18
12M 2023,3.81,2.44,0.19,1.24,0.0,0.0,0.04,0.15,0.24
12M 2024,2.63,1.95,0.35,1.39,0.0,0.0,0.34,0.25,0.39
