Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,"Pembayaran Kepada Pemasok, Kayawan Dan Lainnya",Pembayaran Beban Bunga,Penerimaan Penghasilan Bunga,Pembayaran Pajak Penghasilan,Pengembalian Pajak Penghasilan,Pembayaran Sengketa Pajak,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Investasi Pada Entitas Sepengendali,Investasi Pada Entitas Asosiasi,Setoran Modal Dari Nonpengendali,Penerimaan Dari Penutupan Entitas Asosiasi,Penempatan Dana Yang Dibatasi Penggunaannya Dari Aktivitas Investasi,Perolehan Aset Tetap,Pembayaran Untuk Perolehan Entitas Anak,Penjualan Aset Tetap,Pembayaran Uang Muka Pembelian,Pembayaran Untuk Perolehan Tambahan Kepemilikan Pada Entitas Anak,Perolehan Aset Tak Berwujud,Penambahan Piutang Kepada Pihak Berelasi,Penerimaan Dari Piutang Kepada Pihak Berelasi,Pembayaran Piutang Pihak Berelasi,Beban Keuangan Lainnya,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Setoran Modal Saham,Penerimaan Dari Penerbitan Saham Biasa,Penerimaan Pinjaman Bank,Pembayaran Bunga Dari Aktivitas Pendanaan,Pembayaran Pinjaman Bank,Penerimaan Piutang Pihak Berelasi,Penerimaan Utang Pihak Berelasi,Pembayaran Utang Pihak Berelasi,Penerimaan Obligasi Wajib Konversi,Penerimaan Neto Dari Kas Yang Dibatasi Penggunaannya,Pengeluaran Kas Lainnya,Saham Treasuri,Pembayaran Dividen,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2017,51889476226.000000,159578013687.000000,-103776785130.000000,,37683178.000000,-3949435509.000000,,,51889476226.000000,-20394453215.000000,,,,,,-1073598966.000000,,1404999997.000000,,,,,,-20725854246.000000,,-20394453215.000000,-14903734536.000000,,,,,,,,,,96265464.000000,,,-15000000000.000000,-14903734536.000000,16591288475.000000,1365797077.000000,17957085552.000000
12M 2018,-2216667356.000000,252753646366.000000,-229311833151.000000,-10542640.000000,4454558356.000000,-30102496287.000000,,,-2216667356.000000,-298325725593.000000,-198465000000.000000,,,,,-101819225593.000000,,1958500000.000000,,,,,,,,-298325725593.000000,534031518064.000000,493971700000.000000,,,,,,14859818064.000000,,25000000000.000000,200000000.000000,,,,534031518064.000000,233489125115.000000,17957085553.000000,251446210668.000000
12M 2019,4966023673.000000,228221466807.000000,-227059933730.000000,-379345423.000000,10206669328.000000,-6022833309.000000,,,4966023673.000000,-80054587421.000000,,5000000000.000000,,,,-69189434701.000000,,565455491.000000,,,-272693020.000000,-16066298038.000000,,,-91617153.000000,-80054587421.000000,1946190870.000000,,,,,,,1946190870.000000,,,,,,,1946190870.000000,-73142372878.000000,251446210669.000000,178303837791.000000
12M 2020,-20263056953.000000,165035602219.000000,-188494184809.000000,-343446303.000000,7333645900.000000,-3794673960.000000,,,-20263056953.000000,-12055667576.000000,,,,1622132777.000000,,-19475739496.000000,,557000000.000000,,,-19460688.000000,,5271178820.000000,,-10778989.000000,-12055667576.000000,-24576745229.000000,,,,,,,,-128410329.000000,,,,-24448334900.000000,,-24576745229.000000,-56895469758.000000,178303837789.000000,121408368031.000000
12M 2021,51800043740.000000,231621331073.000000,-160972970679.000000,-414305939.000000,3308038599.000000,-9182021019.000000,,-12560028295.000000,51800043740.000000,13513947206.000000,,,,,,-13895552794.000000,,1409500000.000000,,,,,26000000000.000000,,,13513947206.000000,-103717401329.000000,,,,,,,,-710138729.000000,,,,,-103007262600.000000,-103717401329.000000,-38403410383.000000,121408368032.000000,83004957649.000000
12M 2022,188104151992.000000,451727386137.000000,-240921793629.000000,4935642687.000000,,-29960235982.000000,,2323152779.000000,188104151992.000000,10008255522.000000,,,,,,-8666744478.000000,,18675000000.000000,,,,,,,,10008255522.000000,123919989268.000000,,,,,,,,-114751999.000000,,,,124034741267.000000,,123919989268.000000,322032396782.000000,83004957650.000000,405037354432.000000
12M 2023,121484796678.000000,384955271496.000000,-233708294762.000000,12144676730.000000,,-19431667894.000000,,-22475188892.000000,121484796678.000000,-8492648913.000000,,,,,,-6194132713.000000,,2539000000.000000,,-4837516200.000000,,,,,,-8492648913.000000,,,,,,,,,,,,,,,,112992147765.000000,405037354431.000000,518029502196.000000
12M 2024,-89533613442.000000,466280865877.000000,-550717372256.000000,19201447696.000000,,-24298554759.000000,,,-89533613442.000000,-1656301812422.000000,,,,,,-57558783320.000000,-1655847018313.000000,73394758241.000000,-1290769030.000000,-15000000000.000000,,,,,,-1656301812422.000000,1599894992767.000000,,1144431030614.000000,1019070000000.000000,-11860362847.000000,-13300000000.000000,,,,,-288594000000.000000,-12071250000.000000,,-237780425000.000000,1599894992767.000000,-145940433097.000000,518029502195.000000,372089069098.000000
