Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2017,52 B,(1 B),51 B,4839607.36
12M 2018,(2 B),(102 B),(104 B),-10.94
12M 2019,5 B,(69 B),(64 B),-6.75
12M 2020,(20 B),(19 B),(40 B),-4.18
12M 2021,52 B,(14 B),38 B,3.99
12M 2022,188 B,(9 B),179 B,18.87
12M 2023,121 B,(6 B),115 B,12.12
12M 2024,(90 B),(58 B),(147 B),-14.86
