Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok Dan Lain-Lain,Pembayaran Kepada Karyawan,Pembayaran Kas/Bank Untuk Biaya Produksi,Pembayaran Kas/Bank Untuk Biaya Penjualan,Pembayaran Kas/Bank Untuk Biaya Umum Administrasi,Penerimaan Restitusi Pajak,Pembayaran Pajak Penghasilan,Pembayaran Pajak Lainnya,Pembayaran Bunga,Penerima Bunga/Jasa Giro,Pembayaran Pajak Final Atas Revaluasi Aset Tetap,Pendapatan Lain-Lain,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Bunga,Perolehan Aset Tetap,Hasil Penjualan Aset Tetap,Hasil Penjualan Aset Tetap Tidak Digunakan,Perolehan Aset Tetap Yang Tidak Digunakan,Penambahan Tanah Untuk Dikembangkan,Penambahan Aset Hak Guna,Penambahan Properti Investasi,Hasil Penjualan Properti Investasi,Penambahan Aset Tidak Berwujud,Penurunan Atas Aset Lancar Keuangan Lainnya,Penambahan Aset Biologis,Pembayaran Atas Kombinasi Bisnis Entitas Sepengendali,Pembayaran Akuisisi Bisnis,Penurunan Modal Kepentingan Nonpengendali,Penerimaan Piutang Dari Pihak Berelasi,Penambahan Jaminan,Penurunan Jaminan,Pencairan (Penambahan) Investasi Jangka Pendek,Penambahan Investasi Jangka Pendek,Penurunan Investasi Jangka Pendek,Total Pencairan (Penambahan) Investasi Jangka Pendek,Penambahan Investasi Dalam Ventura Bersama,Penerimaan Dividen Dari Ventura Bersama,Perolehan Perangkat Lunak,Pembayaran Instrumen Keuangan Derivatif,Perolehan Investasi Saham,Arus Kas Masuk Bersih Pada Tanggal Akusisi - Setelah Dikurangi Pembayaran Untuk Akusisi Entitas Anak,Penjualan Entitas Anak,Penerimaan Dari Akuisisi Entitas Anak,Pembayaran Atas Akuisisi Entitas Anak,Pembayaran Untuk Peningkatan Investasi Di Entitas Anak,Pembelian Saham Entitas Anak Dari Pemegang Saham Non-Pengendali,Akuisisi Anak Perusahaan - Bersih,Penurunan Efek,Kenaikan Efek,Penambahan Beban Ditangguhkan,Perolehan Investasi Obligasi,Penerimaan Aset Lancar Keuangan Lainnya,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Bersih Dari Penerbitan Obligasi,Penerimaan Utang Bank Jangka Pendek,Pembayaran Utang Bank Jangka Pendek,Penerimaan Pinjaman Jangka Panjang,Pembayaran Pinjaman Jangka Panjang,Kenaikan Tambahan Modal Disetor,Penambahan Modal Disetor Oleh Kepentingan Non-Pengendali Dari Entitas Anak,Penambahan Modal Saham,Pembayaran Utang Sewa Pembiayaan,Pembayaran Utang Pembelian Aset Tetap,Penerimaan Pembiayaan Atas Perolehan Aset Tetap,Pembayaran Atas Perolehan Saham Treasuri,Pembayaran Liabilitas Sewa,Penjualan Saham Treasuri,Pembayaran Dividen,Pembayaran Dividen Ke Non Pengendali Entitas Anak,Penerimaan Dari Penerbitan Saham Baru,Penerimaan Dari Utang Obligasi,Pelunasan Utang Obligasi,Pembayaran Utang Yang Direstrukturisasi,Pembayaran Dari Fasilitas Pinjaman,Penerima Dari Fasilitas Pinjaman,Penambahan (Pengurangan) Uang Muka,Penambahan (Pengurangan) Hutang Lain-Lain,Pembayaran Sehubungan Dengan Penurunan Utang Obligasi,Adjustment,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2008,2869000000.000000,12558005000000.000000,-11719203000000.000000,-428302000000.000000,,,,343000000.000000,-187758000000.000000,,-220216000000.000000,,,,2869000000.000000,-435400000000.000000,6616000000.000000,-377303000000.000000,32440000000.000000,,,,,-727000000.000000,,,,,,,,,-336000000.000000,,,10545000000.000000,,10545000000.000000,,,,,,,,,,,,-106635000000.000000,,,,,,-435400000000.000000,588152000000.000000,,711320000000.000000,,28133000000.000000,-82981000000.000000,,11375000000.000000,,-1336000000.000000,-7504000000.000000,,,,,,,,,,-105855000000.000000,,35000000000.000000,,,,,588152000000.000000,155621000000.000000,267035000000.000000,5156000000.000000,427812000000.000000
12M 2009,684257000000.000000,14245826000000.000000,-12603094000000.000000,-481641000000.000000,,,,,-240739000000.000000,,-236095000000.000000,,,,684257000000.000000,-278316000000.000000,19101000000.000000,-316586000000.000000,15121000000.000000,,,,,-2297000000.000000,,,,,,,,,-1227000000.000000,,,-2922000000.000000,,-2922000000.000000,,,,,,,10494000000.000000,,,,,,,,,,,-278316000000.000000,-307563000000.000000,,,-133103000000.000000,29579000000.000000,-34390000000.000000,,13696000000.000000,,-632000000.000000,-1839000000.000000,,,,,,,,,,-145874000000.000000,-35000000000.000000,,,,,,-307563000000.000000,98378000000.000000,427812000000.000000,-2378000000.000000,523812000000.000000
12M 2010,1098162000000.000000,13954905000000.000000,-11802308000000.000000,-556363000000.000000,,,,6227000000.000000,-296396000000.000000,,-207903000000.000000,,,,1098162000000.000000,-625892000000.000000,16978000000.000000,-612229000000.000000,8980000000.000000,,,,,-13000000.000000,,,,,,,,,-997000000.000000,,,-38611000000.000000,,-38611000000.000000,,,,,,,,,,,,,,,,,,-625892000000.000000,-232566000000.000000,,,-72259000000.000000,1067613000000.000000,-167908000000.000000,,15000000000.000000,,-261000000.000000,-2076000000.000000,,,,,-10359000000.000000,,,,,-1062316000000.000000,,,,,,,-232566000000.000000,239704000000.000000,523812000000.000000,-1329000000.000000,762187000000.000000
12M 2011,-75144000000.000000,15742973000000.000000,-14376764000000.000000,-649789000000.000000,,,,4075000000.000000,-460757000000.000000,,-334882000000.000000,,,,-75144000000.000000,-401590000000.000000,19252000000.000000,-992400000000.000000,143670000000.000000,,,,,-317000000.000000,688000000.000000,,,,,,,,-757000000.000000,,,,,,,,,,,-376754000000.000000,805028000000.000000,,,,,,,,,,,-401590000000.000000,541782000000.000000,,1099401000000.000000,,368625000000.000000,-189519000000.000000,,22500000000.000000,,-1859000000.000000,-1184000000.000000,,,,,-756182000000.000000,,,,,,,,,,,,541782000000.000000,65048000000.000000,762187000000.000000,209000000.000000,827444000000.000000
12M 2012,299125000000.000000,17604400000000.000000,-15798760000000.000000,-740910000000.000000,,,,21108000000.000000,-363036000000.000000,,-423677000000.000000,,,,299125000000.000000,-1352052000000.000000,43741000000.000000,-1363965000000.000000,39786000000.000000,,,,,,,,,,,,,,,,,-2000000000.000000,,-2000000000.000000,,,-9035000000.000000,,,-60579000000.000000,,,,,,,,,,,,-1352052000000.000000,1091654000000.000000,,484795000000.000000,,11311000000.000000,-282988000000.000000,,79000000000.000000,,-1534000000.000000,-8750000000.000000,,-17717000000.000000,,,-159604000000.000000,,,1487141000000.000000,-500000000000.000000,,,,,,,,1091654000000.000000,38727000000.000000,827444000000.000000,6270000000.000000,872441000000.000000
12M 2013,175820000000.000000,21145768000000.000000,-19432598000000.000000,-860707000000.000000,,,,129022000000.000000,-328117000000.000000,,-477548000000.000000,,,,175820000000.000000,-1547359000000.000000,15975000000.000000,-1563917000000.000000,7889000000.000000,,,,,-317000000.000000,,,,,,,,,-753000000.000000,,,-1000000000.000000,,-1000000000.000000,,,-5236000000.000000,,,,,,,,,,,,,,,-1547359000000.000000,2152769000000.000000,,274386000000.000000,,309487000000.000000,-361961000000.000000,,33000000000.000000,,-4601000000.000000,-6742000000.000000,,,,,-212804000000.000000,,,2122004000000.000000,,,,,,,,,2152769000000.000000,781230000000.000000,872441000000.000000,92292000000.000000,1745963000000.000000
12M 2014,1570533000000.000000,24404463000000.000000,-20762364000000.000000,-1023396000000.000000,,,,40205000000.000000,-389169000000.000000,,-699206000000.000000,,,,1570533000000.000000,-1588234000000.000000,16048000000.000000,-1598385000000.000000,20751000000.000000,247000000.000000,-10615000000.000000,,,,201000000.000000,,,,,,,,-4504000000.000000,,,3000000000.000000,,3000000000.000000,,,-14758000000.000000,,-219000000.000000,,,,,,,,,,,,,-1588234000000.000000,-964927000000.000000,,,-548641000000.000000,310570000000.000000,-393604000000.000000,,-220000000000.000000,,-4002000000.000000,-2848000000.000000,,,,,-106402000000.000000,,,,,,,,,,,,-964927000000.000000,-982628000000.000000,1745963000000.000000,5126000000.000000,768461000000.000000
12M 2015,1452924000000.000000,25097197000000.000000,-21957163000000.000000,-997326000000.000000,,,,153306000000.000000,-132844000000.000000,,-685158000000.000000,,-25088000000.000000,,1452924000000.000000,-681618000000.000000,18076000000.000000,-708488000000.000000,13218000000.000000,7987000000.000000,,,,-35000000.000000,1046000000.000000,,,,,,,,-843000000.000000,,,,,,,,-12656000000.000000,,,77000000.000000,,,,,,,,,,,,-681618000000.000000,-666855000000.000000,,,-360877000000.000000,307990000000.000000,-392183000000.000000,,4500000000.000000,,-3147000000.000000,-836000000.000000,,,,,,,,,,,,,,,-222302000000.000000,,-666855000000.000000,104451000000.000000,768461000000.000000,28295000000.000000,901207000000.000000
12M 2016,2753605000000.000000,27016228000000.000000,-22369667000000.000000,-1146555000000.000000,,,,236644000000.000000,-419397000000.000000,,-507834000000.000000,,-55814000000.000000,,2753605000000.000000,-497535000000.000000,26292000000.000000,-786760000000.000000,287570000000.000000,,,,,,6881000000.000000,,,,,,,,-808000000.000000,,,,,,,,-9929000000.000000,,-20781000000.000000,,,,,,,,,,,,,-497535000000.000000,-446607000000.000000,,,-1103702000000.000000,,-713687000000.000000,,-3195000000.000000,,-2431000000.000000,-3071000000.000000,,,,,-239603000000.000000,,701700000000.000000,990351000000.000000,,,,,,,-72969000000.000000,,-446607000000.000000,1809463000000.000000,901207000000.000000,-9405000000.000000,2701265000000.000000
12M 2017,770662000000.000000,29331294000000.000000,-26234993000000.000000,-1337066000000.000000,,,,168230000000.000000,-674877000000.000000,,-481926000000.000000,,,,770662000000.000000,-1364166000000.000000,34477000000.000000,-1537286000000.000000,28674000000.000000,,,,,,163882000000.000000,,,,,,,,-243000000.000000,,,,,,,,-9433000000.000000,,-55520000000.000000,,,,,,,,,,,,11283000000.000000,-1364166000000.000000,-467181000000.000000,,39035000000.000000,,,,,,,-983000000.000000,,1582000000.000000,-6140000000.000000,,,-535897000000.000000,,,4262240000000.000000,-4192487000000.000000,,,,,,-34531000000.000000,,-467181000000.000000,-1060685000000.000000,2701265000000.000000,1526000000.000000,1642106000000.000000
12M 2018,1840529000000.000000,33817935000000.000000,-29178561000000.000000,-1479776000000.000000,,,,1534000000.000000,-773175000000.000000,,-547428000000.000000,,,,1840529000000.000000,-2209240000000.000000,39427000000.000000,-2189336000000.000000,68055000000.000000,,,-53260000000.000000,,-4084000000.000000,,,,,,,,,-863000000.000000,,,,,,,,-36336000000.000000,,,,,,,,,-32843000000.000000,,,,,,-2209240000000.000000,-227875000000.000000,,377456000000.000000,,278526000000.000000,-47467000000.000000,,239805000000.000000,63211000000.000000,-2405000000.000000,,-1375000000.000000,14652000000.000000,,,-1150278000000.000000,,,,,,,,,,,,-227875000000.000000,-596586000000.000000,1642106000000.000000,41450000000.000000,1086970000000.000000
12M 2019,1891217000000.000000,38642225000000.000000,-31110616000000.000000,-3674837000000.000000,,,,80576000000.000000,-1222093000000.000000,,-824038000000.000000,,,,1891217000000.000000,-3148118000000.000000,22679000000.000000,-3088627000000.000000,7567000000.000000,,,-53853000000.000000,,,7553000000.000000,-6480000000.000000,,-14120000000.000000,,-83000000000.000000,,98996000000.000000,,,,,,,,,,,,,,,,,,-37153000000.000000,,,,,-1680000000.000000,-3148118000000.000000,1128393000000.000000,,2418985000000.000000,-589002000000.000000,966000000000.000000,-180245000000.000000,,2569000000.000000,,,,-3631000000.000000,1998000000.000000,,,-638281000000.000000,,,,,,,,,,-850000000000.000000,,1128393000000.000000,-128508000000.000000,1160393000000.000000,-27605000000.000000,1004280000000.000000
12M 2020,4099440000000.000000,37180893000000.000000,-28245006000000.000000,-3851334000000.000000,,,,230085000000.000000,-335394000000.000000,,-879804000000.000000,,,,4099440000000.000000,-1980790000000.000000,57846000000.000000,-1607397000000.000000,27663000000.000000,,,-129460000000.000000,-73348000000.000000,,1538000000.000000,-527000000.000000,,-7472000000.000000,-364240000000.000000,,,113337000000.000000,,,,,,,,,,,,,,,,,,,,,,,1270000000.000000,-1980790000000.000000,-1794564000000.000000,,,-2877708000000.000000,1738000000000.000000,-297649000000.000000,,,,,,-3083000000.000000,-72743000000.000000,-23006000000.000000,,-258375000000.000000,,,,,,,,,,,,-1794564000000.000000,324086000000.000000,1004280000000.000000,7545000000.000000,1335911000000.000000
12M 2021,701246000000.000000,44445322000000.000000,-38353254000000.000000,-3898772000000.000000,,,,90173000000.000000,-796896000000.000000,,-785327000000.000000,,,,701246000000.000000,-2525308000000.000000,14149000000.000000,-1291356000000.000000,31709000000.000000,,,-14872000000.000000,-55037000000.000000,-305407000000.000000,,-22619000000.000000,,-32310000000.000000,-849892000000.000000,,,,,,,,,,,,,,,,,,,,,,,,,,327000000.000000,-2525308000000.000000,1567012000000.000000,4891448000000.000000,,891328000000.000000,919500000000.000000,-764302000000.000000,,,,,,-3258000000.000000,-75108000000.000000,-36697000000.000000,,-488899000000.000000,,,,-3767000000000.000000,,,,,,,,1567012000000.000000,-257050000000.000000,1335911000000.000000,6255000000.000000,1085116000000.000000
12M 2022,1426749000000.000000,48856229000000.000000,-41181335000000.000000,-4854491000000.000000,,,,124349000000.000000,-767234000000.000000,,-750769000000.000000,,,,1426749000000.000000,-2190219000000.000000,9495000000.000000,-2082379000000.000000,12905000000.000000,,,-10155000000.000000,-37251000000.000000,-3062000000.000000,,-15006000000.000000,,-223000000.000000,,,-8000000000.000000,,,,,,,,-60000000000.000000,2334000000.000000,,,,,,1243000000.000000,,,,,,,,,-120000000.000000,-2190219000000.000000,1406181000000.000000,,,2554364000000.000000,2925000000000.000000,-2280465000000.000000,,,,,,-1500000000.000000,,-41403000000.000000,,-724969000000.000000,,,,-1000000000000.000000,,,,,,-24846000000.000000,,1406181000000.000000,642711000000.000000,1085116000000.000000,83255000000.000000,1811082000000.000000
12M 2023,2371932000000.000000,51085237000000.000000,-42462874000000.000000,-4877855000000.000000,,,,51541000000.000000,-433717000000.000000,,-990400000000.000000,,,,2371932000000.000000,-2104425000000.000000,42133000000.000000,-2017574000000.000000,24947000000.000000,,,-22779000000.000000,-42701000000.000000,-29511000000.000000,,-261000000.000000,,,,,,,,,,,,,-52050000000.000000,1800000000.000000,,,,,,,,,,,,,,,-8429000000.000000,-2104425000000.000000,-555687000000.000000,,,209050000000.000000,400000000000.000000,-584957000000.000000,2326000000.000000,18976000000.000000,,,,-2231000000.000000,,-25042000000.000000,7207000000.000000,-581016000000.000000,,,,,,,,,,,,-555687000000.000000,-288180000000.000000,1811082000000.000000,-20299000000.000000,1502603000000.000000
12M 2024,4860422000000.000000,55486078000000.000000,-43994575000000.000000,-5092384000000.000000,,,,9526000000.000000,-653887000000.000000,,-894336000000.000000,,,,4860422000000.000000,-1673130000000.000000,47127000000.000000,-1629680000000.000000,52623000000.000000,,,-74378000000.000000,-35207000000.000000,-7181000000.000000,,-446000000.000000,,,,,,,,,,,,,,1300000000.000000,,,,,,,,,-35000000000.000000,,,,,,7712000000.000000,-1673130000000.000000,-3389406000000.000000,,,-2002282000000.000000,312000000000.000000,-834375000000.000000,,,,,,-2021000000.000000,,-43791000000.000000,,-818937000000.000000,,,,,,,,,,,,-3389406000000.000000,-202114000000.000000,1502603000000.000000,53225000000.000000,1353714000000.000000
