Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba (Rugi) Selisih Kurs,Pendapatan Keuangan,Beban Keuangan,Laba Dari Ventura Bersama,Laba (Rugi) Atas Penjualan Aset Tetap,Keuntungan (Rugi) Atas Transaksi Derivatif,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,12665681000000.000000,-10795463000000.000000,1870218000000.000000,-1172814000000.000000,-406027000000.000000,-766787000000.000000,,-1172814000000.000000,697404000000.000000,-327699000000.000000,-221528000000.000000,7864000000.000000,-212324000000.000000,,5860000000.000000,104713000000.000000,-12284000000.000000,-327699000000.000000,369705000000.000000,-68694000000.000000,301011000000.000000,4153000000.000000,305164000000.000000,,305164000000.000000,305164000000.000000,301011000000.000000,4153000000.000000,305164000000.000000,,,,
12M 2009,14340277000000.000000,-11667465000000.000000,2672812000000.000000,-1297003000000.000000,-469962000000.000000,-827041000000.000000,,-1297003000000.000000,1375809000000.000000,-125891000000.000000,194981000000.000000,19101000000.000000,-230356000000.000000,,3224000000.000000,-160743000000.000000,47902000000.000000,-125891000000.000000,1249918000000.000000,-351112000000.000000,898806000000.000000,-84355000000.000000,814451000000.000000,,814451000000.000000,814451000000.000000,898806000000.000000,-84355000000.000000,814451000000.000000,,,,
12M 2010,13955792000000.000000,-10906624000000.000000,3049168000000.000000,-1473367000000.000000,-589036000000.000000,-884331000000.000000,,-1473367000000.000000,1575801000000.000000,-138946000000.000000,57950000000.000000,16978000000.000000,-211327000000.000000,,3559000000.000000,-58156000000.000000,52050000000.000000,-138946000000.000000,1436855000000.000000,-345576000000.000000,1091279000000.000000,-132118000000.000000,959161000000.000000,,959161000000.000000,959161000000.000000,1091279000000.000000,-132118000000.000000,959161000000.000000,,,,
12M 2011,15633068000000.000000,-13072723000000.000000,2560345000000.000000,-1349773000000.000000,-331404000000.000000,-1018369000000.000000,,-1349773000000.000000,1210572000000.000000,-338263000000.000000,5877000000.000000,57677000000.000000,-434971000000.000000,,18104000000.000000,,15050000000.000000,-338263000000.000000,872309000000.000000,-200835000000.000000,671474000000.000000,,671474000000.000000,-21305000000.000000,650169000000.000000,671474000000.000000,617054000000.000000,54420000000.000000,671474000000.000000,650169000000.000000,595749000000.000000,54420000000.000000,650169000000.000000
12M 2012,17832702000000.000000,-14648797000000.000000,3183905000000.000000,-1616973000000.000000,-437531000000.000000,-1179442000000.000000,,-1616973000000.000000,1566932000000.000000,-202041000000.000000,24606000000.000000,26181000000.000000,-336209000000.000000,,44199000000.000000,,39182000000.000000,-202041000000.000000,1364891000000.000000,-290314000000.000000,1074577000000.000000,,1074577000000.000000,2856000000.000000,1077433000000.000000,1074577000000.000000,991659000000.000000,82918000000.000000,1074577000000.000000,1077433000000.000000,994515000000.000000,82918000000.000000,1077433000000.000000
12M 2013,21412085000000.000000,-17794240000000.000000,3617845000000.000000,-1905983000000.000000,-510232000000.000000,-1395751000000.000000,,-1905983000000.000000,1711862000000.000000,-815915000000.000000,-316545000000.000000,15975000000.000000,-419458000000.000000,,6304000000.000000,,-102191000000.000000,-815915000000.000000,895947000000.000000,-255310000000.000000,640637000000.000000,,640637000000.000000,21062000000.000000,661699000000.000000,640637000000.000000,595248000000.000000,45389000000.000000,640637000000.000000,661699000000.000000,616310000000.000000,45389000000.000000,661699000000.000000
12M 2014,24458880000000.000000,-21033306000000.000000,3425574000000.000000,-2321545000000.000000,-694151000000.000000,-1627394000000.000000,,-2321545000000.000000,1104029000000.000000,-561480000000.000000,-77579000000.000000,16048000000.000000,-522415000000.000000,,4268000000.000000,,18198000000.000000,-561480000000.000000,542549000000.000000,-157703000000.000000,384846000000.000000,,384846000000.000000,-13558000000.000000,371288000000.000000,384846000000.000000,332389000000.000000,52457000000.000000,384846000000.000000,371288000000.000000,318831000000.000000,52457000000.000000,371288000000.000000
12M 2015,25022913000000.000000,-21029912000000.000000,3993001000000.000000,-2265058000000.000000,-589917000000.000000,-1675141000000.000000,,-2265058000000.000000,1727943000000.000000,-1030266000000.000000,-479028000000.000000,18076000000.000000,-681060000000.000000,,6145000000.000000,,105601000000.000000,-1030266000000.000000,697677000000.000000,-173193000000.000000,524484000000.000000,,524484000000.000000,400974000000.000000,925458000000.000000,524484000000.000000,468230000000.000000,56254000000.000000,524484000000.000000,925458000000.000000,857195000000.000000,68263000000.000000,925458000000.000000
12M 2016,27063310000000.000000,-21584412000000.000000,5478898000000.000000,-2557987000000.000000,-612291000000.000000,-1945696000000.000000,,-2557987000000.000000,2920911000000.000000,-154320000000.000000,10741000000.000000,26292000000.000000,-510465000000.000000,,52214000000.000000,,266898000000.000000,-154320000000.000000,2766591000000.000000,-594983000000.000000,2171608000000.000000,,2171608000000.000000,632762000000.000000,2804370000000.000000,2171608000000.000000,2064650000000.000000,106958000000.000000,2171608000000.000000,2804370000000.000000,2688837000000.000000,115533000000.000000,2804370000000.000000
12M 2017,29602688000000.000000,-24571742000000.000000,5030946000000.000000,-2755848000000.000000,-736855000000.000000,-2124518000000.000000,105525000000.000000,-2755848000000.000000,2275098000000.000000,-534503000000.000000,,34477000000.000000,-568980000000.000000,,,,,-534503000000.000000,1740595000000.000000,-632785000000.000000,1107810000000.000000,,1107810000000.000000,-72017000000.000000,1035793000000.000000,1107810000000.000000,997352000000.000000,110458000000.000000,1107810000000.000000,1035793000000.000000,928888000000.000000,106905000000.000000,1035793000000.000000
12M 2018,34012965000000.000000,-26804578000000.000000,7208387000000.000000,-3364508000000.000000,-836629000000.000000,-2647489000000.000000,119610000000.000000,-3364508000000.000000,3843879000000.000000,-754040000000.000000,,39427000000.000000,-793467000000.000000,,,,,-754040000000.000000,3089839000000.000000,-836638000000.000000,2253201000000.000000,,2253201000000.000000,179990000000.000000,2433191000000.000000,2253201000000.000000,2167961000000.000000,85240000000.000000,2253201000000.000000,2433191000000.000000,2342952000000.000000,90239000000.000000,2433191000000.000000
12M 2019,38872084000000.000000,-31000234000000.000000,7871850000000.000000,-4747528000000.000000,-1557777000000.000000,-3178331000000.000000,-11420000000.000000,-4747528000000.000000,3124322000000.000000,-629845000000.000000,,177153000000.000000,-817247000000.000000,10249000000.000000,,,,-629845000000.000000,2494477000000.000000,-700563000000.000000,1793914000000.000000,,1883857000000.000000,-28887000000.000000,1854970000000.000000,1883857000000.000000,1765178000000.000000,118679000000.000000,1883857000000.000000,1854970000000.000000,1736543000000.000000,118427000000.000000,1854970000000.000000
12M 2020,36964948000000.000000,-29535739000000.000000,7429209000000.000000,-4945002000000.000000,-1549972000000.000000,-3244208000000.000000,-150822000000.000000,-4945002000000.000000,2484207000000.000000,-805116000000.000000,,56292000000.000000,-862222000000.000000,814000000.000000,,,,-805116000000.000000,1679091000000.000000,-457187000000.000000,1221904000000.000000,,1002376000000.000000,-179543000000.000000,822833000000.000000,1002376000000.000000,916711000000.000000,85665000000.000000,1002376000000.000000,822833000000.000000,739496000000.000000,83337000000.000000,822833000000.000000
12M 2021,44878300000000.000000,-36858209000000.000000,8020091000000.000000,-4867351000000.000000,-1657611000000.000000,-3140807000000.000000,-68933000000.000000,-4867351000000.000000,3152740000000.000000,-358893000000.000000,,67181000000.000000,-806607000000.000000,8299000000.000000,,,372234000000.000000,-358893000000.000000,2793847000000.000000,-662951000000.000000,2130896000000.000000,,2130896000000.000000,65562000000.000000,2196458000000.000000,2130896000000.000000,2022596000000.000000,108300000000.000000,2130896000000.000000,2196458000000.000000,2086246000000.000000,110212000000.000000,2196458000000.000000
12M 2022,48972085000000.000000,-41288929000000.000000,7683156000000.000000,-4932807000000.000000,-1810591000000.000000,-3069696000000.000000,-52520000000.000000,-4932807000000.000000,2750349000000.000000,-795820000000.000000,,9495000000.000000,-818326000000.000000,13011000000.000000,,,,-795820000000.000000,1954529000000.000000,-463598000000.000000,1490931000000.000000,,1490931000000.000000,-207533000000.000000,1283398000000.000000,1490931000000.000000,1419855000000.000000,71076000000.000000,1490931000000.000000,1283398000000.000000,1210242000000.000000,73156000000.000000,1283398000000.000000
12M 2023,51175898000000.000000,-43664543000000.000000,7511355000000.000000,-5304950000000.000000,-2083349000000.000000,-3163949000000.000000,-57652000000.000000,-5304950000000.000000,2206405000000.000000,-945168000000.000000,,44272000000.000000,-988478000000.000000,-962000000.000000,,,,-945168000000.000000,1261237000000.000000,-315315000000.000000,945922000000.000000,,945922000000.000000,107579000000.000000,1053501000000.000000,945922000000.000000,929716000000.000000,16206000000.000000,945922000000.000000,1053501000000.000000,1038288000000.000000,15213000000.000000,1053501000000.000000
12M 2024,55800849000000.000000,-44582719000000.000000,11218130000000.000000,-6156255000000.000000,-2251848000000.000000,-3752942000000.000000,-151465000000.000000,-6156255000000.000000,5061875000000.000000,-820403000000.000000,,50228000000.000000,-870051000000.000000,-580000000.000000,,,,-820403000000.000000,4241472000000.000000,-1029134000000.000000,3212338000000.000000,,3212338000000.000000,46657000000.000000,3258995000000.000000,3212338000000.000000,3018892000000.000000,193446000000.000000,3212338000000.000000,3258995000000.000000,3064442000000.000000,194553000000.000000,3258995000000.000000
