Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Hewan Ternak Produksi - Berumur Pendek,Others,Total Aset Lancar,Aset Tidak Lancar,Investasi Jangka Panjang,Aset Pajak Tangguhan,Goodwill,Investasi Pada Entitas Asosiasi,Tanaman Perkebunan,Sapi Pembibit Turunan,Properti Investasi,Aset Tetap,Aset Real Estat,Aset Tak Berwujud,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Pembelian Aset Tetap,Utang Sewa Pembiayaan,Utang Yang Direstrukturisasi,Utang Obligasi,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Pajak Tangguhan,Liabilitas Derivatif,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Pembelian Aset Tetap,Utang Sewa Pembiayaan,Utang Yang Direstrukturisasi,Utang Obligasi,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,427812000000.000000,11078000000.000000,688769000000.000000,688769000000.000000,,688769000000.000000,52451000000.000000,,52451000000.000000,52451000000.000000,2106780000000.000000,178926000000.000000,202833000000.000000,3668649000000.000000,,,102973000000.000000,,,2794000000.000000,57826000000.000000,72378000000.000000,1683150000000.000000,16783000000.000000,2069000000.000000,168222000000.000000,2106195000000.000000,5774844000000.000000,,,2095942000000.000000,903283000000.000000,,,573985000000.000000,573985000000.000000,,35577000000.000000,82537000000.000000,118114000000.000000,209305000000.000000,98388000000.000000,,34259000000.000000,2101000000.000000,469000000.000000,156038000000.000000,,,192867000000.000000,,2095942000000.000000,2199295000000.000000,8091000000.000000,,,72655000000.000000,2056000000.000000,627000000.000000,1296793000000.000000,494737000000.000000,,1866868000000.000000,324336000000.000000,2199295000000.000000,4295237000000.000000,,1489414000000.000000,172919000000.000000,-679562000000.000000,,,-679562000000.000000,170473000000.000000,326363000000.000000,1479607000000.000000,5774844000000.000000,1489414660.000000
12M 2009,,,523812000000.000000,13654000000.000000,756051000000.000000,756051000000.000000,,756051000000.000000,43977000000.000000,,43977000000.000000,43977000000.000000,2112078000000.000000,280945000000.000000,238123000000.000000,3968640000000.000000,,,79198000000.000000,,,2591000000.000000,70272000000.000000,80665000000.000000,1804730000000.000000,18231000000.000000,3568000000.000000,42242000000.000000,2101497000000.000000,6070137000000.000000,,,1798979000000.000000,772662000000.000000,,,424556000000.000000,424556000000.000000,,131607000000.000000,40974000000.000000,172581000000.000000,195386000000.000000,53441000000.000000,,24933000000.000000,2381000000.000000,289000000.000000,152750000000.000000,,,180353000000.000000,,1798979000000.000000,1901180000000.000000,3166000000.000000,,,69760000000.000000,1676000000.000000,272000000.000000,957820000000.000000,496247000000.000000,,1525775000000.000000,372239000000.000000,1901180000000.000000,3700159000000.000000,,1605878000000.000000,426227000000.000000,52005000000.000000,,,52005000000.000000,268438000000.000000,17430000000.000000,2369978000000.000000,6070137000000.000000,2132104582.000000
12M 2010,,,762187000000.000000,52366000000.000000,803358000000.000000,,803358000000.000000,803358000000.000000,37363000000.000000,,37363000000.000000,37363000000.000000,2185129000000.000000,323246000000.000000,271565000000.000000,4435214000000.000000,,,70864000000.000000,,,2371000000.000000,117349000000.000000,75768000000.000000,2224592000000.000000,19318000000.000000,3780000000.000000,30506000000.000000,2544548000000.000000,6979762000000.000000,,,1686714000000.000000,700403000000.000000,,,412127000000.000000,412127000000.000000,,133027000000.000000,41882000000.000000,174909000000.000000,150733000000.000000,51648000000.000000,,195411000000.000000,1343000000.000000,140000000.000000,,,,196894000000.000000,,1686714000000.000000,1806181000000.000000,9970000000.000000,,,861876000000.000000,638000000.000000,160000000.000000,,497756000000.000000,,1360430000000.000000,435781000000.000000,1806181000000.000000,3492895000000.000000,,1605878000000.000000,426227000000.000000,1035555000000.000000,,,1035555000000.000000,412586000000.000000,6621000000.000000,3486867000000.000000,6979762000000.000000,2132104582.000000
12M 2011,,,827444000000.000000,11283000000.000000,678715000000.000000,48142000000.000000,630573000000.000000,678715000000.000000,47414000000.000000,,47414000000.000000,47414000000.000000,2640526000000.000000,382422000000.000000,344496000000.000000,4932300000000.000000,,,73382000000.000000,70013000000.000000,,2267000000.000000,140835000000.000000,50880000000.000000,2933581000000.000000,17990000000.000000,,45169000000.000000,3334117000000.000000,8266417000000.000000,,,3099991000000.000000,1799804000000.000000,,346000000.000000,313758000000.000000,314104000000.000000,,,47704000000.000000,47704000000.000000,36821000000.000000,73190000000.000000,,276969000000.000000,7415000000.000000,1582000000.000000,,499266000000.000000,,785232000000.000000,43136000000.000000,3099991000000.000000,1381079000000.000000,34270000000.000000,,,914495000000.000000,3421000000.000000,1240000000.000000,,,,919156000000.000000,427653000000.000000,1381079000000.000000,4481070000000.000000,,1605878000000.000000,426227000000.000000,968308000000.000000,104000000000.000000,864308000000.000000,968308000000.000000,467415000000.000000,317519000000.000000,3785347000000.000000,8266417000000.000000,2132104582.000000
12M 2012,,,872441000000.000000,13283000000.000000,905034000000.000000,45459000000.000000,859575000000.000000,905034000000.000000,51965000000.000000,,51965000000.000000,51965000000.000000,3634152000000.000000,409948000000.000000,542677000000.000000,6429500000000.000000,,,113819000000.000000,70013000000.000000,,2235000000.000000,162130000000.000000,46035000000.000000,4064770000000.000000,19542000000.000000,,53420000000.000000,4531964000000.000000,10961464000000.000000,,,3523891000000.000000,2284599000000.000000,,186294000000.000000,370595000000.000000,556889000000.000000,,,99431000000.000000,99431000000.000000,99350000000.000000,109985000000.000000,,334847000000.000000,4334000000.000000,3727000000.000000,,,,342908000000.000000,30729000000.000000,3523891000000.000000,2674246000000.000000,34431000000.000000,,,610648000000.000000,1176000000.000000,4216000000.000000,,1489713000000.000000,,2105753000000.000000,534062000000.000000,2674246000000.000000,6198137000000.000000,,1666250000000.000000,579383000000.000000,1800363000000.000000,120000000000.000000,1680363000000.000000,1800363000000.000000,414673000000.000000,302658000000.000000,4763327000000.000000,10961464000000.000000,2132104582.000000
12M 2013,,,1745963000000.000000,14283000000.000000,1197356000000.000000,106411000000.000000,1090945000000.000000,1197356000000.000000,52457000000.000000,,52457000000.000000,52457000000.000000,4727474000000.000000,537326000000.000000,729808000000.000000,9004667000000.000000,,,94636000000.000000,70013000000.000000,,2330000000.000000,335751000000.000000,45568000000.000000,5272131000000.000000,23813000000.000000,,68681000000.000000,5912923000000.000000,14917590000000.000000,,,4361546000000.000000,2558985000000.000000,,571213000000.000000,423503000000.000000,994716000000.000000,,,147278000000.000000,147278000000.000000,61958000000.000000,150402000000.000000,,397092000000.000000,2975000000.000000,3731000000.000000,,,,403798000000.000000,44409000000.000000,4361546000000.000000,5310822000000.000000,13201000000.000000,,,497113000000.000000,199000000.000000,5068000000.000000,,4147568000000.000000,,4649948000000.000000,647673000000.000000,5310822000000.000000,9672368000000.000000,,1666250000000.000000,895615000000.000000,2182807000000.000000,150000000000.000000,2032807000000.000000,2182807000000.000000,493062000000.000000,7488000000.000000,5245222000000.000000,14917590000000.000000,10660522910.000000
12M 2014,,,768461000000.000000,11283000000.000000,1242642000000.000000,47845000000.000000,1194797000000.000000,1242642000000.000000,70137000000.000000,,70137000000.000000,70137000000.000000,5133782000000.000000,702672000000.000000,780338000000.000000,8709315000000.000000,,,100662000000.000000,70136000000.000000,,2397000000.000000,303953000000.000000,52602000000.000000,6361632000000.000000,25802000000.000000,,103936000000.000000,7021120000000.000000,15730435000000.000000,,,4916448000000.000000,2212890000000.000000,,1446980000000.000000,557293000000.000000,2004273000000.000000,,,181143000000.000000,181143000000.000000,41717000000.000000,147736000000.000000,,278338000000.000000,463000000.000000,3007000000.000000,,,,281808000000.000000,46881000000.000000,4916448000000.000000,5523993000000.000000,10939000000.000000,,,518779000000.000000,678000000.000000,3049000000.000000,,4223055000000.000000,,4745561000000.000000,767493000000.000000,5523993000000.000000,10440441000000.000000,,1666250000000.000000,895615000000.000000,2408794000000.000000,165000000000.000000,2243794000000.000000,2408794000000.000000,425725000000.000000,-106390000000.000000,5289994000000.000000,15730435000000.000000,10660522910.000000
12M 2015,,,901207000000.000000,11283000000.000000,1199675000000.000000,47653000000.000000,1152022000000.000000,1199675000000.000000,54210000000.000000,,54210000000.000000,54210000000.000000,5854975000000.000000,632288000000.000000,950516000000.000000,9604154000000.000000,,,116193000000.000000,70136000000.000000,,2433000000.000000,279908000000.000000,19813000000.000000,6808971000000.000000,26847000000.000000,,231011000000.000000,7555312000000.000000,17159466000000.000000,,,5352670000000.000000,1863156000000.000000,,1880657000000.000000,865182000000.000000,2745839000000.000000,,,166502000000.000000,166502000000.000000,137484000000.000000,190831000000.000000,,201122000000.000000,221000000.000000,2423000000.000000,,,,203766000000.000000,45092000000.000000,5352670000000.000000,5697104000000.000000,10428000000.000000,,,510246000000.000000,3181000000.000000,1148000000.000000,,4246495000000.000000,,4761070000000.000000,925606000000.000000,5697104000000.000000,11049774000000.000000,,1666250000000.000000,895615000000.000000,2797573000000.000000,175000000000.000000,2622573000000.000000,2797573000000.000000,497787000000.000000,252467000000.000000,6109692000000.000000,17159466000000.000000,10660522910.000000
12M 2016,,,2701265000000.000000,11283000000.000000,1211728000000.000000,65595000000.000000,1146133000000.000000,1211728000000.000000,85605000000.000000,,85605000000.000000,85605000000.000000,5500017000000.000000,759084000000.000000,792026000000.000000,11061008000000.000000,,,160221000000.000000,70136000000.000000,,2442000000.000000,160958000000.000000,153519000000.000000,7512091000000.000000,26859000000.000000,,103792000000.000000,8190018000000.000000,19251026000000.000000,,,5193549000000.000000,759154000000.000000,,1143947000000.000000,1173023000000.000000,2316970000000.000000,,,210859000000.000000,210859000000.000000,164425000000.000000,211270000000.000000,,,124000000.000000,983000000.000000,,1500000000000.000000,,1501107000000.000000,29764000000.000000,5193549000000.000000,4684513000000.000000,9193000000.000000,,,,207000000.000000,157000000.000000,,3608726000000.000000,,3609090000000.000000,1066230000000.000000,4684513000000.000000,9878062000000.000000,,1816250000000.000000,1447315000000.000000,4630555000000.000000,186700000000.000000,4443855000000.000000,4630555000000.000000,529470000000.000000,949374000000.000000,9372964000000.000000,19251026000000.000000,11410522910.000000
12M 2017,,,1642106000000.000000,,1540603000000.000000,97012000000.000000,1443591000000.000000,1540603000000.000000,86288000000.000000,,86288000000.000000,86288000000.000000,6413912000000.000000,917995000000.000000,588421000000.000000,11189325000000.000000,,,215222000000.000000,70136000000.000000,,2444000000.000000,264635000000.000000,45361000000.000000,8346028000000.000000,37246000000.000000,27321000000.000000,891150000000.000000,9899543000000.000000,21088868000000.000000,,,4769640000000.000000,797201000000.000000,,1432548000000.000000,1783455000000.000000,3216003000000.000000,,,281757000000.000000,281757000000.000000,177397000000.000000,181949000000.000000,,,1043000000.000000,147000000.000000,,,,1190000000.000000,114143000000.000000,4769640000000.000000,6523602000000.000000,10048000000.000000,,,,870000000.000000,10000000.000000,,5271496000000.000000,,5272376000000.000000,1241178000000.000000,6523602000000.000000,11293242000000.000000,,1816250000000.000000,1451977000000.000000,4952932000000.000000,228000000000.000000,4724932000000.000000,4952932000000.000000,586375000000.000000,988094000000.000000,9795628000000.000000,21088870000000.000000,11410522910.000000
