Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Pembayaran Biaya Bunga,Penerimaan Pendapatan Bunga,Pembayaran Pajak Penghasilan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Perolehan Aset Takberwujud,Perolehan Aset Hak Guna,Penerimaan Pembayaran Atas Pemberian Pinjaman Kepada Pihak Berelasi,Penjualan Aset Tetap,Penempatan Investasi Jangka Panjang,Peningkatan Aset Keuangan Lancar Lainnya,Pemberian Pinjaman Kepada Pihak Berelasi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Pihak Berelasi,Penerimaan Utang Bank,Pembayaran Utang Bank,Pembayaran Kepada Pihak Berelasi,Penerimaan Utang Pembelian Aset Tetap,Pembayaran Utang Pembelian Aset Tetap,Penerimaan Liabilitas Sewa,Pembayaran Dividen Kas,Pembayaran Liabilitas Sewa,Penerbitan Modal Saham,Penerimaan Hasil Penerbitan Saham Pada Penawaran Umum Perdana Saham,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2017,-712004676.000000,9924969602.000000,-6772725607.000000,-3858154204.000000,,31546203.000000,-37640670.000000,-712004676.000000,-1036481004.000000,-327481004.000000,,,,,,,-709000000.000000,-1036481004.000000,1757010114.000000,1757010114.000000,,,,,,,,,,,1757010114.000000,8524434.000000,1294917465.000000,1303441899.000000
12M 2018,8468099302.000000,34917146166.000000,-17980676450.000000,-8420720714.000000,,37250703.000000,-84900403.000000,8468099302.000000,-6462156405.000000,-3836704406.000000,,,,,,,-2625451999.000000,-6462156405.000000,-1772052216.000000,97762898.000000,,,-1757010114.000000,,-112805000.000000,,,,,,-1772052216.000000,233890681.000000,1303441899.000000,1537332580.000000
12M 2019,11196333595.000000,51905414191.000000,-27032967931.000000,-11515769664.000000,,29345331.000000,-2189688332.000000,11196333595.000000,-29239161937.000000,-2782305066.000000,,,110000000.000000,,,,-26566856871.000000,-29239161937.000000,17898889181.000000,,,,,,-5096090517.000000,,,-1755020302.000000,,24750000000.000000,17898889181.000000,-143939161.000000,1537332580.000000,1393393419.000000
12M 2020,26228470967.000000,137605435647.000000,-83115819299.000000,-21472692636.000000,,166555844.000000,-6955008589.000000,26228470967.000000,-8150424706.000000,-5863647999.000000,,,28137649529.000000,,,,-30424426236.000000,-8150424706.000000,-2933169330.000000,,,,,,-369846785.000000,,,-2563322545.000000,,,-2933169330.000000,15144876931.000000,1393393419.000000,16538270350.000000
12M 2021,58874908484.000000,311267859921.000000,-185777654314.000000,-52746433431.000000,,2316510439.000000,-16185374131.000000,58874908484.000000,-75567561680.000000,-67841032639.000000,,,-1219183446.000000,,,-6507345595.000000,,-75567561680.000000,44874238941.000000,6296484548.000000,,,,,-4253976560.000000,,-6000000000.000000,-646263585.000000,6250000000.000000,43227994538.000000,44874238941.000000,28181585745.000000,16538270350.000000,44719856095.000000
12M 2022,-6015922514.000000,193088173352.000000,-118568373158.000000,-61203133817.000000,,749545901.000000,-20082134792.000000,-6015922514.000000,-17550184225.000000,-34096192532.000000,-756800000.000000,,25354115168.000000,,-7194500000.000000,-856806861.000000,,-17550184225.000000,6856929676.000000,,11606017875.000000,-832932427.000000,,,-714595052.000000,,,-3201560720.000000,,,6856929676.000000,-16709177063.000000,44719856095.000000,28010679032.000000
12M 2023,13183572963.000000,149595228038.000000,-73186677082.000000,-63131908429.000000,-475236455.000000,392243567.000000,-10076676.000000,13183572963.000000,-42388769311.000000,-38324419311.000000,-208000000.000000,,,649650000.000000,-4506000000.000000,,,-42388769311.000000,11439423709.000000,,38977881907.000000,-21686359170.000000,,,-3810122825.000000,,,-2041976203.000000,,,11439423709.000000,-17765772639.000000,28010679032.000000,10244906393.000000
12M 2024,27298505983.000000,168618908957.000000,-76443035560.000000,-62330008293.000000,-2613648038.000000,66288917.000000,,27298505983.000000,-44180796101.000000,-43393735592.000000,-904177626.000000,,,117117117.000000,,,,-44180796101.000000,10846493642.000000,,15000000000.000000,-31250000.000000,,,-1409213413.000000,,,-2713042945.000000,,,10846493642.000000,-6035796476.000000,10244906393.000000,4209109917.000000
