Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada:,Pembayaran Kas Kepada Pemasok,Pembayaran Kepada Karyawan,Total Pembayaran Kas Kepada:,Pembayaran Beban Usaha,Pembayaran Bunga Dan Keuangan,Penerimaan Bunga,Penerimaan (Pembayaran) Kegiatan Usaha Lainnya Termasuk Bunga,Pembayaran Pajak,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Hasil Penjualan Aset Tetap,Penambahan Aset Lain-Lain,Penambahan Properti Investasi,Penyertaan,Hak Minoritas Atas Aktiva Bersih Anak Perusahaan,Hasil Penjualan Investasi,Pinjaman Kepada Pihak Berelasi,Adjustment,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Fasilitas Hutang Bank,Penerimaan Utang Bank,Pembayaran Utang Bank,Pembayaran Utang Pembelian Aset Tetap,Penerimaan Pinjaman Bank Jangka Pendek,Penerimaan/Pembayaran Utang Bank Jangka Panjang,Pembayaran Utang Bank Jangka Panjang,Penerimaan (Pembayaran) Fasilitas Pinjaman,Penerimaan Dari Utang Afiliasi,Pembayaran Dividen,Pembayaran Aset Sewa Pembiayaan,Penerimaan Sewa Pembiayaan,Tambahan Modal Yang Disetor,Saham Yang Dibeli Kembali,Disagio Pembelian Kembali Saham,Liabilitas Jangka Panjang Lainnya,Pembayaran Utang Afiliasi,Setoran Modal Kepentingan Non-Pengendali,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Adjustment,Kas Dan Setara Kas Akhir Periode
12M 2008,20816173698.000000,161396931724.000000,,-117384329113.000000,,-117384329113.000000,-18318021252.000000,,,-1030848227.000000,-3847559434.000000,20816173698.000000,-16452464831.000000,-18522608470.000000,639860000.000000,1430283639.000000,,,,,,,-16452464831.000000,4999269859.000000,9053725723.000000,,,,,,,-1080000000.000000,,-660628364.000000,,,,-969950000.000000,-1343877500.000000,,,,4999269859.000000,9362978726.000000,21415202577.000000,,,30778181303.000000
12M 2009,30753952338.000000,256697162041.000000,,-183943282485.000000,,-183943282485.000000,-31884003130.000000,,,-2855181940.000000,-7260742148.000000,30753952338.000000,-11501536074.000000,-16496521251.000000,3945500000.000000,1049485177.000000,,,,,,,-11501536074.000000,-5876861177.000000,-3426840427.000000,,,,,,,-300000000.000000,,-1654210750.000000,,,,-163400000.000000,-332410000.000000,,,,-5876861177.000000,13375555087.000000,30778181303.000000,,,44153736390.000000
12M 2010,93532056357.000000,465800392552.000000,,-283933212516.000000,,-283933212516.000000,-46803072145.000000,,,-2720649497.000000,-38811402037.000000,93532056357.000000,-45190373040.000000,-46188450781.000000,797798428.000000,262779313.000000,,-62500000.000000,,,,,-45190373040.000000,-13046246788.000000,-25158888288.000000,,,,,,,22533336000.000000,,-10000264500.000000,-420430000.000000,,,,,,,,-13046246788.000000,35295436529.000000,44153736391.000000,,,79449172920.000000
12M 2011,111087326728.000000,504551764027.000000,,-289657630391.000000,,-289657630391.000000,-53243447768.000000,,,792274337.000000,-51355633477.000000,111087326728.000000,-52628169036.000000,-52550670600.000000,778040909.000000,-855539345.000000,,,,,,,-52628169036.000000,-54806282371.000000,-1602074351.000000,,,,,,,-5199996000.000000,,-47964350000.000000,353737980.000000,,-393600000.000000,,,,,,-54806282371.000000,3652875321.000000,79449172920.000000,,,83102048241.000000
12M 2012,-6256885708.000000,339953943839.000000,,-257094227681.000000,,-257094227681.000000,-44488866536.000000,-6146615699.000000,,-129011783.000000,-38352107848.000000,-6256885708.000000,-58932428707.000000,-57458992170.000000,1102226453.000000,-2575662990.000000,,,,,,,-58932428707.000000,18382820718.000000,-5199996000.000000,,,,,,,31263872509.000000,16500000000.000000,-23982175000.000000,-198880791.000000,,,,,,,,18382820718.000000,-46806493697.000000,83102048240.000000,844944475.000000,,37140499018.000000
12M 2013,101995860947.000000,665994592587.000000,,-441118747581.000000,-63400373846.000000,-504519121427.000000,-22436562294.000000,-13469282738.000000,1674897764.000000,-7974053202.000000,-17274609743.000000,101995860947.000000,-45987559367.000000,-48296012966.000000,289806725.000000,2018646874.000000,,,,,,,-45987559367.000000,18452618999.000000,-9249996000.000000,,,,,,,31933601971.000000,1327461323.000000,-11991087500.000000,-165050796.000000,,,,,-309000000.000000,,6906690001.000000,18452618999.000000,74460920579.000000,37140499019.000000,784591604.000000,,112386011202.000000
12M 2014,-46048616252.000000,787645007680.000000,,-693102176150.000000,-81980503556.000000,-775082679706.000000,-34634888792.000000,-22133818517.000000,2158932408.000000,10588416875.000000,-14589586200.000000,-46048616252.000000,-48678791530.000000,-37240981102.000000,463959091.000000,-8657538166.000000,-3244231353.000000,,,,,,-48678791530.000000,51448175650.000000,-14777993870.000000,,,,,,,68277802138.000000,9351034677.000000,-11991087500.000000,-454253306.000000,,,,,277673511.000000,,765000000.000000,51448175650.000000,-43279232132.000000,112386011203.000000,,,69106779071.000000
12M 2015,-9651439031.000000,1008254777634.000000,,-823419555072.000000,-106328668324.000000,-929748223396.000000,-39640384637.000000,-28649597581.000000,178624802.000000,7776549631.000000,-27823185484.000000,-9651439031.000000,-100247523122.000000,-100282517611.000000,1351454545.000000,-1375803907.000000,,59343851.000000,,,,,-100247523122.000000,81063407495.000000,-95950000000.000000,,,,,,,196076792648.000000,,-17130125000.000000,,,,,,-632460153.000000,-2500000000.000000,1199200000.000000,81063407495.000000,-28835554658.000000,69106779074.000000,302295692.000000,,40573520108.000000
12M 2016,90037896033.000000,1065525508430.000000,,-908384227158.000000,,-908384227158.000000,-22049117904.000000,-35108294371.000000,1263154923.000000,11807098284.000000,-23016226171.000000,90037896033.000000,-29502106714.000000,-23725181703.000000,1538197185.000000,-7315122196.000000,,,,,,,-29502106714.000000,25830657494.000000,-36928381351.000000,93611097531.000000,,,,,,,,-23982175000.000000,-73639236.000000,87004800.000000,,,,-6883249250.000000,,,25830657494.000000,86366446813.000000,40573520108.000000,-528299675.000000,,126411667246.000000
12M 2017,128033765711.000000,1215596119424.000000,,-936313129443.000000,,-936313129443.000000,-89253921805.000000,-36087933496.000000,1342190208.000000,832115114.000000,-28081674291.000000,128033765711.000000,-38903109809.000000,-37732775227.000000,513508364.000000,-1683842946.000000,,,,,,,-38903109809.000000,-110157971698.000000,-57540677645.000000,,,,,,,,,-49677362500.000000,-129446566.000000,,,,,-2810484987.000000,,,-110157971698.000000,-21027315796.000000,126411667246.000000,-39754313.000000,,105344597137.000000
12M 2018,154071188313.000000,1332854201918.000000,,-1021505256774.000000,,-1021505256774.000000,-93597283960.000000,-25163195472.000000,790333717.000000,-321558975.000000,-38986052141.000000,154071188313.000000,-7934946450.000000,-39565854793.000000,59363505.000000,-616342416.000000,,,,35300000000.000000,-3112112746.000000,,-7934946450.000000,-102073212738.000000,-62853790577.000000,18000000000.000000,,,,,,,,-54816400000.000000,,,,,,-2403022161.000000,,,-102073212738.000000,44063029125.000000,105344597137.000000,1324130044.000000,,150731756306.000000
