Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,1.51,185.72,1.51,185.72,31 B,0 B,31 B,0 B,12 B
12M 2009,2.06,252.12,2.06,252.12,27 B,0 B,27 B,(17 B),29 B
12M 2010,2.64,439.50,2.64,439.50,2 B,23 B,24 B,(55 B),74 B
12M 2011,2.87,104.66,2.87,104.66,5 B,13 B,18 B,(65 B),54 B
12M 2012,3.20,116.26,3.20,116.26,11 B,49 B,60 B,22 B,69 B
12M 2013,2.29,132.59,2.29,132.59,31 B,53 B,85 B,(28 B),82 B
12M 2014,2.43,156.28,2.43,156.28,76 B,71 B,147 B,78 B,111 B
12M 2015,1.22,190.00,1.23,189.05,174 B,59 B,233 B,193 B,74 B
12M 2016,1.00,307.51,1.01,305.12,236 B,52 B,288 B,162 B,131 B
12M 2017,0.85,323.25,0.86,320.86,195 B,36 B,231 B,126 B,73 B
12M 2018,1.39,356.19,1.40,354.12,140 B,28 B,168 B,17 B,174 B
12M 2019,2.41,407.45,2.42,405.46,124 B,9 B,133 B,51 B,253 B
12M 2020,2.40,420.94,2.42,417.52,27 B,4 B,31 B,(2 B),263 B
12M 2021,2.11,499.91,2.13,496.51,8 B,38 B,46 B,(130 B),327 B
12M 2022,1.91,138.54,1.95,135.61,69 B,28 B,97 B,(112 B),356 B
12M 2023,2.12,145.49,2.17,141.86,10 B,18 B,28 B,(370 B),389 B
12M 2024,1.31,168.28,1.34,164.05,13 B,14 B,26 B,(531 B),480 B
