Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Piutang Pembiayaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Pajak Tangguhan,Investasi Pada Entitas Asosiasi,Aset Tetap,Properti Investasi,Aset Tak Berwujud,Piutang Lain-Lain,Pihak Berelasi,Total Piutang Lain-Lain,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Pajak,Beban Akrual,Utang Lain-Lain,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Utang Lain Jangka Panjang,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Pajak Tangguhan,Utang Jangka Panjang Dari Pihak Berelasi,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Aset Tetap,Utang Sewa Pembiayaan,Utang Lain Jangka Panjang,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Others,Total Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Adjustment,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,30778181303.000000,10340581973.000000,,10340581973.000000,10340581973.000000,1941769583.000000,,,1941769583.000000,10220603461.000000,1022541124.000000,3669509577.000000,57973187021.000000,,132808217.000000,,54449532360.000000,,,,,,2006774551.000000,56589115128.000000,114562302149.000000,,,45797120973.000000,30187803067.000000,,,7408411719.000000,7408411719.000000,862403005.000000,2713582290.000000,4092490892.000000,,300000000.000000,232430000.000000,,,532430000.000000,,45797120973.000000,3694447650.000000,1528189371.000000,,,,,381400000.000000,,381400000.000000,1784858279.000000,3694447650.000000,49491568623.000000,,35000000000.000000,10390164444.000000,20582421675.000000,,,,,20582421675.000000,,68064233.000000,-969916826.000000,65070733526.000000,114562302149.000000,350000000.000000
12M 2009,,,44153736391.000000,24601154483.000000,,24601154483.000000,24601154483.000000,6113775602.000000,,,6113775602.000000,11900810749.000000,3135158019.000000,7222975532.000000,97127610776.000000,,,,62181326687.000000,,,,,,957289374.000000,63138616061.000000,160266226837.000000,,,68523360129.000000,26760962640.000000,,,23800898449.000000,23800898449.000000,6402828727.000000,3577767567.000000,7560472746.000000,,,420430000.000000,,,420430000.000000,,68523360129.000000,3455627162.000000,1499454186.000000,,,,,290970000.000000,,290970000.000000,1665202976.000000,3455627162.000000,71978987291.000000,,35000000000.000000,10057754444.000000,44316322247.000000,,,,,44316322247.000000,,46512855.000000,-1133350000.000000,88287239546.000000,160266226837.000000,350000000.000000
12M 2010,,,79449172920.000000,9762300306.000000,,9762300306.000000,9762300306.000000,6139100568.000000,,,6139100568.000000,8304293460.000000,20990272080.000000,6598579715.000000,131243719049.000000,,,62500000.000000,104371762127.000000,,,,,,693510061.000000,105127772188.000000,236371491237.000000,,,57198102870.000000,1602074352.000000,,,24686181801.000000,24686181801.000000,11179323063.000000,3912435607.000000,15575324713.000000,,,242763334.000000,,,242763334.000000,,57198102870.000000,25310279803.000000,1183189464.000000,,,22533336000.000000,,48206667.000000,,22581542667.000000,1545547672.000000,25310279803.000000,82508382673.000000,,35000000000.000000,10057754444.000000,109899478649.000000,,,,,109899478649.000000,,39225471.000000,-1133350000.000000,153863108564.000000,236371491237.000000,350000000.000000
12M 2011,,,83102048240.000000,12632323434.000000,,12632323434.000000,12632323434.000000,3667761584.000000,,,3667761584.000000,14539356824.000000,45135121674.000000,6433374736.000000,165509986492.000000,,,62500000.000000,144613005145.000000,,,,,,1549049406.000000,146224554551.000000,311734541043.000000,,,111048507082.000000,5199996000.000000,,595971539.000000,75419648590.000000,76015620129.000000,10288766181.000000,4247735279.000000,15097508702.000000,,,198880791.000000,,,198880791.000000,,111048507082.000000,15444006251.000000,1319287390.000000,,,12133344000.000000,,445827189.000000,,12579171189.000000,1545547672.000000,15444006251.000000,126492513333.000000,,35393600000.000000,9664154444.000000,141290284516.000000,100000000.000000,,100000000.000000,141190284516.000000,141290284516.000000,,27338750.000000,-1133350000.000000,185242027710.000000,311734541043.000000,1769680000.000000
12M 2012,,,37140499019.000000,84748111438.000000,,84748111438.000000,84748111438.000000,,,,,56251892119.000000,61691162132.000000,13874473835.000000,253706138543.000000,,883789325.000000,62500000.000000,187926299272.000000,,,,,,4124712397.000000,192997300994.000000,446703439537.000000,,,185025999833.000000,1314032509.000000,,327739992.000000,160819812044.000000,161147552036.000000,3286209041.000000,837148462.000000,2114053414.000000,,9033329333.000000,165050796.000000,,,9198380129.000000,7128624242.000000,185025999833.000000,55336583735.000000,1404493508.000000,15750000000.000000,,33049854667.000000,,280776393.000000,,33330631060.000000,4851459167.000000,55336583735.000000,240362583568.000000,,35393600000.000000,9664154444.000000,161811952683.000000,,,,,161811952683.000000,,604498841.000000,-1133350000.000000,206340855968.000000,446703439536.000000,1769680000.000000
12M 2013,,,112386011203.000000,17884423688.000000,,17884423688.000000,17884423688.000000,14281108469.000000,10061417726.000000,4219690743.000000,14281108469.000000,103009813393.000000,958350674.000000,105779676412.000000,354299383839.000000,,1729779325.000000,,216917794691.000000,,,,,,2168565522.000000,220816139538.000000,575115523377.000000,,,272474915767.000000,19771423500.000000,,453968335.000000,234604875109.000000,235058843444.000000,1565283298.000000,1729983148.000000,927170749.000000,,10833329333.000000,500567646.000000,321990000.000000,,11655886979.000000,1766324649.000000,272474915767.000000,60639897959.000000,1622400269.000000,17077461323.000000,,35476069647.000000,,238215597.000000,543676667.000000,36257961911.000000,5682074456.000000,60639897959.000000,333114813726.000000,,35393600000.000000,9664154444.000000,190720205912.000000,,100000000.000000,100000000.000000,190620205912.000000,190720205912.000000,,7356099295.000000,-1133350000.000000,242000709651.000000,575115523377.000000,1769680000.000000
12M 2014,,,69106779073.000000,68455518712.000000,8460398984.000000,59995119728.000000,68455518712.000000,12728889816.000000,1733372270.000000,10995517546.000000,12728889816.000000,150908906054.000000,1653399413.000000,103178304818.000000,406031797886.000000,,1807922838.000000,,237057652156.000000,3244231353.000000,,,,,10826103688.000000,252935910035.000000,658967707921.000000,,,295247685570.000000,64421227769.000000,,24438518056.000000,184481016386.000000,208919534442.000000,662691023.000000,2270371653.000000,1166800060.000000,,10900000000.000000,275293117.000000,359440008.000000,,11534733125.000000,6272327498.000000,295247685570.000000,78977023261.000000,1723193937.000000,26428496000.000000,,44259402980.000000,,9236820.000000,274740821.000000,44543380621.000000,6281952703.000000,78977023261.000000,374224708831.000000,,35393600000.000000,9664154444.000000,232636318640.000000,,100000000.000000,100000000.000000,232536318640.000000,232636318640.000000,,8182276005.000000,-1133350000.000000,284742999089.000000,658967707920.000000,1769680000.000000
12M 2015,,,40573520108.000000,69994214186.000000,,69994214186.000000,69994214186.000000,10922449058.000000,,10922449058.000000,10922449058.000000,253360634478.000000,3205592688.000000,161474706140.000000,539531116658.000000,,1830027406.000000,,325281664089.000000,,1627332918.000000,,,,18576835679.000000,347315860092.000000,886846976750.000000,,,465395040873.000000,154431072416.000000,,,277981876513.000000,277981876513.000000,928038754.000000,1821993594.000000,2795717549.000000,,19500000000.000000,73639236.000000,255313104.000000,,19828952340.000000,7607389707.000000,465395040873.000000,70657333320.000000,3604421056.000000,13250000000.000000,,45776350980.000000,,42441766.000000,30937510.000000,45849730256.000000,7953182008.000000,70657333320.000000,536052374193.000000,,34260250000.000000,9664154444.000000,278442099687.000000,,6852050000.000000,6852050000.000000,271590049687.000000,278442099687.000000,,25330788652.000000,3097309774.000000,350794602557.000000,886846976750.000000,1713012500.000000
12M 2016,,,126411667246.000000,121367808832.000000,,121367808832.000000,121367808832.000000,8582838390.000000,,8582838390.000000,8582838390.000000,196366835129.000000,3161360761.000000,111666691500.000000,567557201858.000000,,2310413489.000000,,462474609333.000000,,4104796060.000000,,,,15684739966.000000,484574558848.000000,1052131760706.000000,,,436912076709.000000,202464410823.000000,,,185163889266.000000,185163889266.000000,1503106824.000000,1926455727.000000,1766098013.000000,,33921860000.000000,,42441766.000000,4797209707.000000,38761511473.000000,5326604583.000000,436912076709.000000,61573430055.000000,,13250000000.000000,,38668090980.000000,777795022.000000,87004800.000000,,39532890802.000000,8790539253.000000,61573430055.000000,498485506764.000000,,34260250000.000000,9664154444.000000,335364832684.000000,,6852050000.000000,6852050000.000000,328512782684.000000,335364832684.000000,,26875198382.000000,147481818432.000000,553646253942.000000,1052131760706.000000,1713012500.000000
12M 2017,,,105344597137.000000,139626905795.000000,423597322.000000,139203308473.000000,139626905795.000000,6696729157.000000,,6696729157.000000,6696729157.000000,195021162379.000000,2944633696.000000,5111392932.000000,454745421096.000000,,1945708917.000000,,459867266199.000000,,4094080839.000000,,,,94618567165.000000,560525623120.000000,1015271044216.000000,,,381719262877.000000,168927560707.000000,,,167223258815.000000,167223258815.000000,2107049161.000000,6090343336.000000,3042069517.000000,,26271050980.000000,,,2344799130.000000,28615850110.000000,5713131231.000000,381719262877.000000,47171650354.000000,,13250000000.000000,,22866880000.000000,419720615.000000,,,23286600615.000000,10635049739.000000,47171650354.000000,428890913231.000000,,34260250000.000000,9664154444.000000,362318955802.000000,,6852050000.000000,6852050000.000000,355466905802.000000,362318955802.000000,,32654952307.000000,147481818432.000000,586380130985.000000,1015271044216.000000,1713012500.000000
