Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Laba (Rugi) Selisih Kurs,Pendapatan Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Keuntungan Atas Penjualan Entitas Anak,Bagian Atas Hasil Bersih Entitas Asosiasi,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,159461010811.000000,-126108464177.000000,33352546634.000000,-19524073341.000000,-5254040945.000000,-14270032396.000000,,-19524073341.000000,13828473293.000000,-2503962012.000000,-2847719407.000000,-75742980.000000,252997715.000000,242051566.000000,,,-75548906.000000,-2503962012.000000,11324511281.000000,-3294106081.000000,-457782681.000000,-2836323400.000000,-3294106081.000000,8030405200.000000,-4860953.000000,8025544247.000000,,,8025544247.000000,8030405200.000000,-4860953.000000,8025544247.000000,,,,
12M 2009,270957734551.000000,-199245552887.000000,71712181664.000000,-34242949742.000000,-16101182855.000000,-18141766887.000000,,-34242949742.000000,37469231922.000000,-1204409380.000000,-2594446534.000000,3695561.000000,487195106.000000,721421327.000000,,,177725160.000000,-1204409380.000000,36264822542.000000,-10898295772.000000,-104073032.000000,-10794222740.000000,-10898295772.000000,25366526770.000000,21551378.000000,25388078148.000000,,,25388078148.000000,25366526770.000000,21551378.000000,25388078148.000000,,,,
12M 2010,445985712545.000000,-295329244987.000000,150656467558.000000,-48101794923.000000,-22709484613.000000,-25392310310.000000,,-48101794923.000000,102554672635.000000,-1612506714.000000,-3859153222.000000,-74262370.000000,887234423.000000,589919157.000000,,,843755298.000000,-1612506714.000000,100942165921.000000,-25366032403.000000,316264722.000000,-25682297125.000000,-25366032403.000000,75576133518.000000,7287384.000000,75583420902.000000,,,75583420902.000000,75576133518.000000,7287384.000000,75583420902.000000,,,,
12M 2011,507421787155.000000,-344107253546.000000,163314533609.000000,-57158936741.000000,-25829272199.000000,-30280322580.000000,-1049341962.000000,-57158936741.000000,106155596868.000000,,,,,,,,,,106155596868.000000,-26456324927.000000,-136097927.000000,-26320227000.000000,-26456324927.000000,79699271941.000000,,79699271941.000000,,79699271941.000000,79699271941.000000,79709005441.000000,-9733500.000000,79699271941.000000,79699271941.000000,79709005441.000000,-9733500.000000,79699271941.000000
12M 2012,418784326886.000000,-310570535516.000000,108213791370.000000,-45640642615.000000,-11132746722.000000,-30503147509.000000,-4004748384.000000,-45640642615.000000,62573148755.000000,-6146615699.000000,-6146615699.000000,,,,,,,-6146615699.000000,56426533056.000000,-13994927043.000000,,,-13994927043.000000,42431606013.000000,,42431606013.000000,,42431606013.000000,42431606013.000000,42604445922.000000,-172839909.000000,42431606013.000000,42431606013.000000,42604445922.000000,-172839909.000000,42431606013.000000
12M 2013,596623436140.000000,-456495461568.000000,140127974572.000000,-73847522132.000000,-13128605897.000000,-38780282178.000000,-21938634057.000000,-73847522132.000000,66280452440.000000,-11629179495.000000,-13469282738.000000,,1840103243.000000,,,,,-11629179495.000000,54651272945.000000,-13907021761.000000,,,-13907021761.000000,40744251184.000000,,40744251184.000000,,40744251184.000000,40744251183.000000,40899340729.000000,-155089546.000000,40744251183.000000,40744251183.000000,40899340729.000000,-155089546.000000,40744251183.000000
12M 2014,833710099854.000000,-685242703213.000000,148467396641.000000,-60860677188.000000,-16980031245.000000,-53594306600.000000,9713660657.000000,-60860677188.000000,87606719453.000000,-19974886109.000000,-22133818517.000000,,2158932408.000000,,,,,-19974886109.000000,67631833344.000000,-13709644080.000000,,,-13709644080.000000,53922189264.000000,,53922189264.000000,,53922189264.000000,53922189265.000000,53907200228.000000,14989037.000000,53922189265.000000,53922189265.000000,53907200228.000000,14989037.000000,53922189265.000000
12M 2015,984501789334.000000,-786638105206.000000,197863684128.000000,-80136227856.000000,-21902489568.000000,-59982366802.000000,1748628514.000000,-80136227856.000000,117727456272.000000,-28470972779.000000,-28649597581.000000,,178624802.000000,,,,,-28470972779.000000,89256483493.000000,-23940877320.000000,,,-23940877320.000000,65315606173.000000,,65315606173.000000,2344039343.000000,67659645516.000000,65315606173.000000,62781391042.000000,2534215131.000000,65315606173.000000,67659645516.000000,63141466637.000000,4518178879.000000,67659645516.000000
12M 2016,1115698720743.000000,-884033910258.000000,231664810485.000000,-103378550855.000000,-33302117832.000000,-71339587946.000000,1263154923.000000,-103378550855.000000,128286259630.000000,-29733554916.000000,-35108294371.000000,-1754034425.000000,,524889915.000000,,,6603883965.000000,-29733554916.000000,98552704714.000000,-18972539344.000000,-23016226171.000000,4043686827.000000,-18972539344.000000,79580165370.000000,,79580165370.000000,147358751715.000000,226938917085.000000,79580165369.000000,77662132259.000000,1918033110.000000,79580165369.000000,226938917083.000000,225289416655.000000,1649500428.000000,226938917083.000000
12M 2017,1233452181548.000000,-974492731402.000000,258959450146.000000,-113293858979.000000,-34710766190.000000,-78583092789.000000,,-113293858979.000000,145665591167.000000,-35109856271.000000,-36087933496.000000,-1949098989.000000,1342190208.000000,50450968.000000,,,1534535038.000000,-35109856271.000000,110555734896.000000,-28604384476.000000,-28392588558.000000,-211795918.000000,-28604384476.000000,81951350420.000000,,81951350420.000000,459889123.000000,82411239543.000000,81951350420.000000,77544015158.000000,4407335262.000000,81951350420.000000,82411239543.000000,76631485618.000000,5779753925.000000,82411239543.000000
12M 2018,1269759234189.000000,-991874760024.000000,277884474165.000000,-110484538178.000000,-40386642833.000000,-70097895345.000000,,-110484538178.000000,167399935987.000000,-25723558849.000000,-25163195472.000000,-261058455.000000,790333717.000000,59363505.000000,,841507573.000000,-1990509717.000000,-25723558849.000000,160136680625.000000,-39586615821.000000,-39232469213.000000,-354146608.000000,-39586615821.000000,120550064804.000000,,120550064804.000000,361196768.000000,120911261572.000000,120550064804.000000,112250156669.000000,8299908135.000000,120550064804.000000,120911261572.000000,111256691455.000000,9654570117.000000,120911261572.000000
12M 2019,1438183885309.000000,-1058393016361.000000,379790868948.000000,-123577028472.000000,-41198223065.000000,-82378805407.000000,,-123577028472.000000,256213840476.000000,-13661579137.000000,-18838851160.000000,-2423997142.000000,825298759.000000,,,1022890248.000000,5753080158.000000,-13661579137.000000,242552261339.000000,-60109611927.000000,-59465583011.000000,-644028916.000000,-60109611927.000000,182442649412.000000,,182442649412.000000,-4151463324.000000,178291186088.000000,182442649410.000000,168044560305.000000,14398089105.000000,182442649410.000000,178291186086.000000,164888984244.000000,13402201842.000000,178291186086.000000
12M 2020,978625887145.000000,-758926697868.000000,219699189277.000000,-106777854419.000000,-27076217248.000000,-79701637171.000000,,-106777854419.000000,112921334858.000000,-15248422523.000000,-14847692460.000000,3246614130.000000,943003225.000000,,,-8330264651.000000,3739917233.000000,-15248422523.000000,97672912335.000000,-23499997951.000000,-22009961494.000000,-1490036457.000000,-23499997951.000000,74172914384.000000,,74172914384.000000,3354348097.000000,77527262481.000000,74172914384.000000,72008562329.000000,2164352055.000000,74172914384.000000,77527262481.000000,74505365969.000000,3021896512.000000,77527262481.000000
