Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2021,0.00 B,-182.38,-0.00,0.00,14.06 B,-0.01%,-0.01%,-0.27%,-7.64
12M 2022,0.00 B,145336.00,0.00,0.00,45.23 B,4.08%,7.08%,8.48%,273.24
12M 2023,0.00 B,340289.20,0.00,0.00,84.59 B,0.78%,0.79%,1.79%,684.24
12M 2024,19.49 B,3.47,60.52,20.67,88.78 B,0.78%,0.85%,0.90%,38.84
