Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok Dan Lainnya,Pembayaran Kas Untuk Operasional,Pembayaran Kepada Karyawan,Penerimaan Bunga,Penerimaan (Pembayaran) Lain-Lain,Pembayaran Pajak Penghasilan,Pembayaran Bunga,Penerimaan Restitusi Pajak,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Kenaikan Piutang Lain-Lain - Pihak Berelasi,Penempatan Uang Muka Untuk Pembelian Aset Tetap,Perolehan Aset Tetap,Pembelian Aset Lain-Lain,Perolehan Aset Tak-Berwujud,Hasil Penjualan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Utang Pembiayaan Konsumen,Penerimaan Utang Bank Jangka Panjang,Penambahan Modal Melalui Penawaran Umum Perdana Saham,Biaya Emisi Saham,Peningkatan Modal Disetor,Utang Lain-Lain - Pihak Berelasi,Penerimaan,Pembayaran,Total Utang Lain-Lain - Pihak Berelasi,Jaminan Kerjasama,Pengembalian Simpanan Keanggotaan,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Selisih Kurs Pada Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2021,7146505926.000000,71676594093.000000,-22804581098.000000,-16515661533.000000,-24159018024.000000,781030071.000000,,-1963071251.000000,-18939677.000000,150153345.000000,7146505926.000000,-28453687660.000000,-28142318760.000000,,-381368900.000000,,,70000000.000000,-28453687660.000000,30005458074.000000,-156754802.000000,,,,,,258212876.000000,,258212876.000000,30000000000.000000,-96000000.000000,30005458074.000000,8698276340.000000,55481345.000000,6271415690.000000,15025173375.000000
12M 2022,37158919861.000000,110311909781.000000,-27482638481.000000,-19544231065.000000,-24681458749.000000,1264341086.000000,,-2754785530.000000,-18608299.000000,64391118.000000,37158919861.000000,-57419771788.000000,-55178047918.000000,,-2685723870.000000,,,444000000.000000,-57419771788.000000,44346954877.000000,-54742807.000000,,,,,,,-598302316.000000,-598302316.000000,45000000000.000000,,44346954877.000000,24086102950.000000,77539906.000000,15025173375.000000,39188816231.000000
12M 2023,87522941193.000000,186122609534.000000,-35138211062.000000,-21919431331.000000,-34172878445.000000,1664105553.000000,,-8937947205.000000,-95305851.000000,,87522941193.000000,-51193079533.000000,-40777913280.000000,,-10415166253.000000,,,,-51193079533.000000,-701876399.000000,-489396956.000000,,,,,,,-212479443.000000,-212479443.000000,,,-701876399.000000,35627985261.000000,-19979820.000000,39188816231.000000,74796821672.000000
12M 2024,17725458895.000000,205018725356.000000,-119985111979.000000,-37557852168.000000,-17141211000.000000,1868989021.000000,,-4224939759.000000,-10253140576.000000,,17725458895.000000,-353465229455.000000,-41089720473.000000,,-304753399572.000000,-7838325626.000000,,216216216.000000,-353465229455.000000,814967069922.000000,-4157080047.000000,443357895155.000000,390000000000.000000,-18722319999.000000,,,,4488574813.000000,4488574813.000000,,,814967069922.000000,479227299362.000000,,74796821672.000000,554024121034.000000
