Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,0.80,3868.20,0.80,3868.20,,,,(80 B),181 B
12M 2009,0.48,4379.41,0.48,4379.41,,,,(127 B),207 B
12M 2010,0.76,4997.09,0.76,4997.09,,,,(149 B),243 B
12M 2011,0.90,5807.07,0.90,5807.07,,,,(173 B),282 B
12M 2012,1.45,7148.37,1.45,7148.37,,,,(202 B),353 B
12M 2013,1.50,7993.39,1.50,7993.39,,,,(204 B),365 B
12M 2014,1.09,8535.43,1.09,8535.43,35 B,,35 B,(138 B),356 B
12M 2015,1.20,873.96,1.20,873.96,35 B,,35 B,(167 B),375 B
12M 2016,1.16,904.73,1.16,904.73,35 B,,35 B,(175 B),390 B
12M 2017,0.88,869.55,0.88,869.55,35 B,,35 B,(119 B),349 B
12M 2018,0.74,913.51,0.74,913.51,35 B,,35 B,(116 B),369 B
12M 2019,0.52,901.07,0.52,901.07,35 B,,35 B,(101 B),371 B
12M 2020,0.41,851.93,0.41,851.93,35 B,,35 B,(94 B),316 B
12M 2021,0.38,895.54,0.38,895.54,35 B,,35 B,(64 B),328 B
12M 2022,0.93,912.82,0.93,912.82,35 B,,35 B,(12 B),338 B
12M 2023,0.61,944.68,0.61,0.00,43 B,27 B,70 B,6 B,323 B
12M 2024,0.42,963.27,0.42,963.27,39 B,10 B,49 B,(95 B),328 B
