Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Pengeluaran Kas Untuk :,Bahan Baku,Barang Jadi Dan Penolong,Beban Pabrikasi,Beban Umum Dan Administrasi,Beban Penjualan,Total Pengeluaran Kas Untuk :,Penerimaan Atas :,Penghasilan Bunga,Penghasilan Sewa,Penghasilan (Beban) Lain-Lain,Total Penerimaan Atas :,Pembayaran Untuk:,Beban Bunga,Pajak Penghasilan,Penghasilan (Beban) Lain-Lain,Uang Muka,Total Pembayaran Untuk:,Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Uang Muka Untuk Perolehan Aset Tetap,Perolehan Aset Tetap,Penjualan Aset Tetap,Perolehan Hak Guna Usaha,Penambahan Properti Investasi,Pembayaran Utang Lain-Lain,Penempatan Deposito Dijaminkan,Penerimaan Uang Muka Pemerintahan,Penarikan Deposito Berjangka Yang Dibatasi Penggunaanya,Pencairan (Penempatan) Deposito Berjangka,Penjualan Aset Tidak Lancar Tersedia Untuk Dijual,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Dividen Kas,Penempatan Deposito,Pembayaran Porsi Pokok Liabilitas Sewa,Pembayaran Utang Bank,Perolehan Pinjaman Bank,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2008,28539587019.000000,230486656336.000000,,,,-124497162069.000000,,-29777135197.000000,-22322272869.000000,-20913551211.000000,-197510121346.000000,,2782201424.000000,221400000.000000,6116311865.000000,9119913289.000000,,,-13556861260.000000,,,-13556861260.000000,,28539587019.000000,-4819393012.000000,,-5038275447.000000,95000000.000000,,,,,,,123882435.000000,,-4819393012.000000,-6405463900.000000,-6405463900.000000,,,,,-6405463900.000000,17314730107.000000,63152323113.000000,,80467053220.000000
12M 2009,50456390635.000000,192020274205.000000,,,,-55437702445.000000,,-24678666744.000000,-26972087565.000000,-19562913681.000000,-126651370435.000000,,6036466668.000000,221400000.000000,-5423784073.000000,834082595.000000,,,-15746595730.000000,,,-15746595730.000000,,50456390635.000000,3036005755.000000,,-4237724246.000000,450000000.000000,,,,,,,6823730001.000000,,3036005755.000000,-6909836575.000000,-6909836575.000000,,,,,-6909836575.000000,46582559815.000000,80467053220.000000,,127049613035.000000
12M 2010,32525842443.000000,213414596431.000000,,,,-98776588867.000000,,-29639924927.000000,-25164613312.000000,-18409621350.000000,-171990748456.000000,,6204013268.000000,221400000.000000,,6425413268.000000,,,-14466102761.000000,-857316039.000000,,-15323418800.000000,,32525842443.000000,-4203548528.000000,,-1927874689.000000,84000000.000000,,,,,,,-2359673839.000000,,-4203548528.000000,-6406073525.000000,-6406073525.000000,,,,,-6406073525.000000,21916220390.000000,127049613035.000000,,148965833425.000000
12M 2011,40207285424.000000,268808876266.000000,,,,-130919706694.000000,,-38345669591.000000,-27889174831.000000,-23306620787.000000,-220461171903.000000,,7069636540.000000,221400000.000000,,7291036540.000000,,,-14711284443.000000,-720171036.000000,,-15431455479.000000,,40207285424.000000,-5851550300.000000,,-8294804325.000000,340000000.000000,,,,,8131222000.000000,,-6027967975.000000,,-5851550300.000000,-10204577000.000000,-10204577000.000000,,,,,-10204577000.000000,24151158124.000000,148965833425.000000,,173116991549.000000
12M 2012,66606219113.000000,361361360781.000000,,,,-174380308355.000000,,-50169975092.000000,-34038581966.000000,-26778001125.000000,-285366866538.000000,,7119650218.000000,221400000.000000,3630980661.000000,10972030879.000000,,,-20360306009.000000,,,-20360306009.000000,,66606219113.000000,-24792591600.000000,,-6493742900.000000,,,,,,,,-37100941700.000000,18802093000.000000,-24792591600.000000,-15332542500.000000,-15332542500.000000,,,,,-15332542500.000000,26481085013.000000,173116991549.000000,2761076116.000000,202359152678.000000
12M 2013,52556704619.000000,353061302440.000000,,,,-169879572027.000000,,-46799176849.000000,-36589915241.000000,-34062258686.000000,-287330922803.000000,,10552305240.000000,221400000.000000,1061561493.000000,11835266733.000000,,,-25008941751.000000,,,-25008941751.000000,,52556704619.000000,-29204752798.000000,,-34518903341.000000,1248577150.000000,,,,,,,4065573393.000000,,-29204752798.000000,-20557419062.000000,-20557419062.000000,,,,,-20557419062.000000,2794532759.000000,202359152678.000000,-1321015876.000000,203832669561.000000
12M 2014,61833303338.000000,387361993068.000000,,,,-179420664147.000000,,-53460225603.000000,-47640555313.000000,-41857051565.000000,-322378496628.000000,,10595080725.000000,221400000.000000,2119812562.000000,12936293287.000000,,,,,-16086486389.000000,-16086486389.000000,,61833303338.000000,-106585551881.000000,,-51455137070.000000,165150000.000000,,,,-39000000000.000000,,,-16295564811.000000,,-106585551881.000000,14474802250.000000,-20525197750.000000,,,,35000000000.000000,14474802250.000000,-30277446293.000000,203832669561.000000,-63112500.000000,173492110768.000000
12M 2015,59304153529.000000,375399029337.000000,,,,-141991095018.000000,,-80214959524.000000,-53277982545.000000,-40495923215.000000,-315979960302.000000,,8453093175.000000,488700000.000000,2080441828.000000,11022235003.000000,,,-11137150509.000000,,,-11137150509.000000,,59304153529.000000,-9009480129.000000,,-23917496421.000000,,,,,14908016292.000000,,,,,-9009480129.000000,-20486754000.000000,-20486754000.000000,,,,,-20486754000.000000,29807919400.000000,172587451609.000000,,202395371009.000000
12M 2016,53300060257.000000,384341860977.000000,,,,-152335670235.000000,,-71046218308.000000,-57877142267.000000,-38608332467.000000,-319867363277.000000,,8179595283.000000,488700000.000000,102065355.000000,8770360638.000000,,-2046041664.000000,-17898756417.000000,,,-19944798081.000000,,53300060257.000000,-21962145610.000000,,-18015306251.000000,98500000.000000,,,,-4045339359.000000,,,,,-21962145610.000000,-20612164000.000000,-20612164000.000000,,,,,-20612164000.000000,10725750647.000000,202395371009.000000,-3271350057.000000,209849771599.000000
12M 2017,9661711698.000000,341756604468.000000,,,,-155172769997.000000,,-68946996194.000000,-68328803590.000000,-32538652043.000000,-324987221824.000000,,7156010230.000000,458325000.000000,,7614335230.000000,,-2040451387.000000,-12430253792.000000,-251300997.000000,,-14722006176.000000,,9661711698.000000,-45667345985.000000,,-11193033635.000000,193200000.000000,,-34163698790.000000,,-503813560.000000,,,,,-45667345985.000000,-21012107000.000000,-21012107000.000000,,,,,-21012107000.000000,-57017741287.000000,209849771599.000000,827978641.000000,153660008953.000000
12M 2018,8977194202.000000,390668297468.000000,,,,-138152669377.000000,,-117137011616.000000,-72787671829.000000,-49267410867.000000,-377344763689.000000,,5335594070.000000,367200000.000000,,5702794070.000000,,-2003749999.000000,-7979956206.000000,-65427442.000000,,-10049133647.000000,,8977194202.000000,-9573844159.000000,,-3243521553.000000,,,-4030812200.000000,,-2299510406.000000,,,,,-9573844159.000000,-7997504750.000000,-7997504750.000000,,,,,-7997504750.000000,-8594154707.000000,153660008953.000000,6204656061.000000,151270510307.000000
