Period,Aset,Aset Lancar,Kas Dan Setara Kas,Deposito Berjangka,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Pihak Berelasi,Piutang Lain-Lain,Aset Pajak Tangguhan,Aset Tetap,Deposito Berjangka,Properti Investasi,Tanah Untuk Dikembangkan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Utang Lain-Lain,Utang Bank Jangka Pendek,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,80467053220.000000,11097902728.000000,36163361882.000000,11687250921.000000,24476110961.000000,36163361882.000000,541620670.000000,,541620670.000000,541620670.000000,91074476433.000000,206629916.000000,219551044849.000000,,1182013000.000000,,5943890035.000000,18837324480.000000,,,7627579999.000000,,33590807514.000000,253141852363.000000,,,38607410040.000000,6619642254.000000,,,11054249986.000000,4865054490.000000,,,,,16068463310.000000,38607410040.000000,13326393087.000000,,,13326393087.000000,13326393087.000000,13326393087.000000,51933803127.000000,,52016000000.000000,1982575100.000000,147237419015.000000,5168000000.000000,142069419015.000000,147237419015.000000,-27944879.000000,201208049236.000000,253141852363.000000,52016000.000000
12M 2009,,,127049613035.000000,4274172727.000000,36276526439.000000,14023565158.000000,22252961281.000000,36276526439.000000,,,,,68593265698.000000,757219652.000000,236950797551.000000,,1122005000.000000,,6052351241.000000,19613637506.000000,,,7627579999.000000,,34415573746.000000,271366371297.000000,,,29755423356.000000,10272260332.000000,,,6328379801.000000,2348408162.000000,,,,,10806375061.000000,29755423356.000000,13811729627.000000,,,13811729627.000000,13811729627.000000,13811729627.000000,43567152983.000000,,52016000000.000000,1982575100.000000,173828588093.000000,5668000000.000000,168160588093.000000,173828588093.000000,-27944879.000000,227799218314.000000,271366371297.000000,52016000.000000
12M 2010,,,148965833425.000000,6633846566.000000,33086423326.000000,12878753262.000000,20207670064.000000,33086423326.000000,1183030000.000000,1183030000.000000,,1183030000.000000,81373479111.000000,25546626.000000,271268159054.000000,,,,6779521520.000000,18208724225.000000,,,7643569999.000000,,32631815744.000000,303899974798.000000,,,28732816188.000000,6640417609.000000,,,5171889470.000000,2123000000.000000,,,,,14797509109.000000,28732816188.000000,15238640938.000000,,,15238640938.000000,15238640938.000000,15238640938.000000,43971457126.000000,,52016000000.000000,1982575100.000000,205957887451.000000,6168000000.000000,199789887451.000000,205957887451.000000,-27944879.000000,259928517672.000000,303899974798.000000,52016000.000000
12M 2011,,,173116991549.000000,12661814541.000000,36227550428.000000,5168051310.000000,31059499118.000000,36227550428.000000,1187412000.000000,1187412000.000000,,1187412000.000000,103979114592.000000,642422887.000000,327815305997.000000,,,,7346116554.000000,18552158660.000000,,,9614711299.000000,2487457083.000000,38000443596.000000,365815749593.000000,,,46152721642.000000,12839674516.000000,,,4355931081.000000,2294044000.000000,,,,,26663072045.000000,46152721642.000000,17602562578.000000,,,17602562578.000000,17602562578.000000,17602562578.000000,63755284220.000000,,52016000000.000000,1982575100.000000,248089835152.000000,6668000000.000000,241421835152.000000,248089835152.000000,-27944879.000000,302060465373.000000,365815749593.000000,52016000.000000
12M 2012,,,202359152678.000000,23677781575.000000,62452027446.000000,21403717043.000000,41048310403.000000,62452027446.000000,1318310000.000000,1318310000.000000,,1318310000.000000,100544652271.000000,4450993603.000000,394802917573.000000,,,,8270616077.000000,30423508490.000000,,,,,38694124567.000000,433497042140.000000,,,42249381295.000000,9144998590.000000,,,8972942034.000000,2100000000.000000,,,2012399570.000000,2012399570.000000,20019041101.000000,42249381295.000000,19418273818.000000,,,19418273818.000000,19418273818.000000,19418273818.000000,61667655113.000000,,52016000000.000000,1982575100.000000,317858756806.000000,7168000000.000000,310690756806.000000,317858756806.000000,-27944879.000000,371829387027.000000,433497042140.000000,52016000.000000
12M 2013,,,203832669561.000000,19612208182.000000,60832254547.000000,14073674818.000000,46758579729.000000,60832254547.000000,2518425000.000000,2518425000.000000,,2518425000.000000,131686421880.000000,10339071057.000000,428821050227.000000,,,,9305876180.000000,60440970754.000000,,,,,69746846934.000000,498567897161.000000,,,63728680126.000000,11780136064.000000,,,5264974646.000000,2513000000.000000,,,6135367802.000000,6135367802.000000,38035201614.000000,63728680126.000000,19054879192.000000,,,19054879192.000000,19054879192.000000,19054879192.000000,82783559318.000000,,52016000000.000000,1954630221.000000,361813707622.000000,7668000000.000000,354145707622.000000,361813707622.000000,,415784337843.000000,498567897161.000000,52016000.000000
12M 2014,,,173492110768.000000,74907772993.000000,79221770890.000000,8341361429.000000,70880409461.000000,79221770890.000000,2581537500.000000,2581537500.000000,,2581537500.000000,152663366101.000000,5402054454.000000,488268612706.000000,,,,10227737066.000000,101606366543.000000,,,,,111834103609.000000,600102716315.000000,,,132155047433.000000,17298227668.000000,,35000000000.000000,3957069257.000000,3408000000.000000,,,6046459383.000000,6046459383.000000,66445291125.000000,132155047433.000000,23968711839.000000,,,23968711839.000000,23968711839.000000,23968711839.000000,156123759272.000000,,52016000000.000000,1954630221.000000,390008326822.000000,8168000000.000000,381840326822.000000,390008326822.000000,,443978957043.000000,600102716315.000000,52016000.000000
12M 2015,,,202395371009.000000,59999756701.000000,94307316712.000000,19613090341.000000,74694226371.000000,94307316712.000000,2554470000.000000,2554470000.000000,,2554470000.000000,147350263810.000000,1738021612.000000,508345199844.000000,,,1566018584.000000,16464124942.000000,112954807003.000000,,,,,130984950529.000000,639330150373.000000,,,133693524978.000000,14053994484.000000,997559600.000000,35000000000.000000,7946808203.000000,3415000000.000000,,,4308910316.000000,4308910316.000000,67971252375.000000,133693524978.000000,51037129224.000000,,,51037129224.000000,51037129224.000000,51037129224.000000,184730654202.000000,,52016000000.000000,1954630221.000000,400628865950.000000,8668000000.000000,391960865950.000000,400628865950.000000,,454599496171.000000,639330150373.000000,520160000.000000
12M 2016,,,209849771599.000000,64045096060.000000,107757594823.000000,22000679980.000000,85756914843.000000,107757594823.000000,2631040000.000000,2631040000.000000,,2631040000.000000,156466742733.000000,2063608794.000000,542813854009.000000,,,2246886325.000000,20358134070.000000,120394121583.000000,,,,,142999141978.000000,685812995987.000000,,,152533565561.000000,17015212979.000000,,35000000000.000000,2605541590.000000,3291400000.000000,,,8179318069.000000,8179318069.000000,86442092923.000000,152533565561.000000,62676337255.000000,,,62676337255.000000,62676337255.000000,62676337255.000000,215209902816.000000,,52016000000.000000,1954630221.000000,416632462950.000000,9168000000.000000,407464462950.000000,416632462950.000000,,470603093171.000000,685812995987.000000,520160000.000000
12M 2017,,,153660008953.000000,64548909620.000000,109192118775.000000,18712025348.000000,90480093427.000000,109192118775.000000,2976150000.000000,2976150000.000000,,2976150000.000000,168528042587.000000,4251103738.000000,503156333673.000000,,,1414924815.000000,24392114032.000000,97577993791.000000,,55396581425.000000,,,178781614063.000000,681937947736.000000,,,153806819548.000000,24718005141.000000,,35000000000.000000,3002774858.000000,320306242.000000,,,11407400609.000000,11407400609.000000,79358332698.000000,153806819548.000000,75824040171.000000,,,75824040171.000000,75824040171.000000,75824040171.000000,229630859719.000000,,52016000000.000000,1954630221.000000,398336457796.000000,9668000000.000000,388668457796.000000,398336457796.000000,,452307088017.000000,681937947736.000000,520160000.000000
