Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Usaha,Beban Umum Dan Administrasi,Beban Penjualan,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Selisih Kurs,Laba (Rugi) Atas Penjualan Aset Tetap,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Final,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,229607016136.000000,-131822701754.000000,97784314382.000000,-46790102983.000000,,-25440574439.000000,-21349528544.000000,-46790102983.000000,50994211399.000000,6066390393.000000,2782201424.000000,,4504458505.000000,94990722.000000,-1315260258.000000,6066390393.000000,57060601792.000000,-19220208746.000000,-18877210700.000000,,-342998046.000000,-19220208746.000000,37840393046.000000,,,37840393046.000000,37840393046.000000,,37840393046.000000,,,,
12M 2009,197507850435.000000,-107741935136.000000,89765915299.000000,-45670043008.000000,,-27914769413.000000,-17755273595.000000,-45670043008.000000,44095872291.000000,890076941.000000,6036466668.000000,,-4619724517.000000,228767200.000000,-755432410.000000,890076941.000000,44985949232.000000,-11372620154.000000,-11481081360.000000,,108461206.000000,-11372620154.000000,33613329078.000000,,,33613329078.000000,33613329078.000000,,33613329078.000000,,,,
12M 2010,207832622837.000000,-114901740911.000000,92930881926.000000,-45911173005.000000,,-27379425389.000000,-18531747616.000000,-45911173005.000000,47019708921.000000,3250691908.000000,6204013268.000000,,-1530926065.000000,83757452.000000,-1506152747.000000,3250691908.000000,50270400829.000000,-11639101471.000000,-12366271750.000000,,727170279.000000,-11639101471.000000,38631299358.000000,,,38631299358.000000,38631299358.000000,,38631299358.000000,,,,
12M 2011,268414285432.000000,-154386534782.000000,114027750650.000000,-55109634422.000000,,-31329727867.000000,-23779906555.000000,-55109634422.000000,58918116228.000000,8276498939.000000,7069636540.000000,,767069453.000000,340000000.000000,99792946.000000,8276498939.000000,67194615167.000000,-14659467466.000000,-15226062500.000000,,566595034.000000,-14659467466.000000,52535147701.000000,,52535147701.000000,52535147701.000000,52535147701.000000,,52535147701.000000,52535147701.000000,52535147701.000000,,52535147701.000000
12M 2012,333921950207.000000,-199169768676.000000,134752181531.000000,-66142130282.000000,-66142130282.000000,,,-66142130282.000000,68610051249.000000,35041994132.000000,7119650218.000000,,,,27922343914.000000,35041994132.000000,103652045381.000000,-18278323727.000000,-19202823250.000000,,924499523.000000,-18278323727.000000,85373721654.000000,,85373721654.000000,85373721654.000000,85373721654.000000,,85373721654.000000,85373721654.000000,85373721654.000000,,85373721654.000000
12M 2013,333674349966.000000,-196602360633.000000,137071989333.000000,-77935004606.000000,-77935004606.000000,,,-77935004606.000000,59136984727.000000,25890080349.000000,10552305240.000000,,,,15337775109.000000,25890080349.000000,85027065076.000000,-20265714260.000000,-21300974363.000000,,1035260103.000000,-20265714260.000000,64761350816.000000,,64761350816.000000,64761350816.000000,64761350816.000000,,64761350816.000000,64761350816.000000,64761350816.000000,,64761350816.000000
12M 2014,377622622150.000000,-231021913035.000000,146600709115.000000,-98361393866.000000,-98361393866.000000,,,-98361393866.000000,48239315249.000000,14618424067.000000,10595080725.000000,,,,4023343342.000000,14618424067.000000,62857739316.000000,-13856109214.000000,-14770703500.000000,-198000000.000000,1112594286.000000,-13856109214.000000,49001630102.000000,,49001630102.000000,49001630102.000000,49001630102.000000,,49001630102.000000,49001630102.000000,49001630102.000000,,49001630102.000000
12M 2015,389251192409.000000,-246976933512.000000,142274258897.000000,-104130916381.000000,-104130916381.000000,,,-104130916381.000000,38143342516.000000,20308458997.000000,8453093175.000000,,,,11855365822.000000,20308458997.000000,58451801513.000000,-12433164026.000000,-13852894250.000000,,1419730224.000000,-12433164026.000000,46018637487.000000,3453589289.000000,49472226776.000000,46018637487.000000,46018637487.000000,,46018637487.000000,49472226776.000000,49472226776.000000,,49472226776.000000
12M 2016,379137149036.000000,-224172295542.000000,154964853494.000000,-105204261055.000000,-105204261055.000000,,,-105204261055.000000,49760592439.000000,4910802259.000000,8179595283.000000,-2046041664.000000,,,-1222751360.000000,4910802259.000000,54671394698.000000,-12325977643.000000,-14374846750.000000,,2048869107.000000,-12325977643.000000,42345417055.000000,-5535420055.000000,36809997000.000000,42345417055.000000,42345417055.000000,,42345417055.000000,36809997000.000000,36809997000.000000,,36809997000.000000
12M 2017,349690796141.000000,-226264507840.000000,123426288301.000000,-109909582337.000000,-109909582337.000000,,,-109909582337.000000,13516705964.000000,6658732830.000000,7156010230.000000,-2040451387.000000,,,1543173987.000000,6658732830.000000,20175438794.000000,-10892495785.000000,-12668959693.000000,,1776463908.000000,-10892495785.000000,9282943009.000000,-6772548163.000000,2510394846.000000,9282943009.000000,9282943009.000000,,9282943009.000000,2510394846.000000,2510394846.000000,,2510394846.000000
