Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2013,0.98,1123.84,0.98,1123.84,,873 B,873 B,788 B,(338 B)
12M 2014,1.00,1148.71,1.00,1148.71,,"1,263 B","1,263 B","1,188 B",2 B
12M 2015,0.26,1242.96,0.26,1242.96,,"1,401 B","1,401 B","1,319 B",17 B
12M 2016,0.19,1572.01,0.19,1572.01,,"1,299 B","1,299 B","1,280 B",(241 B)
12M 2017,0.18,1588.20,0.18,1588.20,,"1,851 B","1,851 B","1,839 B",185 B
12M 2018,0.30,1774.31,0.30,1774.31,,"2,547 B","2,547 B","2,541 B",600 B
12M 2019,0.52,1507.23,0.52,1507.23,,"2,955 B","2,955 B",(5 B),(627 B)
12M 2020,0.68,1562.66,0.68,1562.66,,"3,560 B","3,560 B","3,559 B",(193 B)
12M 2021,0.43,1602.43,0.43,1602.43,,"3,971 B","3,971 B","3,966 B",410 B
12M 2022,0.43,1522.63,0.43,1522.63,,"4,336 B","4,336 B","4,330 B",677 B
12M 2023,0.82,1224.24,0.82,1224.24,,"4,293 B","4,293 B","4,285 B",135 B
12M 2024,0.44,1037.89,0.44,1037.89,,"4,631 B","4,631 B","4,625 B",338 B
