Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Selisih Kurs,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Others,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2013,91552000.000000,-86264000.000000,5288000.000000,-11591000.000000,-11591000.000000,,,-11591000.000000,-6303000.000000,11714000.000000,46000.000000,-3408000.000000,3649000.000000,11427000.000000,11714000.000000,5411000.000000,-1631000.000000,,-1631000.000000,,-1631000.000000,3780000.000000,-10000.000000,3770000.000000,3780000.000000,3780000.000000,,3780000.000000,3770000.000000,3770000.000000,,3770000.000000
12M 2014,109193000.000000,-91480000.000000,17713000.000000,-11964000.000000,-11964000.000000,,,-11964000.000000,5749000.000000,-4099000.000000,41000.000000,-3760000.000000,-107000.000000,-273000.000000,-4099000.000000,1650000.000000,-194000.000000,-949000.000000,755000.000000,,-194000.000000,1456000.000000,-1000.000000,1455000.000000,1456000.000000,1456000.000000,,1456000.000000,1455000.000000,1455000.000000,,1455000.000000
12M 2015,96421000.000000,-85596000.000000,10825000.000000,-10172000.000000,-10172000.000000,,,-10172000.000000,653000.000000,-3573000.000000,27000.000000,-4764000.000000,216000.000000,948000.000000,-3573000.000000,-2920000.000000,168000.000000,-833000.000000,1001000.000000,,168000.000000,-2752000.000000,399000.000000,-2353000.000000,-2752000.000000,-2752000.000000,,-2752000.000000,-2353000.000000,-2353000.000000,,-2353000.000000
12M 2016,84074000.000000,-80900000.000000,3174000.000000,-10334000.000000,,-2140000.000000,-8194000.000000,-10334000.000000,-7160000.000000,-5662000.000000,27000.000000,-5148000.000000,-3706000.000000,3165000.000000,-5662000.000000,-12822000.000000,50314000.000000,,50314000.000000,,50314000.000000,37492000.000000,-134000.000000,37358000.000000,37492000.000000,37492000.000000,,37492000.000000,37358000.000000,37358000.000000,,37358000.000000
12M 2017,123865000.000000,-107747000.000000,16118000.000000,-12130000.000000,,-3033000.000000,-9097000.000000,-12130000.000000,3988000.000000,-2076000.000000,23000.000000,-5555000.000000,-124000.000000,3580000.000000,-2076000.000000,1912000.000000,-1531000.000000,,-1531000.000000,,-1531000.000000,381000.000000,-431000.000000,-50000.000000,381000.000000,381000.000000,,381000.000000,-50000.000000,-50000.000000,,-50000.000000
12M 2018,121223000.000000,-104597000.000000,16626000.000000,-11890000.000000,,-2219000.000000,-9671000.000000,-11890000.000000,4736000.000000,-171000.000000,22000.000000,-7172000.000000,-202000.000000,7181000.000000,-171000.000000,4565000.000000,-629000.000000,,-629000.000000,,-629000.000000,3936000.000000,942000.000000,4878000.000000,3936000.000000,3936000.000000,,3936000.000000,4878000.000000,4878000.000000,,4878000.000000
12M 2019,104058000.000000,-103619000.000000,439000.000000,-12738000.000000,,-2272000.000000,-10466000.000000,-12738000.000000,-12299000.000000,-11724000.000000,28000.000000,-9142000.000000,-538000.000000,-2072000.000000,-11724000.000000,-24023000.000000,4563000.000000,,4563000.000000,,4563000.000000,-19460000.000000,-124000.000000,-19584000.000000,-19460000.000000,-19460000.000000,,-19460000.000000,-19584000.000000,-19584000.000000,,-19584000.000000
12M 2020,126023000.000000,-116104000.000000,9919000.000000,-15930000.000000,,-4990000.000000,-10940000.000000,-15930000.000000,-6011000.000000,14299000.000000,12000.000000,-9217000.000000,-1356000.000000,24860000.000000,14299000.000000,8288000.000000,-4539000.000000,,-4539000.000000,,-4539000.000000,3749000.000000,-408000.000000,3341000.000000,3749000.000000,3749000.000000,,3749000.000000,3341000.000000,3341000.000000,,3341000.000000
12M 2021,146859000.000000,-121206000.000000,25653000.000000,-14996000.000000,,-4069000.000000,-10927000.000000,-14996000.000000,10657000.000000,-9295000.000000,11000.000000,-9100000.000000,553000.000000,-759000.000000,-9295000.000000,1362000.000000,-744000.000000,,-744000.000000,,-744000.000000,618000.000000,792000.000000,1410000.000000,618000.000000,618000.000000,,618000.000000,1410000.000000,1410000.000000,,1410000.000000
12M 2022,175277000.000000,-139966000.000000,35311000.000000,-16418000.000000,,-4969000.000000,-11449000.000000,-16418000.000000,18893000.000000,-32666000.000000,10000.000000,-20285000.000000,1482000.000000,-13873000.000000,-32666000.000000,-13773000.000000,-6716000.000000,,-6716000.000000,,-6716000.000000,-20489000.000000,245000.000000,-20244000.000000,-20489000.000000,-20489000.000000,,-20489000.000000,-20244000.000000,-20244000.000000,,-20244000.000000
12M 2023,95656000.000000,-87591000.000000,8065000.000000,-14750000.000000,,-3829000.000000,-10921000.000000,-14750000.000000,-6685000.000000,-19713000.000000,10000.000000,-15550000.000000,254000.000000,-4427000.000000,-19713000.000000,-26398000.000000,643000.000000,,643000.000000,,643000.000000,-25755000.000000,256000.000000,-25499000.000000,-25755000.000000,-25755000.000000,,-25755000.000000,-25499000.000000,-25499000.000000,,-25499000.000000
12M 2024,116687000.000000,-100154000.000000,16533000.000000,-12490000.000000,,-3854000.000000,-8636000.000000,-12490000.000000,4043000.000000,-21572000.000000,17000.000000,-8602000.000000,801000.000000,-13788000.000000,-21572000.000000,-17529000.000000,-3930000.000000,,-3930000.000000,,-3930000.000000,-21459000.000000,546000.000000,-20913000.000000,-21459000.000000,-21459000.000000,,-21459000.000000,-20913000.000000,-20913000.000000,,-20913000.000000
