Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Pajak Tangguhan,Aset Tetap,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Beban Akrual,Utang Pajak,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Pihak Berelasi,Pinjaman Jangka Panjang,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2013,,,6961000.000000,39000.000000,,,,,846000.000000,7000.000000,839000.000000,846000.000000,32296000.000000,9593000.000000,49735000.000000,,,193468000.000000,78767000.000000,272235000.000000,321970000.000000,,,77409000.000000,,5328000.000000,9374000.000000,14702000.000000,6064000.000000,7183000.000000,319000.000000,49141000.000000,77409000.000000,117805000.000000,9117000.000000,71555000.000000,33653000.000000,3480000.000000,117805000.000000,195214000.000000,,334614000.000000,356098000.000000,-563942000.000000,-14000.000000,126756000.000000,321970000.000000,1375793450.000000
12M 2014,,,6071000.000000,38000.000000,,,,,339000.000000,17000.000000,322000.000000,339000.000000,31551000.000000,13877000.000000,51876000.000000,,,192684000.000000,85674000.000000,278358000.000000,330234000.000000,,,51725000.000000,,3502000.000000,10906000.000000,14408000.000000,7095000.000000,5986000.000000,763000.000000,23473000.000000,51725000.000000,150298000.000000,11922000.000000,101555000.000000,32898000.000000,3923000.000000,150298000.000000,202023000.000000,,336050000.000000,354662000.000000,-562486000.000000,-15000.000000,128211000.000000,330234000.000000,1388576166.000000
12M 2015,,,5927000.000000,35000.000000,,,,,747000.000000,63000.000000,684000.000000,747000.000000,34408000.000000,18642000.000000,59759000.000000,,,188457000.000000,85688000.000000,274145000.000000,333904000.000000,,,58499000.000000,,1875000.000000,10990000.000000,12865000.000000,6376000.000000,5344000.000000,393000.000000,33521000.000000,58499000.000000,150264000.000000,12593000.000000,101555000.000000,31658000.000000,4458000.000000,150264000.000000,208763000.000000,,336085000.000000,354627000.000000,-564969000.000000,-602000.000000,125141000.000000,333904000.000000,1388883283.000000
12M 2016,,,1356000.000000,36000.000000,,,,,3267000.000000,8000.000000,3259000.000000,3267000.000000,31433000.000000,13090000.000000,49182000.000000,,18656000.000000,182443000.000000,89147000.000000,290246000.000000,339428000.000000,,,67153000.000000,,1269000.000000,9881000.000000,11150000.000000,6250000.000000,6193000.000000,290000.000000,43270000.000000,67153000.000000,109776000.000000,7711000.000000,96655000.000000,,5410000.000000,109776000.000000,176929000.000000,,336085000.000000,354627000.000000,-527477000.000000,-736000.000000,162499000.000000,339428000.000000,1388883283.000000
12M 2017,,,886000.000000,35000.000000,,,,,1954000.000000,114000.000000,1840000.000000,1954000.000000,25505000.000000,12859000.000000,41239000.000000,,17125000.000000,178496000.000000,100725000.000000,296346000.000000,337585000.000000,,,27582000.000000,,191000.000000,8515000.000000,8706000.000000,7630000.000000,5581000.000000,476000.000000,5189000.000000,27582000.000000,147187000.000000,4291000.000000,136655000.000000,,6241000.000000,147187000.000000,174769000.000000,,336085000.000000,354994000.000000,-527096000.000000,-1167000.000000,162816000.000000,337585000.000000,1388883283.000000
12M 2018,,,362000.000000,35000.000000,,,,,1962000.000000,30000.000000,1932000.000000,1962000.000000,54309000.000000,35796000.000000,92464000.000000,,16496000.000000,185500000.000000,116765000.000000,318761000.000000,411225000.000000,,,51046000.000000,,679000.000000,27983000.000000,28662000.000000,9065000.000000,4077000.000000,259000.000000,8983000.000000,51046000.000000,190004000.000000,8418000.000000,175855000.000000,,5731000.000000,190004000.000000,241050000.000000,,336085000.000000,354994000.000000,-520679000.000000,-225000.000000,170175000.000000,411225000.000000,1388883283.000000
12M 2019,,,379000.000000,36000.000000,,,,,1519000.000000,1000.000000,1518000.000000,1519000.000000,38249000.000000,7256000.000000,47439000.000000,,21059000.000000,286524000.000000,125864000.000000,433447000.000000,480886000.000000,,,92528000.000000,,178000.000000,39662000.000000,39840000.000000,12996000.000000,3792000.000000,570000.000000,35330000.000000,92528000.000000,237767000.000000,18823000.000000,212585000.000000,,6359000.000000,237767000.000000,330295000.000000,,336085000.000000,354994000.000000,-540139000.000000,-349000.000000,150591000.000000,480886000.000000,1388883283.000000
12M 2020,,,92000.000000,35000.000000,,,,,1562000.000000,,1562000.000000,1562000.000000,28850000.000000,4257000.000000,34796000.000000,,16520000.000000,270950000.000000,142371000.000000,429841000.000000,464637000.000000,,,48482000.000000,,868000.000000,15872000.000000,16740000.000000,6086000.000000,4280000.000000,506000.000000,20870000.000000,48482000.000000,262284000.000000,2886000.000000,252420000.000000,,6978000.000000,262284000.000000,310766000.000000,,336085000.000000,354994000.000000,-536468000.000000,-740000.000000,153871000.000000,464637000.000000,1388883283.000000
12M 2021,,,312000.000000,32000.000000,3526000.000000,,3526000.000000,3526000.000000,993000.000000,7000.000000,986000.000000,993000.000000,43368000.000000,5690000.000000,53921000.000000,,15609000.000000,258339000.000000,146680000.000000,420628000.000000,474549000.000000,,,25208000.000000,,1284000.000000,12352000.000000,13636000.000000,6225000.000000,4281000.000000,800000.000000,266000.000000,25208000.000000,293466000.000000,11045000.000000,278088000.000000,,4333000.000000,293466000.000000,318674000.000000,,336085000.000000,354994000.000000,-535349000.000000,145000.000000,155875000.000000,474549000.000000,1388883283.000000
12M 2022,,,365000.000000,29000.000000,17619000.000000,,17619000.000000,17619000.000000,1476000.000000,9000.000000,1467000.000000,1476000.000000,36853000.000000,12221000.000000,68563000.000000,,8893000.000000,246788000.000000,143558000.000000,399239000.000000,467802000.000000,,,25135000.000000,,540000.000000,12530000.000000,13070000.000000,6637000.000000,3734000.000000,1577000.000000,117000.000000,25135000.000000,307036000.000000,25282000.000000,278088000.000000,,3666000.000000,307036000.000000,332171000.000000,,336085000.000000,354994000.000000,-555838000.000000,390000.000000,135631000.000000,467802000.000000,1388883283.000000
