Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2015,(25 B),(0 B),(25 B),-330.27
12M 2016,30 B,,30 B,399.99
12M 2017,4 B,,4 B,56.95
12M 2018,5 B,,5 B,71.07
12M 2019,5 B,,5 B,68.25
