Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2015,0.6,0.36,1.61,3.49,0.0,0.0,1.59,0.46,1.65
12M 2016,0.65,0.39,1.38,3.26,0.0,0.0,1.35,0.42,1.42
12M 2017,0.74,0.43,1.34,3.19,0.0,0.0,1.31,0.42,1.36
12M 2018,0.85,0.47,1.28,3.13,0.0,0.0,1.27,0.41,1.3
12M 2019,0.97,0.56,1.25,3.1,0.0,0.0,1.23,0.4,1.27
