Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Kas Kepada Karyawan,Penerimaan (Pembayaran) Operasi Lain-Lain,Penerimaan Jasa Giro,Pembayaran Beban Bunga Dan Administrasi Bank,Pembayaran Pajak Penghasilan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Penurunan Uang Muka,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Tambahan Modal Disetor,Penambahan Utang Bank Dan Lembaga Keuangan Lainnya,Pembayaran Utang Bank Dan Lembaga Keuangan Lainnya,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2015,-24744623459.000000,112522926306.000000,-96932666615.000000,-4744664907.000000,-769007993.000000,25860889.000000,-30779722250.000000,-4067348889.000000,-24744623459.000000,-164816000.000000,-164816000.000000,,-164816000.000000,23075471118.000000,,33075471118.000000,-10000000000.000000,23075471118.000000,-1833968341.000000,3950247926.000000,2116279585.000000
12M 2016,30168393183.000000,105817991852.000000,-46940184484.000000,-5294880198.000000,2047731603.000000,25580011.000000,-24571993369.000000,-915852232.000000,30168393183.000000,,,,,-29093029819.000000,235000000.000000,,-29328029819.000000,-29093029819.000000,1075363364.000000,2116279585.000000,3191642949.000000
12M 2017,4295116078.000000,99834067299.000000,-59558842222.000000,-10026716536.000000,158082666.000000,28286766.000000,-25533024512.000000,-606737383.000000,4295116078.000000,,,,,-4756266163.000000,,,-4756266163.000000,-4756266163.000000,-461150085.000000,3191642949.000000,2730492864.000000
12M 2018,5360499842.000000,99963866800.000000,-66055524156.000000,-2455664161.000000,1942441018.000000,17789930.000000,-25911411506.000000,-2140998083.000000,5360499842.000000,,,,,-6949305298.000000,,,-6949305298.000000,-6949305298.000000,-1588805456.000000,2730492864.000000,1141687408.000000
12M 2019,5147594606.000000,103443661826.000000,-71065701145.000000,-4807770172.000000,2220230528.000000,14894891.000000,-24398796728.000000,-258924594.000000,5147594606.000000,,,,,-3529124842.000000,,,-3529124842.000000,-3529124842.000000,1618469764.000000,1141687408.000000,2760157172.000000
