Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Aset Tak Berwujud,Piutang Pihak Berelasi,Piutang Lain-Lain,Aset Pajak Tangguhan,Properti Pertambangan,Investasi Pada Entitas Asosiasi,Aset Eksplorasi Dan Evaluasi,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Ketiga,Total Utang Usaha,Utang Bank Jangka Pendek,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Beban Akrual,Surat Berharga Jangka Menengah,Utang Pajak,Liabilitas Keuangan Lainnya,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Pembiayaan Konsumen,Utang Sewa Pembiayaan,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Utang Usaha,Pihak Ketiga,Total Utang Usaha,Liabilitas Pajak Tangguhan,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Pembiayaan Konsumen,Utang Sewa Pembiayaan,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Pihak Berelasi,Surat Berharga Jangka Menengah,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2011,,,154532966900.000000,,14412342432.000000,14412342432.000000,,14412342432.000000,6937046345.000000,6937046345.000000,,6937046345.000000,2956344638.000000,1859448722.000000,180698149037.000000,,98319637638.000000,,,,13026733531.000000,,,92980647377.000000,853900.000000,204327872446.000000,385026021483.000000,,,22902567274.000000,,1982624860.000000,1982624860.000000,,,979846331.000000,117532000.000000,1097378331.000000,4569252175.000000,,,,,,3868850138.000000,11384461770.000000,,15253311908.000000,,22902567274.000000,24645374783.000000,,,,,,,,,,,7474539725.000000,14352912323.000000,,21827452048.000000,,,2817922735.000000,24645374783.000000,47547942057.000000,,150000000000.000000,238377200967.000000,-22131024534.000000,222434152.000000,-28990531159.000000,337478079426.000000,385026021483.000000,1500000000.000000
12M 2012,,,19444977185.000000,,3230441732.000000,3230441732.000000,,3230441732.000000,210547456.000000,116729532.000000,93817924.000000,210547456.000000,4915669759.000000,100479944540.000000,128281580672.000000,,86462943338.000000,,,,135740448.000000,8929211438.000000,,83428663467.000000,310070214.000000,179266628905.000000,307548209577.000000,,,21399371920.000000,,1016986318.000000,1016986318.000000,,,,57068775.000000,57068775.000000,4219797226.000000,,846167738.000000,,,,4346689184.000000,10559862679.000000,,14906551863.000000,352800000.000000,21399371920.000000,14386130943.000000,,,,,,,,2000508656.000000,,,3242932999.000000,3839515924.000000,,7082448923.000000,,,5303173364.000000,14386130943.000000,35785502863.000000,,150000000000.000000,209386669808.000000,-87791837099.000000,167874005.000000,,271762706714.000000,307548209577.000000,1500000000.000000
12M 2013,,,2029645139.000000,,,,,,141757451.000000,111381682.000000,30375769.000000,141757451.000000,1559227627.000000,87851645898.000000,91582276115.000000,,61726617885.000000,,,,,7583444086.000000,,83702279167.000000,402127114.000000,153414468252.000000,244996744367.000000,,,11247618931.000000,,760973632.000000,760973632.000000,,,,25510998.000000,25510998.000000,2675209517.000000,,846758717.000000,,,,3233185328.000000,3665242239.000000,,6898427567.000000,40738500.000000,11247618931.000000,7535281649.000000,,,,,,,,2144908881.000000,,,9747671.000000,,,9747671.000000,,,5380625097.000000,7535281649.000000,18782900580.000000,,150000000000.000000,209386669808.000000,-133300073339.000000,127247318.000000,,226213843787.000000,244996744367.000000,1500000000.000000
12M 2014,,,2946546.000000,1631125.000000,22833228.000000,22833228.000000,,22833228.000000,371533.000000,,371533.000000,371533.000000,3169070.000000,21143434.000000,52094936.000000,,82569179.000000,40473151.000000,,,38031.000000,,,30961632.000000,4886611.000000,158928604.000000,211023540.000000,,,29459125.000000,,7790888.000000,7790888.000000,1500000.000000,,,784629.000000,784629.000000,759314.000000,,160105.000000,,,13883336.000000,,4577482.000000,,18460818.000000,3371.000000,29459125.000000,76188295.000000,,,,,,,,12944189.000000,,41250000.000000,,19979264.000000,,61229264.000000,,,2014842.000000,76188295.000000,105647420.000000,,106551809.000000,23116016.000000,-16494831.000000,-3024.000000,-7793850.000000,105376120.000000,211023540.000000,12000000000.000000
12M 2015,,,1679988.000000,1470910.000000,19448787.000000,19448787.000000,,19448787.000000,18036016.000000,18022098.000000,13918.000000,18036016.000000,2628137.000000,14773999.000000,58037837.000000,,66012497.000000,35425602.000000,,,35055.000000,,,29520483.000000,3114564.000000,134108201.000000,192146038.000000,,,86039118.000000,,7902380.000000,7902380.000000,7225239.000000,,233793.000000,307972.000000,541765.000000,3155983.000000,,61000.000000,,,54600000.000000,,12552751.000000,,67152751.000000,,86039118.000000,16554285.000000,,,,,,,,10398134.000000,,,,4928818.000000,,4928818.000000,,,1227333.000000,16554285.000000,102593403.000000,,110469517.000000,25074870.000000,-35866677.000000,-8936.000000,-10116139.000000,89552635.000000,192146038.000000,12499385782.000000
12M 2016,,,815861.000000,1510211.000000,17057771.000000,17057771.000000,,17057771.000000,20212095.000000,3746007.000000,16466088.000000,20212095.000000,2861610.000000,6213795.000000,48671343.000000,,59265502.000000,30368275.000000,,12191128.000000,,,,29622710.000000,306214.000000,131753829.000000,180425172.000000,,,30172648.000000,,13377675.000000,13377675.000000,1100000.000000,,,464005.000000,464005.000000,672376.000000,,104516.000000,,,7175822.000000,,7278254.000000,,14454076.000000,,30172648.000000,76823158.000000,4251269.000000,,,4251269.000000,,,,9103485.000000,,61594363.000000,,371532.000000,,61965895.000000,,,1502509.000000,76823158.000000,106995806.000000,,110469517.000000,25074870.000000,-52597854.000000,-6802.000000,-9510365.000000,73429366.000000,180425172.000000,12499385782.000000
12M 2017,,,3129349.000000,1497727.000000,14614366.000000,14614366.000000,,14614366.000000,3539117.000000,627398.000000,2911719.000000,3539117.000000,3280649.000000,6613348.000000,32674556.000000,,49304279.000000,25958644.000000,,12090419.000000,,,,29637786.000000,229423.000000,117220551.000000,149895107.000000,,,29519610.000000,,10263293.000000,10263293.000000,550000.000000,,,571269.000000,571269.000000,798190.000000,,66616.000000,8370253.000000,,8155716.000000,16611.000000,727662.000000,,8899989.000000,,29519610.000000,44777163.000000,52036.000000,,,52036.000000,,,,5688516.000000,,6279858.000000,19914.000000,1218848.000000,,7518620.000000,29487610.000000,,2030381.000000,44777163.000000,74296773.000000,,110469517.000000,25074870.000000,-50248077.000000,-4460.000000,-9693516.000000,75598334.000000,149895107.000000,12499385782.000000
12M 2018,,,92420934299.000000,,129009307420.000000,112932914982.000000,16076392438.000000,129009307420.000000,156613761224.000000,135349053.000000,156478412171.000000,156613761224.000000,23323688336.000000,101537972258.000000,502905663537.000000,,676565494536.000000,304496824601.000000,,,,,21037010573.000000,401648680004.000000,1733174997.000000,1405481184711.000000,1908386848248.000000,,,216453725247.000000,,97314037236.000000,97314037236.000000,2172150000.000000,,2812500000.000000,6516405619.000000,9328905619.000000,13429224364.000000,,1184454181.000000,10000000000.000000,,27376205819.000000,21776912.000000,55626971116.000000,,83024953847.000000,,216453725247.000000,733714549887.000000,,24187500000.000000,704983728.000000,24892483728.000000,,,,64757356325.000000,,150203648722.000000,248018643.000000,66834516145.000000,,217286183510.000000,,399598512712.000000,27180013612.000000,733714549887.000000,950168275134.000000,,1249938578200.000000,259878346851.000000,-551372601652.000000,-210226850.000000,-15523435.000000,958218573114.000000,1908386848248.000000,12499385782.000000
12M 2019,,,6539376097.000000,,85124811284.000000,28245955064.000000,56878856220.000000,85124811284.000000,56964597147.000000,134621393.000000,56829975754.000000,56964597147.000000,16237906601.000000,101556222050.000000,266422913179.000000,,622187283075.000000,277894889067.000000,,85302128723.000000,,,21032753253.000000,401648680004.000000,1082020000.000000,1409147754122.000000,1675570667301.000000,,,233400194285.000000,,63478138439.000000,63478138439.000000,,,6750000000.000000,10232485163.000000,16982485163.000000,8555814109.000000,,977221058.000000,,,48174775416.000000,21776912.000000,95209983188.000000,,143406535516.000000,,233400194285.000000,668369934974.000000,,19125000000.000000,704983728.000000,19829983728.000000,,,,68161887093.000000,,95300520068.000000,,54437331024.000000,,149737851092.000000,,399698884504.000000,30941328557.000000,668369934974.000000,901770129259.000000,,1249938578200.000000,259878346851.000000,-735786811115.000000,-214052459.000000,-15523435.000000,773800538042.000000,1675570667301.000000,12499385782.000000
12M 2020,,,20834509973.000000,,54086628831.000000,22176535861.000000,31910092970.000000,54086628831.000000,9633880504.000000,107598868.000000,9526281636.000000,9633880504.000000,18372037498.000000,52112472947.000000,155039529753.000000,,430654381123.000000,279160594572.000000,,,,,21032436453.000000,401648680004.000000,1082020000.000000,1133578112152.000000,1288617641905.000000,,,327120710729.000000,,81165138945.000000,81165138945.000000,,,6750000000.000000,18383042623.000000,25133042623.000000,20910506510.000000,,1383296945.000000,,,145580876209.000000,,,52947849497.000000,198528725706.000000,,327120710729.000000,514285331237.000000,,10125000000.000000,704986920.000000,10829986920.000000,,,,46311358029.000000,,,,,14563315791.000000,14563315791.000000,,399799256296.000000,42781414201.000000,514285331237.000000,841406041966.000000,,1249938578200.000000,259878346851.000000,-1062365679365.000000,-224122312.000000,-15523435.000000,447211599939.000000,1288617641905.000000,12499385782.000000
