Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Beban Penjualan,Beban Eksplorasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Bagian Atas Hasil Bersih Entitas Asosiasi,Beban Keuangan,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Operasi Yang Dihentikan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2011,61080984908.000000,-60153624927.000000,927359981.000000,-18892808854.000000,-21321355680.000000,-166176500.000000,-50719500.000000,2645442826.000000,-18892808854.000000,-17965448873.000000,-8288967297.000000,471838233.000000,,-8760805530.000000,-8288967297.000000,-26254416170.000000,5395123668.000000,,,5395123668.000000,-20859292502.000000,,-20859292502.000000,,,,-20859292502.000000,-20859292502.000000,-20840781329.000000,-18511173.000000,-20859292502.000000,-20859292502.000000,-20840781329.000000,-18511173.000000,-20859292502.000000
12M 2012,42162803343.000000,-60535889488.000000,-18373086145.000000,-29530210497.000000,-23268244090.000000,-4902444128.000000,-9743000.000000,-1349779279.000000,-29530210497.000000,-47903296642.000000,-2920574332.000000,1314377091.000000,,-4234951423.000000,-2920574332.000000,-50823870974.000000,-14891501738.000000,,,-14891501738.000000,-65715372712.000000,,-65715372712.000000,,,,-65715372712.000000,-65715372712.000000,-65660812565.000000,-54560147.000000,-65715372712.000000,-65715372712.000000,-65660812565.000000,-54560147.000000,-65715372712.000000
12M 2013,9297472200.000000,-31634733226.000000,-22337261026.000000,-20931410645.000000,-18716095354.000000,-354891330.000000,,-1860423961.000000,-20931410645.000000,-43268671671.000000,-1991050583.000000,,,-1991050583.000000,-1991050583.000000,-45259722254.000000,-289140673.000000,,,-289140673.000000,-45548862927.000000,,-45548862927.000000,,,,-45548862927.000000,-45548862927.000000,-45508236240.000000,-40626687.000000,-45548862927.000000,-45548862927.000000,-45508236240.000000,-40626687.000000,-45548862927.000000
12M 2014,27691434.000000,-21230307.000000,6461127.000000,-6099044.000000,-4988480.000000,,,-1110564.000000,-6099044.000000,362083.000000,-2160586.000000,,,-2160586.000000,-2160586.000000,-1798503.000000,700662.000000,,,700662.000000,-1097841.000000,-1694144.000000,-2791985.000000,116000.000000,116000.000000,116000.000000,-2675985.000000,-2791985.000000,-2792003.000000,18.000000,-2791985.000000,-2675985.000000,-2676002.000000,17.000000,-2675985.000000
12M 2015,39304278.000000,-37374582.000000,1929696.000000,-19371802.000000,-15765996.000000,,,-3605806.000000,-19371802.000000,-17442106.000000,-4640817.000000,,,-4640817.000000,-4640817.000000,-22082923.000000,2586421.000000,,,2586421.000000,-19496502.000000,,-19496502.000000,-2823795.000000,-2823795.000000,-2823795.000000,-22320297.000000,-19496502.000000,-19490591.000000,-5911.000000,-19496502.000000,-22320297.000000,-22314386.000000,-5911.000000,-22320297.000000
12M 2016,43022629.000000,-40897845.000000,2124784.000000,-15337960.000000,-12442094.000000,,,-2895866.000000,-15337960.000000,-13213176.000000,-4862884.000000,,,-4862884.000000,-4862884.000000,-18076060.000000,1280138.000000,,,1280138.000000,-16795922.000000,,-16795922.000000,672653.000000,672653.000000,672653.000000,-16123269.000000,-16795922.000000,-16796682.000000,760.000000,-16795922.000000,-16123269.000000,-16124029.000000,760.000000,-16123269.000000
12M 2017,55324434.000000,-49037995.000000,6286439.000000,-5280428.000000,-10651966.000000,,,5371538.000000,-5280428.000000,1006011.000000,-1992386.000000,,,-1992386.000000,-1992386.000000,-986375.000000,3395850.000000,,,3395850.000000,2409475.000000,,2409475.000000,-240507.000000,-240507.000000,-240507.000000,2168968.000000,2409475.000000,2407133.000000,2342.000000,2409475.000000,2168968.000000,2166626.000000,2342.000000,2168968.000000
12M 2018,850640883028.000000,-723818187269.000000,126822695759.000000,-137060575471.000000,-130890651096.000000,,,-6169924375.000000,-137060575471.000000,-10237879712.000000,-72826333298.000000,,-1127989427.000000,-71698343871.000000,-72826333298.000000,-83064213010.000000,13502140242.000000,,,13502140242.000000,-69562072768.000000,,-69562072768.000000,3574445397.000000,3574445397.000000,3574445397.000000,-65987627371.000000,-69562072768.000000,-69559421561.000000,-2651207.000000,-69562072768.000000,-65987627371.000000,-65985009038.000000,-2618333.000000,-65987627371.000000
12M 2019,699201691680.000000,-679621462411.000000,19580229269.000000,-131034430287.000000,-123200418608.000000,,,-7834011679.000000,-131034430287.000000,-111454201018.000000,-73387921161.000000,,-4257320.000000,-73383663841.000000,-73387921161.000000,-184842122179.000000,-2447376299.000000,,,-2447376299.000000,-187289498478.000000,,-187289498478.000000,2871463406.000000,2871463406.000000,2871463406.000000,-184418035072.000000,-187289498478.000000,-187285646460.000000,-3852018.000000,-187289498478.000000,-184418035072.000000,-184414209463.000000,-3825609.000000,-184418035072.000000
12M 2020,492381856241.000000,-555790563336.000000,-63408707095.000000,-209999641149.000000,-86832659196.000000,,,-123166981953.000000,-209999641149.000000,-273408348244.000000,-69203746166.000000,,-316800.000000,-69203429366.000000,-69203746166.000000,-342612094410.000000,20507121095.000000,,,20507121095.000000,-322104973315.000000,,-322104973315.000000,-4762991892.000000,-4762991892.000000,-4762991892.000000,-326867965207.000000,-322104973315.000000,-322094947267.000000,-10026048.000000,-322104973315.000000,-326867965207.000000,-326857895354.000000,-10069853.000000,-326867965207.000000
