Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2020,0.90 B,1.70,0.00,0.00,,6.38%,8.90%,15.47%,10.11
12M 2021,0.95 B,4.12,27.67,5.34,,11.87%,15.17%,18.02%,70.31
12M 2022,0.95 B,4.97,22.74,4.13,,12.07%,15.44%,15.55%,1548.69
12M 2023,0.95 B,3.12,32.69,3.36,,6.64%,8.85%,7.69%,
12M 2024,0.95 B,0.49,197.96,2.06,,0.95%,1.32%,3.70%,
