Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Final,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2020,16101328277.000000,-2569184444.000000,13532143833.000000,-11922367695.000000,-11922367695.000000,-11922367695.000000,1609776138.000000,485597697.000000,326780916.000000,-159251863.000000,318068644.000000,485597697.000000,2095373835.000000,-562823259.000000,-850429199.000000,,287605940.000000,-562823259.000000,1532550576.000000,,1532550576.000000,-41375910.000000,1491174666.000000,1532550576.000000,1532550576.000000,,1532550576.000000,1491174666.000000,1491174666.000000,,1491174666.000000
12M 2021,20278257636.000000,-3373778988.000000,16904478648.000000,-12293227047.000000,-12293227047.000000,-12293227047.000000,4611251601.000000,402954510.000000,357347367.000000,-65582968.000000,111190111.000000,402954510.000000,5014206111.000000,-1103089305.000000,-1253083545.000000,,149994240.000000,-1103089305.000000,3911116806.000000,,3911116806.000000,-27363960.000000,3883752846.000000,3911116806.000000,3911116806.000000,,3911116806.000000,3883752846.000000,3883752846.000000,,3883752846.000000
12M 2022,26000934247.000000,-5094675091.000000,20906259156.000000,-15729088752.000000,-15729088752.000000,-15729088752.000000,5177170404.000000,950657950.000000,463170911.000000,-3342936.000000,490829975.000000,950657950.000000,6127828354.000000,-1411260574.000000,-1775191834.000000,,363931260.000000,-1411260574.000000,4716567780.000000,,4716567780.000000,42865680.000000,4759433460.000000,4716567780.000000,4716567780.000000,,4716567780.000000,4759433460.000000,4759433460.000000,,4759433460.000000
12M 2023,28793867081.000000,-7635505509.000000,21158361572.000000,-18172312875.000000,-18172312875.000000,-18172312875.000000,2986048697.000000,962456080.000000,675168822.000000,,287287258.000000,962456080.000000,3948504777.000000,-1095609143.000000,-1382556903.000000,,286947760.000000,-1095609143.000000,2852895634.000000,,2852895634.000000,-55647540.000000,2797248094.000000,2852895634.000000,2960731743.000000,-107836109.000000,2852895634.000000,2797248094.000000,2905084203.000000,-107836109.000000,2797248094.000000
12M 2024,44704983641.000000,-18794671429.000000,25910312212.000000,-24324566060.000000,-24324566060.000000,-24324566060.000000,1585746152.000000,-374605667.000000,496621267.000000,,-871226934.000000,-374605667.000000,1211140485.000000,-749220102.000000,-1051358457.000000,-21048245.000000,323186600.000000,-749220102.000000,461920383.000000,,461920383.000000,974175540.000000,1436095923.000000,461920384.000000,461253568.000000,666816.000000,461920384.000000,1436095924.000000,1436095924.000000,,1436095924.000000
