Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Goodwill,Aset Tak Berwujud,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Beban Akrual,Utang Pajak,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2020,,,16618182777.000000,457784027.000000,,457784027.000000,457784027.000000,,,,,705557296.000000,17781524100.000000,,5715862204.000000,,11445182.000000,524925280.000000,,6252232666.000000,24033756766.000000,,,3220367114.000000,,,197093357.000000,197093357.000000,,,96076159.000000,96076159.000000,51283318.000000,744276632.000000,,734094900.000000,734094900.000000,1397542748.000000,3220367114.000000,3593509845.000000,,183523725.000000,183523725.000000,3409986120.000000,3593509845.000000,6813876959.000000,,9000000000.000000,17500000000.000000,-9436844033.000000,,156723840.000000,17219879807.000000,24033756766.000000,900000000.000000
12M 2021,,,25317191299.000000,78426176.000000,,78426176.000000,78426176.000000,,,,,108771635.000000,25504389110.000000,,6770150579.000000,,,682637560.000000,,7452788139.000000,32957177249.000000,,,2581961643.000000,,,207851320.000000,207851320.000000,,,49467329.000000,49467329.000000,22334880.000000,712941641.000000,,183523725.000000,183523725.000000,1405842748.000000,2581961643.000000,4592025706.000000,,,,4592025706.000000,4592025706.000000,7173987349.000000,,9498685000.000000,21680872247.000000,-5525727227.000000,,129359880.000000,25783189900.000000,32957177249.000000,949868500.000000
12M 2022,,,30056999568.000000,1638690838.000000,,1638690838.000000,1638690838.000000,,,,,236132063.000000,31931822469.000000,,6122223990.000000,,,1034478500.000000,,7156702490.000000,39088524959.000000,,,2862662987.000000,,,127219315.000000,127219315.000000,,,116078791.000000,116078791.000000,57550849.000000,1294031284.000000,,,,1267782748.000000,2862662987.000000,5683238613.000000,,,,5683238613.000000,5683238613.000000,8545901600.000000,,9498685000.000000,21680872247.000000,-809159448.000000,,172225560.000000,30542623359.000000,39088524959.000000,949868500.000000
12M 2023,,,31001411447.000000,2662197249.000000,,2662197249.000000,2662197249.000000,,,,,467086714.000000,34130695410.000000,,6021692030.000000,1089240733.000000,,1337121720.000000,1977640125.000000,10425694608.000000,44556390018.000000,,,3117727613.000000,,,37690786.000000,37690786.000000,,,770962976.000000,770962976.000000,94085462.000000,662068141.000000,,,,1552920248.000000,3117727613.000000,6707411016.000000,,,,6707411016.000000,6707411016.000000,9825138629.000000,,9498685000.000000,21680872247.000000,2151572295.000000,1283543827.000000,116578020.000000,34731251389.000000,44556390018.000000,949868500.000000
12M 2024,,,23004721304.000000,3138966549.000000,,3138966549.000000,3138966549.000000,76708254.000000,,76708254.000000,76708254.000000,732056914.000000,26952453021.000000,,5216500383.000000,12251542416.000000,,1385540860.000000,2671375099.000000,21524958758.000000,48477411779.000000,,,4192537094.000000,,,18611850.000000,18611850.000000,,,1923725973.000000,1923725973.000000,79997999.000000,615908524.000000,,,,1554292748.000000,4192537094.000000,6642001934.000000,,,,6642001934.000000,6642001934.000000,10834539028.000000,,9498685000.000000,21680872247.000000,2747511661.000000,2625050283.000000,1090753560.000000,37642872751.000000,48477411779.000000,949868500.000000
