Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Penerimaan (Pembayaran) Kas Operasional Lainnya,Pembayaran Pajak,Pembayaran Bunga,Penerimaan Bunga,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Dari Pengalihan Properti Investasi,Penerimaan Dari Pengalihan Aset Tetap,Penerimaan Dari Pelepasan Aset Tetap,Perolehan Aset Hak Guna,Akuisisi Entitas Anak Setelah Dikurangi Kas Yang Diperoleh,Perolehan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penambahan Modal Disetor,Pembayaran Utang Bank,Pembayaran Biaya Emisi,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Dari Akuisisi Entitas Anak,Kas Dan Setara Kas Akhir Periode
12M 2020,2947704399.000000,15682921134.000000,-6951929790.000000,-6398134904.000000,1522027698.000000,-1074708792.000000,-159251863.000000,326780916.000000,2947704399.000000,8181660488.000000,8267937488.000000,,,,,-86277000.000000,8181660488.000000,-734094900.000000,,-734094900.000000,,-734094900.000000,10395269987.000000,6222912790.000000,,16618182777.000000
12M 2021,6265078985.000000,21131081075.000000,-8678982585.000000,-6843886257.000000,442064814.000000,-76962461.000000,-65582968.000000,357347367.000000,6265078985.000000,-1511532810.000000,,131818182.000000,,,,-1643350992.000000,-1511532810.000000,3945462347.000000,5709220000.000000,-734094900.000000,-1029662753.000000,3945462347.000000,8699008522.000000,16618182777.000000,,25317191299.000000
12M 2022,5083165646.000000,23794545492.000000,-11975626591.000000,-7417373346.000000,581759522.000000,-359967406.000000,-3342936.000000,463170911.000000,5083165646.000000,-159833652.000000,,91891892.000000,,,,-251725544.000000,-159833652.000000,-183523725.000000,,-183523725.000000,,-183523725.000000,4739808269.000000,25317191299.000000,,30056999568.000000
12M 2023,3728380667.000000,27704019573.000000,-16582381439.000000,-8006980910.000000,684234236.000000,-745679615.000000,,675168822.000000,3728380667.000000,-2783968787.000000,,,,-2130576000.000000,197305366.000000,-850698153.000000,-2783968787.000000,,,,,,944411880.000000,30056999568.000000,,31001411448.000000
12M 2024,2869622081.000000,43960561512.000000,-30961251030.000000,-10037466072.000000,392567568.000000,-981411164.000000,,496621267.000000,2869622081.000000,-12022312223.000000,,,15891081.000000,-1538386885.000000,-10134701699.000000,-365114720.000000,-12022312223.000000,1156000000.000000,1156000000.000000,,,1156000000.000000,-7996690142.000000,31001411447.000000,,23004721305.000000
