Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2020,3 B,(0 B),3 B,3.18
12M 2021,6 B,(2 B),5 B,4.87
12M 2022,5 B,(0 B),5 B,5.09
12M 2023,4 B,(1 B),3 B,3.03
12M 2024,3 B,(0 B),3 B,2.64
