Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Penerimaan Bunga,Penerimaan Lain-Lain,Pembayaran Kepada Pemasok,Pembayaran Beban Operasi,Pembayaran Kas Kepada Karyawan,Pembayaran Pajak,Pembayaran Bunga,Pembayaran Beban-Beban,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Uang Muka Pembelian Aset Tetap,Penambahan Investasi,Perolehan Hak Guna Usaha,Akuisisi Dan Penambahan Kepemilikan Saham Di Entitas Anak,Hasil Penjualan Aset Tetap,Penerimaan Dari Pelepasan Investasi,Delisting Atas Agio Saham Entitas Anak Ape,Investasi Saham,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penambahan Utang Sewa Pembiayaan,Pembayaran Utang Pembelian Aset Tetap,Pembayaran Liabilitas Sewa,Penambahan Utang Lain-Lain Pihak Berelasi,Pembayaran Utang Lain-Lain Pihak Berelasi,Penerimaan Utang Lain-Lain,Pembayaran Utang Lain-Lain,Penerimaan Utang Pihak Berelasi,Pembayaran Utang Pihak Berelasi,Pembayaran Utang Pemegang Saham,Pembayaran Biaya Emisi Saham,Penerimaan Dari Penerbitan Saham Biasa,Penerimaan Dari Lembaga Pembiayaan,Penerimaan Utang Bank,Penerimaan Utang Bank Jangka Pendek,Penerimaan Utang Bank Jangka Panjang,Total Penerimaan Utang Bank,Pembayaran Utang Bank,Pembayaran Utang Bank Jangka Pendek,Pembayaran Utang Bank Jangka Panjang,Total Pembayaran Utang Bank,Pembayaran Dividen,Penambahan Modal Dividen Tunai,Penempatan Deposito Jaminan,Penerimaan Dari Penerbitan Waran,Penerimaan Neto Penawaran Umum Perdana,Tambahan Setoran Modal,Total Arus Kas Dari Aktivitas Pendanaan,Adjustment,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2021,-12117086686.000000,2852015210085.000000,,,-2790062480671.000000,,-20052755827.000000,-41315619075.000000,,-12701441198.000000,,-12117086686.000000,-1730063855.000000,-8131763855.000000,,-1225000000.000000,,,7626700000.000000,,,,-1730063855.000000,-10997992927.000000,,,,,,77457713163.000000,-128796387717.000000,22118262971.000000,,,,,,38000000000.000000,,,38000000000.000000,-19777581344.000000,,,-19777581344.000000,,,,,,,-10997992927.000000,,-19959958349.000000,,157492107093.000000,137532148744.000000
12M 2022,395509979490.000000,6230336025277.000000,,,-5687154595960.000000,,-42523277120.000000,-92173368040.000000,,-12974804667.000000,,395509979490.000000,-238430511719.000000,-64966664583.000000,-173511380470.000000,,,,47533334.000000,,,,-238430511719.000000,18482713224.000000,,,,,,16851696810.000000,-8913806798.000000,,-2000000000.000000,,,,,60046426846.000000,,,60046426846.000000,-47501603634.000000,,,-47501603634.000000,,,,,,,18482713224.000000,,179498141585.000000,,137532148744.000000,317030290329.000000
12M 2023,336681513547.000000,7541505319449.000000,,,-6979693067134.000000,,-124833169272.000000,-72376778287.000000,,-27920791209.000000,,336681513547.000000,-1329973063272.000000,-1178702341344.000000,-122851206663.000000,-29251875000.000000,,,,832359735.000000,,,-1329973063272.000000,1113229443310.000000,,,,,,50640349614.000000,-20511275547.000000,18426906889.000000,,,,,,1257862132061.000000,,,1257862132061.000000,-103878669707.000000,,,-103878669707.000000,-90000000000.000000,,,,,690000000.000000,1113229443310.000000,,124810634436.000000,-26690379995.000000,317030290329.000000,415150544770.000000
12M 2024,33108862738.000000,9303572297751.000000,,,-8821335437818.000000,,-221139584138.000000,-132742946661.000000,,-95245466396.000000,,33108862738.000000,-665617086055.000000,-59534315642.000000,-611089827913.000000,,,,3084200003.000000,1922857497.000000,,,-665617086055.000000,949619096665.000000,,,,,,,-10264030512.000000,7994767586.000000,-20805830995.000000,,,,,833458780030.000000,,,833458780030.000000,-124764589444.000000,,,-124764589444.000000,,,,,264000000000.000000,,949619096665.000000,-2.000000,322373161594.000000,-3333100583.000000,415150544770.000000,734190605781.000000
