Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Usaha,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2021,2989591385215.000000,-2743775436829.000000,245815948386.000000,-30318659309.000000,,-30318659309.000000,,,-30318659309.000000,215497289077.000000,-22076105599.000000,-22076105599.000000,-22076105599.000000,193421183478.000000,-38288022018.000000,,,-38288022018.000000,155133161460.000000,46381031.000000,46381031.000000,46381031.000000,155179542491.000000,155133161459.000000,154963664639.000000,169496820.000000,155133161459.000000,155179542491.000000,155010045671.000000,169496820.000000,155179542491.000000
12M 2022,6485090003427.000000,-5950909026101.000000,534180977326.000000,-43504998041.000000,,-43504998041.000000,,,-43504998041.000000,490675979285.000000,-27309565761.000000,-27309565761.000000,-27309565761.000000,463366413524.000000,-80374105442.000000,,,-80374105442.000000,382992308082.000000,-191578970.000000,-191578970.000000,-191578970.000000,382800729112.000000,382992308082.000000,379915541972.000000,3076766110.000000,382992308082.000000,382800729112.000000,379723963002.000000,3076766110.000000,382800729112.000000
12M 2023,7662044334841.000000,-7058067912304.000000,603976422537.000000,-145467674456.000000,,-145467674456.000000,,,-145467674456.000000,458508748081.000000,-42996945371.000000,-42996945371.000000,-42996945371.000000,415511802710.000000,-59096636504.000000,,,-59096636504.000000,356415166206.000000,-475695285.000000,-475695285.000000,-475695285.000000,355939470921.000000,356415166206.000000,313257848170.000000,43157318036.000000,356415166206.000000,355939470921.000000,312782152885.000000,43157318036.000000,355939470921.000000
12M 2024,10134583276734.000000,-9106373351899.000000,1028209924835.000000,-155934328847.000000,,-155934328847.000000,,,-155934328847.000000,872275595988.000000,-154018591596.000000,-154018591596.000000,-154018591596.000000,718257004392.000000,-109379995832.000000,,,-109379995832.000000,608877008560.000000,-172521159.000000,-172521159.000000,-172521159.000000,608704487401.000000,608877008560.000000,455402220751.000000,153474787809.000000,608877008560.000000,608704487401.000000,455229699592.000000,153474787809.000000,608704487401.000000
