Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Piutang Retensi,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Investasi Pada Entitas Asosiasi,Aset Tetap,Goodwill,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Utang Lain-Lain,Beban Akrual,Utang Pihak Berelasi,Utang Pembelian Aset Tetap,Utang Bank,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Bank,Utang Lain-Lain,Pihak Berelasi,Total Utang Lain-Lain,Liabilitas Pajak Tangguhan,Others,Total Utang Bank,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2021,,,137532148744.000000,223957773133.000000,16387962113.000000,207569811020.000000,223957773133.000000,67963824725.000000,27850007307.000000,40113817418.000000,67963824725.000000,,122175182711.000000,21850805199.000000,573479734512.000000,,1225000000.000000,17718607126.000000,6492776703.000000,1598680844.000000,32204640649.000000,59239705322.000000,632719439834.000000,,,193684883421.000000,,,6080117.000000,22118262971.000000,,166501603634.000000,5058936699.000000,193684883421.000000,134937444.000000,,,,,,134937444.000000,134937444.000000,,134937444.000000,193819820865.000000,,510000000.000000,121696393237.000000,160349253965.000000,,160349253965.000000,160349253965.000000,637112735.000000,302401236.000000,283495161173.000000,477314982038.000000,510.000000
12M 2022,,,317030290329.000000,478711751283.000000,13369421634.000000,465342329649.000000,478711751283.000000,34992299532.000000,12287299532.000000,22705000000.000000,34992299532.000000,,158892375388.000000,83889426242.000000,1073516142774.000000,,3666616720.000000,88128894439.000000,6492776703.000000,1692972964.000000,200564515378.000000,300545776204.000000,1374061918978.000000,,,178260535404.000000,,,10886742873.000000,20118262971.000000,,133672522096.000000,13583007464.000000,178260535404.000000,42349882184.000000,42349882184.000000,,,,,976470884.000000,42349882184.000000,,42349882184.000000,220610417588.000000,,510000000.000000,121696393237.000000,540264795937.000000,,540264795937.000000,540264795937.000000,127223119190.000000,110822266.000000,789805130630.000000,1010415548218.000000,510.000000
12M 2023,,,415150544770.000000,599250766675.000000,2205915985.000000,597044850690.000000,599250766675.000000,60383559313.000000,23181390563.000000,37202168750.000000,60383559313.000000,,124847526438.000000,201092914701.000000,1400725311897.000000,,5109288464.000000,1406753290694.000000,6492776703.000000,935739219.000000,223074871951.000000,1642365967031.000000,3043091278928.000000,,,365573521302.000000,,,42364393975.000000,38545169860.000000,,205446127022.000000,79217830445.000000,365573521302.000000,1081727652319.000000,1081727652319.000000,,,,,3222112413.000000,1081727652319.000000,,1081727652319.000000,1447301173621.000000,,1200000000.000000,121696393237.000000,763522644107.000000,1000000000.000000,762522644107.000000,763522644107.000000,300648355501.000000,778131057.000000,1187845523902.000000,2635146697523.000000,1200.000000
12M 2024,,,734190605781.000000,1459062690427.000000,3518375020.000000,1455544315407.000000,1459062690427.000000,63062917660.000000,44062827835.000000,19000089825.000000,63062917660.000000,,154464886208.000000,553487253383.000000,2964268353459.000000,,3186430967.000000,2072252646736.000000,6492776703.000000,4012834237.000000,84211147516.000000,2170155836159.000000,5134424189618.000000,,,618652618026.000000,,,15744670798.000000,25734106450.000000,,405105466848.000000,172068373930.000000,618652618026.000000,1523134836741.000000,1523134836741.000000,,,,,4874225506.000000,1523134836741.000000,,1523134836741.000000,2141787454767.000000,,199700000000.000000,352225638877.000000,1050424864858.000000,34940000000.000000,1015484864858.000000,1050424864858.000000,,-20831642215.000000,1581518861520.000000,3723306316287.000000,1997000000.000000
