Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Pembayaran (Penerimaan) Lainnya,Penerimaan Jasa Giro,Pembayaran Atas Bunga,Pembayaran Pajak Penghasilan,Pembayaran Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Uang Muka Pembelian Aset Tetap,Penjualan Aset Tetap,Akuisisi Gps Dengan Perolehan Kas,Penjualan Aset Tersedia Untuk Dijual,Pembayaran Sewa Lahan,Penambahan Aset Hak Guna,Penerimaan Aset Keuangan,Pembelian Aset Keuangan,Pembelian Saham,Penjualan Saham Anak Perusahaan,Perolehan Aset Keuangan Tersedia Untuk Dijual,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Pinjaman Bank,Pembayaran Pinjaman Bank,Pembayaran Pokok Atas Liabilitas Sewa,Pembayaran Atas Bunga,Pembayaran Dividen Kas,Akuisisi Kepentingan Pada Entitas Anak Dari Kepentingan Nonpengendali,Penerimaan Dari Pihak Berelasi,Pembayaran Ke Pihak Berelasi,Penambahan Modal Saham,Penambahan Modal Dari Penawaran Umum Saham Perdana,Biaya Penawaran Umum Saham Perdana,Total Arus Kas Dari Aktivitas Pendanaan,Penurunan Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2017,34797237000.000000,83640404000.000000,-27797956000.000000,-3041553000.000000,-3068188000.000000,230450000.000000,-12340721000.000000,-2825199000.000000,,34797237000.000000,-82329809000.000000,-89185217000.000000,,6819091000.000000,,3036317000.000000,,,,,,,-3000000000.000000,-82329809000.000000,64306268000.000000,89399000000.000000,-41566589000.000000,,,,,16672759000.000000,-16160702000.000000,15961800000.000000,,,64306268000.000000,16773696000.000000,10752480000.000000,,27526176000.000000
12M 2018,-21709146000.000000,100290075000.000000,-88210076000.000000,-7597521000.000000,-4463626000.000000,897358000.000000,-8805695000.000000,-13819661000.000000,,-21709146000.000000,-53489126000.000000,-53489126000.000000,,,,,,,,,,,,-53489126000.000000,55368144000.000000,12750000000.000000,-130303580000.000000,,,,,,,,178871940000.000000,-5950216000.000000,55368144000.000000,-19830128000.000000,27526176000.000000,,7696048000.000000
12M 2019,98001328000.000000,131587114000.000000,-6927353000.000000,-6468956000.000000,-1540285000.000000,228447000.000000,-3232362000.000000,-15645277000.000000,,98001328000.000000,-119357376000.000000,-106874095000.000000,,,,,-12483281000.000000,,,,,,,-119357376000.000000,27689494000.000000,471152172000.000000,-436037678000.000000,,,-7425000000.000000,,,,,,,27689494000.000000,6333446000.000000,7696048000.000000,,14029494000.000000
12M 2020,111771296000.000000,159258694000.000000,-18774285000.000000,-10845799000.000000,-13442958000.000000,219030000.000000,,-4643386000.000000,,111771296000.000000,-79340737000.000000,-69237639000.000000,,,,,,-10103098000.000000,,,,,,-79340737000.000000,-31602704000.000000,963100000000.000000,-977650000000.000000,-731673000.000000,-5321031000.000000,-11000000000.000000,,,,,,,-31602704000.000000,827855000.000000,14029494000.000000,,14857349000.000000
12M 2021,138968170000.000000,172425196000.000000,-10488433000.000000,-15047472000.000000,-244933000.000000,140051000.000000,,-7816239000.000000,,138968170000.000000,-181762015000.000000,-165250771000.000000,,,,,,-16511244000.000000,,,,,,-181762015000.000000,79846871000.000000,348900000000.000000,-231480137000.000000,-4842362000.000000,-5230630000.000000,-27500000000.000000,,,,,,,79846871000.000000,37053026000.000000,14857349000.000000,,51910375000.000000
12M 2022,136813196000.000000,194655137000.000000,-37631772000.000000,-17164592000.000000,-277687000.000000,118283000.000000,,-2886173000.000000,,136813196000.000000,-113961968000.000000,-105907868000.000000,,,,,,-9291600000.000000,,,,1237500000.000000,,-113961968000.000000,-1160549000.000000,855300000000.000000,-777891667000.000000,-13281044000.000000,-10287838000.000000,-55000000000.000000,,,,,,,-1160549000.000000,21690679000.000000,51910375000.000000,,73601054000.000000
12M 2023,149503818000.000000,203075777000.000000,-18496916000.000000,-28889083000.000000,-4354032000.000000,401619000.000000,,-2233547000.000000,,149503818000.000000,-152424729000.000000,-90175706000.000000,,,-43160630000.000000,,,-13588393000.000000,,-5500000000.000000,,,,-152424729000.000000,16380364000.000000,1378400000000.000000,-1249163890000.000000,-25524227000.000000,-16931519000.000000,-70400000000.000000,,,,,,,16380364000.000000,13459453000.000000,73601054000.000000,,87060507000.000000
12M 2024,141702964000.000000,199448710000.000000,-24079749000.000000,-27392829000.000000,-3337594000.000000,232783000.000000,,-3168357000.000000,,141702964000.000000,-85008520000.000000,-76612555000.000000,-8250000000.000000,,,,,-7042281000.000000,96896316000.000000,-90000000000.000000,,,,-85008520000.000000,-53459604000.000000,1016800000000.000000,-928038174000.000000,-15399706000.000000,-30884224000.000000,-90750000000.000000,-5187500000.000000,,,,,,-53459604000.000000,3234840000.000000,87060507000.000000,,90295347000.000000
