Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kepada Pemasok,"Pembayaran Kepada Komisaris, Direksi Dan Karyawan",Penerimaan Bunga,Pembayaran Pajak,Pembayaran Bunga,Pembayaran Kas Lainnya Untuk Beban Operasi,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Uang Muka Untuk Perolehan Aset Tetap,Pencairan / Penempatan Deposito,Penerimaan Dari Pihak Berelasi,Pengeluaran Kepada Pihak Berelasi,Penempatan Pada Investasi Jangka Pendek,Penambahan Investasi Pada Ventura Bersama,Pengembalian Kelebihan Investasi Pada Ventura Bersama,Penjualan Saham Investasi Dari Ventura Bersama,Penempatan Uang Muka Investasi Pada Ventura Bersama,Pencairan Pada Investasi Jangka Pendek,Pencairan Deposito Yang Dibatasi Penggunaannya,Penjualan Properti Investasi,Penambahan Properti Investasi,Uang Muka Properti Investasi,Perolehan Aset Tetap,Hasil Penjualan Aset Tetap,Penambahan Aset Tidak Berwujud,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Setoran Modal,Penerimaan Dari Penawaran Umum Perdana,Pembayaran Biaya Emisi Saham,Penerimaan Pinjaman Bank Dan Dana Syirkah Temporer,Pembayaran Pinjaman Bank Dan Dana Syirkah Temporer,Penerimaan (Pembayaran) Kepada Pihak Berelasi,Penerimaan (Pembayaran) Utang Lain-Lain,Pembayaran Utang Pembiayaan Konsumen,Pembayaran Dividen,Total Arus Kas Dari Aktivitas Pendanaan,Penurunan Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2016,-84007617105.000000,2586480236130.000000,,-2542231436375.000000,11164406810.000000,-56012990409.000000,-83407833261.000000,,-84007617105.000000,-209270175741.000000,,-75700000000.000000,,,,,,,,,,,-23061948475.000000,,-111749963266.000000,1241736000.000000,,-209270175741.000000,451780289069.000000,382500000000.000000,,,1065236903698.000000,-644722930719.000000,-11636329257.000000,,-4597354653.000000,-335000000000.000000,451780289069.000000,158502496223.000000,285603099360.000000,,444105595583.000000
12M 2017,-451813275910.000000,1808074581308.000000,,-2094758051557.000000,18023478532.000000,-70498848167.000000,-112654436026.000000,,-451813275910.000000,-270068490000.000000,,-53600000000.000000,,,-5000000000.000000,,,,-52287030000.000000,,,,-70869335000.000000,,-89033375000.000000,721250000.000000,,-270068490000.000000,689454643861.000000,,516460000000.000000,-16294841195.000000,881000000000.000000,-695812358325.000000,5046529143.000000,,-944685762.000000,,689454643861.000000,-32427122049.000000,444105595584.000000,,411678473535.000000
12M 2018,-283368170952.000000,1497340653656.000000,,-1630897489043.000000,12978030184.000000,-43971773845.000000,-118817591904.000000,,-283368170952.000000,-113140323616.000000,18000000000.000000,12100000000.000000,24518200949.000000,,5000000000.000000,-144233564565.000000,,,-9771300000.000000,,,,-17989610000.000000,,-1492050000.000000,728000000.000000,,-113140323616.000000,161623484184.000000,,,,753524175000.000000,-704411894710.000000,113136488132.000000,,-625284238.000000,,161623484184.000000,-234885010384.000000,411678473535.000000,275235513.000000,177068698664.000000
12M 2019,95344994614.000000,1045626777358.000000,,-786074239576.000000,9032494694.000000,-51350034918.000000,-121890002944.000000,,95344994614.000000,-77385700797.000000,1500000000.000000,123812250000.000000,-5009349292.000000,,,-70490518168.000000,,30000000000.000000,-123984727000.000000,,,,-21000000000.000000,-10937231337.000000,,,-1276125000.000000,-77385700797.000000,-164256169227.000000,,,,365129574140.000000,-539428012229.000000,10042268862.000000,,,,-164256169227.000000,-146296875410.000000,177068698664.000000,-37455083.000000,30734368171.000000
12M 2020,102268840123.000000,696634400354.000000,,-530983641134.000000,2580983091.000000,-12295785752.000000,-53667116436.000000,,102268840123.000000,34264115349.000000,,-151054359.000000,1099639512.000000,,,-14015793858.000000,,,49500000000.000000,,,16050000000.000000,-2537080000.000000,-15447595946.000000,,,-234000000.000000,34264115349.000000,-155270656550.000000,,,,,-57334374717.000000,-97936281833.000000,,,,-155270656550.000000,-18737701078.000000,30734368171.000000,,11996667093.000000
12M 2021,169659375477.000000,620596381264.000000,,-409436721279.000000,341267332.000000,-19953019263.000000,-21888532577.000000,,169659375477.000000,-149349481342.000000,,-115041000000.000000,-15137944095.000000,,,-20897074521.000000,,,8000000000.000000,,,,,-5998040706.000000,-275422020.000000,,,-149349481342.000000,-21951702413.000000,,,,,20000000.000000,-21971702413.000000,,,,-21951702413.000000,-1641808278.000000,11996667093.000000,,10354858815.000000
12M 2022,-30227495950.000000,776805864802.000000,,-751611094571.000000,133853156.000000,-24737123052.000000,-30818996285.000000,,-30227495950.000000,25532688300.000000,,-51072784004.000000,,,,-12090614283.000000,36801244014.000000,44692956803.000000,11500000000.000000,,-1744632380.000000,,,-2388957642.000000,-164524208.000000,,,25532688300.000000,6278085748.000000,,,,,-9000000000.000000,,15278085748.000000,,,6278085748.000000,1583278098.000000,10354858815.000000,,11938136913.000000
12M 2023,-15472875705.000000,382094088604.000000,,-372468792251.000000,175453210.000000,-19340459732.000000,-5933165536.000000,,-15472875705.000000,2841772813.000000,,,49445484.000000,,,,,,3963013599.000000,,,,,-1170686270.000000,,,,2841772813.000000,8069423296.000000,,,,,,,8069423296.000000,,,8069423296.000000,-4561679596.000000,11938136913.000000,,7376457317.000000
