Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Penerimaan Kas,Pembayaran Kas Kepada:,Pemasok Dan Pihak Ketiga,Direksi Dan Karyawan,Total Pembayaran Kas Kepada:,Penerimaan Bunga,Penerimaan Dari Tagihan Pajak,Pembayaran Beban Bunga,Pembayaran Pajak Pembangunan Daerah,Pembayaran Jasa Manajemen,Pembayaran Sewa Tanah,Pembayara Pajak Lain-Lain,Pembayaran Pajak Penghasilan Dan Pajak Lain-Lain,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Perolehan Saham Nonpengendali Pada Entitas Anak,Perolehan Surat Berharga,Penambahan Properti Investasi,Hasil Penjualan Aset Tetap Dan Properti Investasi,Pembayaran Biaya Pengembangan,Pencairan (Penempatan) Aset Keuangan Nilai Wajar Melalui Pendapatan Komprehensif Lainnya,Penurunan (Kenaikan) Bersih Deposito Yang Dibatasi Penggunannya,Penerimaan Penjualan Aset Tetap,Pencairan (Penempatan) Obligasi Dan (Atau) Sukuk,Kenaikan Aset Lainnya,Penerimaan Dividen Dari Entitas Asosiasi,Penerimaan Dividen Dari Aktivitas Investasi,Investasi Pada Ventura Bersama,Pembelian Tanah,Perolehan Saham Tambahan Di Entitas Anak Yang Dimiliki Secara Tidak Langsung,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penambahan Pinjaman Dari Kreditur Dalam Negeri Dan Luar Negeri,Jangka Pendek,Jangka Panjang,Total Penambahan Pinjaman Dari Kreditur Dalam Negeri Dan Luar Negeri,Pembayaran Dividen Tunai,Pembayaran Dividen Tunai Entitas Anak Kepada Pihak Nonpengendali,Pembayaran Pinjaman Dari Pihak Yang Berelasi,Pembayaran Hutang Kepada Kreditur Dalam Dan Luar Negeri,Jangka Pendek,Jangka Panjang,Total Pembayaran Hutang Kepada Kreditur Dalam Dan Luar Negeri,Pembayaran Dividen Oleh:,Perusahaan,Entitas Anak Kepada Kepentingan Non-Pengendali,Total Pembayaran Dividen Oleh:,Penerimaan Saham Entitas Anak Dari Pihak Nonpengendali,Setoran Modal Dari Kepentingan Non Pengendali,Pembayaran Uang Muka Dividen,Pembayaran Hutang Sewa Pembiayaan,Pembayaran Pokok Liabilitas Sewa,Pembayaran Pinjaman Dari Pemegang Saham,Penerimaan Dari Saham Entitas Anak Yang Dikeluarkan Kepada Kepentingan Non-Pengendali,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2008,234871648564.000000,1120043877406.000000,,,-421923905022.000000,-191472047575.000000,-613395952597.000000,14284277230.000000,,-67817140184.000000,-75633921918.000000,-41379305741.000000,-24686006381.000000,,-76544179251.000000,234871648564.000000,-88516647840.000000,-86173850892.000000,,,,940121650.000000,,,-3282918598.000000,,,,,,,,,-88516647840.000000,-139294744112.000000,,,50000000000.000000,50000000000.000000,,,,,,-183306207598.000000,-183306207598.000000,,,-1279365500.000000,-1279365500.000000,,,-4600000000.000000,-109171014.000000,,,,-139294744112.000000,7060256612.000000,9471529819.000000,332347587346.000000,348879373777.000000
12M 2009,178284877140.000000,1133273497198.000000,,,-450536015840.000000,-190361171422.000000,-640897187262.000000,13165654367.000000,,-86385440270.000000,-71328924806.000000,-37376521011.000000,-29482819550.000000,,-102683381526.000000,178284877140.000000,-31499913291.000000,-27998129531.000000,,,,546210932.000000,,,-4047994692.000000,,,,,,,,,-31499913291.000000,-90488462614.000000,,59926800000.000000,57400200000.000000,117327000000.000000,,,,,-19990000000.000000,-168662409214.000000,-188652409214.000000,,,-17208640000.000000,-17208640000.000000,,,-1954413400.000000,,,,,-90488462614.000000,56296501235.000000,-16087455553.000000,348879373777.000000,389088419459.000000
12M 2010,227962163142.000000,1206444459227.000000,,,-480960894139.000000,-193018475572.000000,-673979369711.000000,11154138951.000000,,-50629266157.000000,-78016388469.000000,-44603114515.000000,-16819685891.000000,,-125588610293.000000,227962163142.000000,-61085163012.000000,-33258599842.000000,,,,720404120.000000,,,-2108967290.000000,,,,,,,,-26438000000.000000,-61085163012.000000,-146009869514.000000,,26436400000.000000,212617950502.000000,239054350502.000000,,,,,,-353343804016.000000,-353343804016.000000,,-13912416000.000000,-17808000000.000000,-31720416000.000000,,,,,,,,-146009869514.000000,20867130616.000000,-7558950212.000000,389088419459.000000,402396599863.000000
12M 2011,417024795385.000000,1255270931726.000000,187187016393.000000,,-506721549062.000000,-205947409425.000000,-712668958487.000000,16831258332.000000,,-44396550717.000000,-82776083214.000000,-43011378743.000000,-30265972786.000000,,-129145467119.000000,417024795385.000000,14156413336.000000,-49762625176.000000,,,,103339588410.000000,,,5775072218.000000,,,,,,-45195622116.000000,,,14156413336.000000,-79777541870.000000,,,50000000000.000000,50000000000.000000,,,,-94147653870.000000,,,-94147653870.000000,,-18549888000.000000,-17080000000.000000,-35629888000.000000,,,,,,,,-79777541870.000000,351403666851.000000,187412572.000000,402396599863.000000,753987679286.000000
12M 2012,269058256514.000000,1485375627717.000000,,,-763025505503.000000,-218506021319.000000,-981531526822.000000,31097319134.000000,,-36406060664.000000,-86300157982.000000,-43395343376.000000,-25939957063.000000,,-73841644430.000000,269058256514.000000,-101149916465.000000,-92480749386.000000,,,,964809943.000000,,,-9633977022.000000,,,,,,,,,-101149916465.000000,-33158489310.000000,94312500000.000000,,,94312500000.000000,,,-2976867242.000000,-76063237377.000000,,,-76063237377.000000,,-23187360000.000000,-25243524691.000000,-48430884691.000000,,,,,,,,-33158489310.000000,134749850739.000000,15555356044.000000,753987679286.000000,904292886069.000000
12M 2013,305065366366.000000,1419943570498.000000,,,-562488536644.000000,-322347846517.000000,-884836383161.000000,39036684984.000000,,-34423068954.000000,-83976327869.000000,-52880421651.000000,-29250026291.000000,,-68548661190.000000,305065366366.000000,-133128632252.000000,-127889609939.000000,,,,694065835.000000,,,-5933088148.000000,,,,,,,,,-133128632252.000000,-73161210795.000000,18825000000.000000,,,18825000000.000000,,,-2004547000.000000,-108710431795.000000,,,-108710431795.000000,,-27824832000.000000,-11946400000.000000,-39771232000.000000,,,,,,,58500000000.000000,-73161210795.000000,98775523319.000000,59969020713.000000,904292886069.000000,1063037430101.000000
12M 2014,274033053259.000000,1351385159143.000000,,,-592124209045.000000,-262966123209.000000,-855090332254.000000,56270263085.000000,,-37287715413.000000,-76976421831.000000,-50407828336.000000,-30244748013.000000,,-83615323122.000000,274033053259.000000,-148164744637.000000,-166722541909.000000,,,,2349406670.000000,,,16208390602.000000,,,,,,,,,-148164744637.000000,-93810516131.000000,47000000000.000000,,,47000000000.000000,,,,-95469712131.000000,,,-95469712131.000000,,-32462304000.000000,-12878500000.000000,-45340804000.000000,,,,,,,,-93810516131.000000,32057792491.000000,5246729998.000000,1063037430101.000000,1100341952590.000000
12M 2015,146370761000.000000,1164595447000.000000,,,-587606271000.000000,-211636909000.000000,-799243180000.000000,50053775000.000000,,-53398901000.000000,-78765097000.000000,-47766893000.000000,-29163348000.000000,,-59941042000.000000,146370761000.000000,-125021318000.000000,-127920102000.000000,,,,3403143000.000000,,,-504359000.000000,,,,,,,,,-125021318000.000000,-145116551000.000000,30275000000.000000,,,30275000000.000000,,,,-124679275000.000000,,,-124679275000.000000,,-37099776000.000000,-13612500000.000000,-50712276000.000000,,,,,,,,-145116551000.000000,-123767108000.000000,34162362000.000000,1100341952000.000000,1010737206000.000000
12M 2016,325924807000.000000,1257165616000.000000,,,-484674287000.000000,-244338622000.000000,-729012909000.000000,35231155000.000000,18322854000.000000,-33129889000.000000,-80700726000.000000,-47411530000.000000,-25899129000.000000,,-68640635000.000000,325924807000.000000,-463123158000.000000,-464961420000.000000,,,,,,,1838262000.000000,,,,,,,,,-463123158000.000000,-58403565000.000000,,,,,,,,-56818365000.000000,,,-56818365000.000000,,-39418512000.000000,-7000000000.000000,-46418512000.000000,,46500000000.000000,,,,-1666688000.000000,,-58403565000.000000,-195601916000.000000,-10839997000.000000,1010737206000.000000,804295293000.000000
12M 2017,165401911000.000000,1234594992000.000000,,,-584745781000.000000,-245553861000.000000,-830299642000.000000,23330106000.000000,3558646000.000000,-42835167000.000000,-89219220000.000000,-48902278000.000000,-24027768000.000000,,-60797758000.000000,165401911000.000000,-398316611000.000000,-340880770000.000000,,,,,,,-269072000.000000,,,,,,,-57166769000.000000,,-398316611000.000000,26957598000.000000,121611070000.000000,,,121611070000.000000,,,,-48894484000.000000,,,-48894484000.000000,,-41737248000.000000,,-41737248000.000000,,,,,,-4021740000.000000,,26957598000.000000,-205957102000.000000,1578309000.000000,804295293000.000000,599916500000.000000
