Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Usaha,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Laba (Rugi) Selisih Kurs,Laba (Rugi) Atas Penjualan Aset Tetap,Pendapatan Keuangan,Bagian Atas Hasil Bersih Entitas Asosiasi,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Final,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,924051133937.000000,-329541986587.000000,594509147350.000000,-441574783600.000000,,,,-441574783600.000000,152934363750.000000,-145525356525.000000,,,,,,-145525356525.000000,-145525356525.000000,7409007225.000000,-44863415877.000000,-34028771990.000000,-10834643887.000000,,-44863415877.000000,-37454408652.000000,-17825252553.000000,-55279661205.000000,,,,,-55279661205.000000,-37454408652.000000,-17825252553.000000,-55279661205.000000,,,,
12M 2009,958100438225.000000,-324090653965.000000,634009784260.000000,-422382004201.000000,,,,-422382004201.000000,211627780059.000000,1376931799.000000,,,,,,1376931799.000000,1376931799.000000,213004711858.000000,-64840157113.000000,-56137686168.000000,-8702470945.000000,,-64840157113.000000,148164554745.000000,-68857421437.000000,79307133308.000000,,,,,79307133308.000000,148164554745.000000,-68857421437.000000,79307133308.000000,,,,
12M 2010,1037229216029.000000,-339661464135.000000,697567751894.000000,-437416854032.000000,,,,-437416854032.000000,260150897862.000000,-31579620519.000000,,,,,,-31579620519.000000,-31579620519.000000,228571277343.000000,-58456919748.000000,-54662377256.000000,-3794542492.000000,,-58456919748.000000,170114357595.000000,-62989341939.000000,107125015656.000000,,,,,107125015656.000000,170114357595.000000,-62989341939.000000,107125015656.000000,,,,
12M 2011,1073202212258.000000,-322852249189.000000,750349963069.000000,-483123202273.000000,,,,-483123202273.000000,267226760796.000000,-7068837345.000000,-40517869988.000000,-166279149.000000,17893594629.000000,17444965399.000000,979120520.000000,-2702368756.000000,-7068837345.000000,260157923451.000000,-59949728166.000000,-70543600654.000000,10593872488.000000,,-59949728166.000000,200208195285.000000,,200208195285.000000,,,,200208195285.000000,200208195285.000000,141716054157.000000,58492141128.000000,200208195285.000000,200208195285.000000,141716054157.000000,58492141128.000000,200208195285.000000
12M 2012,1206664891893.000000,-421435407384.000000,785229484509.000000,-487120857841.000000,,,,-487120857841.000000,298108626668.000000,-14845400174.000000,-42610489435.000000,-5723224121.000000,819183000.000000,31412493378.000000,-372138665.000000,1628775669.000000,-14845400174.000000,283263226494.000000,-48028741180.000000,,,,-48028741180.000000,235234485314.000000,,235234485314.000000,,,,235234485314.000000,235234485314.000000,174316456181.000000,60918029133.000000,235234485314.000000,235234485314.000000,174316456181.000000,60918029133.000000,235234485314.000000
12M 2013,1267682638975.000000,-448725219826.000000,818957419149.000000,-528237623266.000000,,,,-528237623266.000000,290719795883.000000,-3116260383.000000,-38070447568.000000,-43889165422.000000,694065835.000000,39232903025.000000,969624098.000000,37946759649.000000,-3116260383.000000,287603535500.000000,-79532293259.000000,,,,-79532293259.000000,208071242241.000000,,208071242241.000000,,,,208071242241.000000,208071242241.000000,163380936571.000000,44690305670.000000,208071242241.000000,208071242241.000000,163380936571.000000,44690305670.000000,208071242241.000000
12M 2014,1334782434296.000000,-472533591267.000000,862248843029.000000,-484332868275.000000,,,,-484332868275.000000,377915974754.000000,14094899094.000000,-40270378824.000000,-5107355781.000000,2349406670.000000,56616658085.000000,-369022022.000000,875590966.000000,14094899094.000000,392010873848.000000,-75075879775.000000,,,,-75075879775.000000,316934994073.000000,,316934994073.000000,,,,316934994073.000000,316934994073.000000,255836426334.000000,61098567739.000000,316934994073.000000,316934994073.000000,255836426334.000000,61098567739.000000,316934994073.000000
12M 2015,1136469082000.000000,-351670976000.000000,784798106000.000000,-501880688000.000000,,,3945556000.000000,-501880688000.000000,286862974000.000000,-5852575000.000000,-40037577000.000000,-17876980000.000000,3403143000.000000,61851169000.000000,-822096000.000000,-12370234000.000000,-5852575000.000000,281010399000.000000,-70006637000.000000,-37786879000.000000,,-32219758000.000000,-70006637000.000000,211003762000.000000,,211003762000.000000,1091951000.000000,1091951000.000000,1091951000.000000,212095713000.000000,211003762000.000000,176588656000.000000,34415106000.000000,211003762000.000000,212095713000.000000,177498620000.000000,34597093000.000000,212095713000.000000
12M 2016,1078594542000.000000,-326288339000.000000,752306203000.000000,-520626528000.000000,,,1978836000.000000,-520626528000.000000,233658511000.000000,-2081676000.000000,-32599135000.000000,-4210889000.000000,,43679014000.000000,-214863000.000000,-8735803000.000000,-2081676000.000000,231576835000.000000,-62146426000.000000,-34772511000.000000,,-27373915000.000000,-62146426000.000000,169430409000.000000,,169430409000.000000,-2306080000.000000,-2306080000.000000,-2306080000.000000,167124329000.000000,169430409000.000000,124557573000.000000,44872836000.000000,169430409000.000000,167124329000.000000,122719938000.000000,44404391000.000000,167124329000.000000
12M 2017,1122241072000.000000,-344542349000.000000,777698723000.000000,-533896005000.000000,,,6416774000.000000,-533896005000.000000,250219492000.000000,-10517941000.000000,-29678077000.000000,-3718803000.000000,,28811987000.000000,-170651000.000000,-5762397000.000000,-10517941000.000000,239701551000.000000,-60488168000.000000,-31169930000.000000,,-29318238000.000000,-60488168000.000000,179213383000.000000,,179213383000.000000,-6633824000.000000,-6633824000.000000,-6633824000.000000,172579559000.000000,179213383000.000000,131717222000.000000,47496161000.000000,179213383000.000000,172579559000.000000,127116248000.000000,45463311000.000000,172579559000.000000
12M 2018,1535734281000.000000,-398294378000.000000,1137439903000.000000,-606544156000.000000,,,12666223000.000000,-606544156000.000000,543561970000.000000,-20040295000.000000,-37547599000.000000,-8316151000.000000,,30013535000.000000,1812627000.000000,-6002707000.000000,-20040295000.000000,523521675000.000000,-56625346000.000000,-19802603000.000000,,-36822743000.000000,-56625346000.000000,466896329000.000000,,466896329000.000000,9333207000.000000,9333207000.000000,9333207000.000000,476229536000.000000,466896329000.000000,300082706000.000000,166813623000.000000,466896329000.000000,476229536000.000000,307762831000.000000,168466705000.000000,476229536000.000000
12M 2019,1295694847000.000000,-415093677000.000000,880601170000.000000,-702199064000.000000,-707477653000.000000,,5278589000.000000,-702199064000.000000,178402106000.000000,-16023886000.000000,-61896428000.000000,19564627000.000000,,31327260000.000000,1246107000.000000,-6265452000.000000,-16023886000.000000,162378220000.000000,-18869519000.000000,9931826000.000000,,-28801345000.000000,-18869519000.000000,143508701000.000000,,143508701000.000000,-26474785000.000000,,-26474785000.000000,117033916000.000000,143508701000.000000,110903490000.000000,32605211000.000000,143508701000.000000,117033916000.000000,96556366000.000000,20477550000.000000,117033916000.000000
12M 2020,590037813000.000000,-236626963000.000000,353410850000.000000,-514099838000.000000,-514608231000.000000,,508393000.000000,-514099838000.000000,-160688988000.000000,-79280705000.000000,-89644047000.000000,-5859552000.000000,,20644175000.000000,-292446000.000000,-4128835000.000000,-79280705000.000000,-239969693000.000000,4196939000.000000,27722990000.000000,,-23526051000.000000,4196939000.000000,-235772754000.000000,,-235772754000.000000,-29497146000.000000,,-29497146000.000000,-265269900000.000000,-235772754000.000000,-143214834000.000000,-92557920000.000000,-235772754000.000000,-265269900000.000000,-159720774000.000000,-105549126000.000000,-265269900000.000000
12M 2021,552780814000.000000,-220465157000.000000,332315657000.000000,-552694187000.000000,-538791886000.000000,,-13902301000.000000,-552694187000.000000,-220378530000.000000,-108326917000.000000,-109608667000.000000,-6426360000.000000,,9733825000.000000,-78950000.000000,-1946765000.000000,-108326917000.000000,-328705447000.000000,-4660784000.000000,13237455000.000000,,-17898239000.000000,-4660784000.000000,-333366231000.000000,,-333366231000.000000,24561932000.000000,,24561932000.000000,-308804299000.000000,-333366231000.000000,-210407731000.000000,-122958500000.000000,-333366231000.000000,-308804299000.000000,-195231597000.000000,-113572702000.000000,-308804299000.000000
