Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Kas Kepada Karyawan,Pembayaran Beban Operasi,Pendapatan Bunga,Pendapatan Lainnya,Pajak Penghasilan,Royalti Kepada Pemerintah,Taksiran Tagihan Pajak - Neto,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Uang Muka Untuk Perolehan Aset Tetap,Pembayaran Utang Terkait Perolehan Aset Tetap,Penambahan Investasi Pada Entitas Anak,Penambahan Aset Eksplorasi Dan Evaluasi,Pembayaran Investasi Pada Entitas Asosiasi Melalui Utang Lain-Lain,Penambahan Piutang Kepada Pihak Berelasi,Penambahan Piutang Kepada Pihak Ketiga,Penambahan Properti Pertambangan,Hasil Penjualan Aset Tetap,Penerimaan Penjualan Aset Tetap Melalui Puitang,Penerimaan Piutang Kepada Pihak Berelasi,Penerimaan Dividen Dari Entitas Asosiasi,Penerimaan Piutang Kepada Pihak Ketiga,"Akuisisi Entitas Anak, Setelah Dikurangi Kas Yang Diterima",Penambahan Investasi Pada Saham,Penambahan Investasi Pada Entitas Asosiasi,Pengurangan Setoran Uang Muka Atas Investasi Pada Entitas Asosiasi,Pembayaran Akrual Terkait Perolehan Aset Tetap,Kas Di Bank Neto Yang Dilepaskan Dari Dekonsolidasi Entitas Anak,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penarikan (Penempatan) Kas Yang Di Batasi Penggunaanya,Perolehan Utang Bank,Perolehan Dari Utang Bank Jangka Pendek,Perolehan Dari Kas Yang Dibatasi Penggunaannya,Perolehan Dari Penawaran Umum Perdana Saham,Perolehan Utang Kepada,Pihak Berelasi,Pihak Ketiga,Total Perolehan Utang Kepada,Setoran Modal Dari Pemegang Saham Non-Pengendali Entitas Anak,Perolehan Utang Lain-Lain Jangka Panjang,Pihak Ketiga,Total Perolehan Utang Lain-Lain Jangka Panjang,Pembayaran Utang Lain-Lain Jangka Panjang Pihak Ketiga,Pembayaran Utang Bank Jangka Panjang,Pembayaran Utang Bank Jangka Pendek,Pembayaran Utang Bank,Pembayaran Utang Kepada Pihak Berelasi,Pembayaran Utang Kepada Pihak Ketiga,Pembayaran Dividen,Pembayaran Dividen Kas,Pembayaran Dividen Kas Oleh Entitas Anak,Kas Yang Dibatasi Penggunaanya,Pembayaran Dividen Kepada Kepentingan Non Pengendali,Pembayaran Untuk Pembelian Saham Treasuri,Biaya Emisi Saham,Pembayaran Utang Dividen,Pembayaran Bunga Pinjaman,Pembayaran Liabilitas Sewa,Pembelian Kepemilikan Saham Dari Kepentingan Non-Pengendali,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12M 2022,3524508000000.000000,11113206000000.000000,-5114831000000.000000,-1051389000000.000000,-376568000000.000000,19057000000.000000,104144000000.000000,-840179000000.000000,-358411000000.000000,29479000000.000000,3524508000000.000000,-6587854000000.000000,,-4320080000000.000000,-2084945000000.000000,,,-5225000000.000000,-100464000000.000000,-413896000000.000000,-5542000000.000000,2186000000.000000,,276777000000.000000,,63335000000.000000,,,,,,,-6587854000000.000000,1634003000000.000000,51136000000.000000,4777915000000.000000,,,,,1508050000000.000000,664606000000.000000,2172656000000.000000,,,,,,,,-2743534000000.000000,-1972212000000.000000,,-317134000000.000000,,,,,,,-208646000000.000000,-126178000000.000000,,,1634003000000.000000,-1429343000000.000000,128347000000.000000,2577856000000.000000,1276860000000.000000
12M 2023,6785478000000.000000,21885890000000.000000,-10681882000000.000000,-2281894000000.000000,-585704000000.000000,164081000000.000000,58312000000.000000,-1050394000000.000000,-732792000000.000000,9861000000.000000,6785478000000.000000,-6676247000000.000000,,-2565157000000.000000,-1816372000000.000000,,-5674000000.000000,,,,-3672000000.000000,1178000000.000000,31918000000.000000,22275000000.000000,,,6231000000.000000,-340250000000.000000,-1909560000000.000000,,-97164000000.000000,,-6676247000000.000000,2594311000000.000000,-661576000000.000000,,432142000000.000000,,9997000000000.000000,,,,,,,,,-1191880000000.000000,-2386523000000.000000,,2239500000000.000000,-934417000000.000000,,,-1400095000000.000000,-844140000000.000000,,,,-289003000000.000000,-1794984000000.000000,-512117000000.000000,-10779000000.000000,-48817000000.000000,2594311000000.000000,2703542000000.000000,-45679000000.000000,1276860000000.000000,3934723000000.000000
12M 2024,5708382000000.000000,26081933000000.000000,-15507815000000.000000,-2665320000000.000000,-667894000000.000000,246415000000.000000,204557000000.000000,-1141653000000.000000,-841841000000.000000,,5708382000000.000000,-2271537000000.000000,,-520116000000.000000,-657104000000.000000,,-21614000000.000000,,,,-106514000000.000000,1863000000.000000,,,1437698000000.000000,,1672000000.000000,-179240000000.000000,-2310824000000.000000,82642000000.000000,,,-2271537000000.000000,-1086900000000.000000,,,1584700000000.000000,,,,,,,,,,,,-8816041000000.000000,-2028923000000.000000,11123500000000.000000,,-664606000000.000000,,-1685742000000.000000,-503626000000.000000,847713000000.000000,,,,,-932095000000.000000,-11780000000.000000,,-1086900000000.000000,2349945000000.000000,201734000000.000000,3934723000000.000000,6486402000000.000000
