Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Investasi Pada Entitas Asosiasi,Aset Pajak Tangguhan,Aset Tetap,Aset Eksplorasi Dan Evaluasi,Properti Pertambangan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Lain-Lain,Pihak Ketiga,Total Utang Lain-Lain,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2021,,,2577855693466.000000,148811359365.000000,148811359365.000000,,148811359365.000000,62718734202.000000,53411945914.000000,9306788288.000000,62718734202.000000,1299802824847.000000,682876238217.000000,4772064850097.000000,,3445243601477.000000,61003778312.000000,10972408398460.000000,,54637464163.000000,1696501428906.000000,16229794671318.000000,21001859521415.000000,,,8703909652436.000000,,,98583523290.000000,26530132221.000000,125113655511.000000,,2013788703779.000000,244896752198.000000,2258685455977.000000,394496621348.000000,56362571108.000000,,4334605913570.000000,,4334605913570.000000,1534645434922.000000,8703909652436.000000,2755683078392.000000,,1150649952447.000000,,1150649952447.000000,,1141520000000.000000,1141520000000.000000,260842506023.000000,202670619922.000000,2755683078392.000000,11459592730828.000000,,10100000000.000000,351666059140.000000,4265367539802.000000,,,4265367539802.000000,3900966046786.000000,1014167144859.000000,9542266790587.000000,21001859521415.000000,101000.000000
12M 2022,,,1276860255567.000000,181405503347.000000,181267021152.000000,138482195.000000,181405503347.000000,245459551955.000000,199446349482.000000,46013202473.000000,245459551955.000000,4087246773875.000000,542975984567.000000,6333948069311.000000,,6870678857822.000000,123344998317.000000,20667567962954.000000,,57428156416.000000,551729274891.000000,28270749250400.000000,34604697319711.000000,,,10208700120637.000000,,,841923049495.000000,367204111349.000000,1209127160844.000000,,2930146620936.000000,375454450234.000000,3305601071170.000000,462816310002.000000,122168494709.000000,,116554574635.000000,,116554574635.000000,4992432509277.000000,10208700120637.000000,10166864100406.000000,,8308828063472.000000,,8308828063472.000000,,1258480000000.000000,1258480000000.000000,344761959217.000000,254794077717.000000,10166864100406.000000,20375564221043.000000,,5510100000000.000000,1470551995027.000000,1617297306830.000000,,1617297306830.000000,1617297306830.000000,4745336729344.000000,885847067467.000000,14229133098668.000000,34604697319711.000000,55101000000.000000
12M 2023,,,3934723000000.000000,1242804000000.000000,212303000000.000000,1030501000000.000000,1242804000000.000000,100014000000.000000,75087000000.000000,24927000000.000000,100014000000.000000,5503560000000.000000,978267000000.000000,11759368000000.000000,,10241751000000.000000,165917000000.000000,22349597000000.000000,5674000000.000000,109514000000.000000,657205000000.000000,33529658000000.000000,45289026000000.000000,,,9306404000000.000000,432142000000.000000,,1664511000000.000000,206840000000.000000,1871351000000.000000,,3380275000000.000000,225384000000.000000,3605659000000.000000,517803000000.000000,209290000000.000000,,1362198000000.000000,8928000000.000000,1371126000000.000000,1299033000000.000000,9306404000000.000000,7590659000000.000000,,6750905000000.000000,30521000000.000000,6781426000000.000000,,,,387607000000.000000,421626000000.000000,7590659000000.000000,16897063000000.000000,,6309860000000.000000,10367590000000.000000,5838370000000.000000,10020000000.000000,5828350000000.000000,5838370000000.000000,4894651000000.000000,981492000000.000000,28391963000000.000000,45289026000000.000000,63098600000.000000
12M 2024,,,6486402000000.000000,1541484000000.000000,503839000000.000000,1037645000000.000000,1541484000000.000000,32640000000.000000,14290000000.000000,18350000000.000000,32640000000.000000,5158144000000.000000,245893000000.000000,13464563000000.000000,,15520930000000.000000,259804000000.000000,22533144000000.000000,27288000000.000000,217559000000.000000,230550000000.000000,38789275000000.000000,52253838000000.000000,,,5853566000000.000000,,,1028896000000.000000,216896000000.000000,1245792000000.000000,,2282127000000.000000,7032000000.000000,2289159000000.000000,367621000000.000000,105034000000.000000,,1671994000000.000000,6897000000.000000,1678891000000.000000,167069000000.000000,5853566000000.000000,9946218000000.000000,,9130190000000.000000,7807000000.000000,9137997000000.000000,,,,461987000000.000000,346234000000.000000,9946218000000.000000,15799784000000.000000,,6309860000000.000000,10367571000000.000000,12073940000000.000000,20020000000.000000,12053920000000.000000,12073940000000.000000,5967791000000.000000,1734892000000.000000,36454054000000.000000,52253838000000.000000,63098600000.000000
