Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2021,0.00 B,,0.00,0.00,677.23 B,0.00%,0.00%,0.00%,
12M 2022,55.10 B,84.70,0.00,0.00,"4,556.33 B",13.49%,49.21%,21.71%,14.83
12M 2023,63.10 B,89.05,11.23,2.64,"8,326.29 B",12.41%,23.91%,23.27%,11.89
12M 2024,63.10 B,101.10,7.47,1.77,"8,917.59 B",12.21%,20.93%,17.40%,9.49
